"Export time:  2/1/2024, 11:12:06 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BK3MSFJL","BMLCGJ Thinker Statue Gold Decor Abstract Art Sculpture, Golden Resin Collectible Figurines for Home Living Room Office Shelf Decoration,Great Gift Ideas (Sandstone)","BMLCGJ","$21.99","895","34","$19,681","10/21/2022","","4.6","384","","27,157","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BK3MSFJL"
"sculpture","","B0CBMX6VKW","Via Moi Home Decor Cyclist Men Figurines, Black Sculpture Cycling Art Piece for Avid Bike Rider Friendship Gifts","Via Moi","$25.00","90","3","$2,250","07/10/2023","","5","4","","263,133","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBMX6VKW"
"Average Monthly Sales: 275","","B0CKP4C8XD","OTARTU Marble Gesture Heart Decoration, Modern Love Statue Finger, Abstract Heart Hands Sculpture Home Wedding Decoration,Shelf Decor","OTARTU","$25.99","210","7","$5,458","12/17/2023","","4.4","41","","131,729","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKP4C8XD"
"Average Revenue: $8,648","","B0BMG3CB3Y","PEAKOLY Wood Arch Decorative Objects - Suitable for Coffee Table Decor, Neutral Home Decor for Shelves, Shelf Decor Aesthetic, Modern Bookshelf Decor, Entryway Decor, Home Decorations for Living Room","PEAKOLY","$32.99","423","13","$13,955","01/29/2023","$22.90","4.7","54","$10.09","69,583","6","FBA","1","Home & Kitchen","Standard","6.2 x 6.2 x 6.2 in","1.17 lb","https://www.amazon.com/dp/B0BMG3CB3Y"
"Average Price: $53.29","","B0BZCVYMY4","Peace Sign Gesture Statue Black Decor, Modern Resin Sculpture Home Accents for Living Room Bedroom Coffee Table, Desktop, Bookshelf","MOYI","$25.99","3,540","136","$92,005","03/22/2023","","4.8","237","","5,309","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZCVYMY4"
"Average No. of Ratings: 244","","B0BN6XSL4X","WELLAND Irregular Cedar Wood Root Sculpture Decoration, Natural Edge Tabletop Statues, Handmade Ornaments Dcor for Home Office","WELLAND","$29.99","112","3","$3,359","11/22/2022","","3.8","17","","267,491","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BN6XSL4X"
"Average Sales Rank: 480,335","","B0C2Y3R7ZC","Guichifun Yoga Dancer Statue Home Decoration - Resin Bronze Sculpture Modern Creative Home Garden Statue Handicrafts Art Ware Home Dcor Office Room or Outdoor Garden Gifts 10.25 x 4.25 x 8.75 Inch","Guichifun","$41.99","60","2","$2,519","04/18/2023","","4.9","10","","347,767","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2Y3R7ZC"
"Average Rating Number: 4.7","","B07FTPQ18V","Design Toscano Gaspar, Watcher of Souls Gothic Gargoyle Statue","Design Toscano","$60.90","53","1","$3,228","02/08/2013","$38.64","4.7","101","$22.26","154,577","5","AMZ","1","Patio, Lawn & Garden","Oversize","10.75 x 14.5 x 10.5 in","3.651 lb","https://www.amazon.com/dp/B07FTPQ18V"
"","","B074MGF9NC","Veronese Design Enchanted Song Mermaid Sitting on the Ocean Floor Sculpture","Veronese Design","$47.59","","","$0.00","08/06/2017","","4.9","141","","701,322","4","FBA","10","Home & Kitchen","","","2 lb","https://www.amazon.com/dp/B074MGF9NC"
"","","B000YHG4WC","Willow Tree Heart of Gold Hand Painted Sculpture Figure","Willow Tree","$29.92","253","9","$7,570","05/29/2013","$21.89","4.9","3,407","$8.03","96,390","5","FBA","8","Home & Kitchen","Standard","3.6 x 2.5 x 6.6 in","0.04 lb","https://www.amazon.com/dp/B000YHG4WC"
