"Export time:  2/1/2024, 1:45:34 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C23C716R","LYSHIYI Shoe Covers Machine Automatic Shoe Cover Dispenser with 200pcs Disposable Plastic Shoe Cover for Home, Office, Supermarket, Factory, Hospital (Silver)","LYSHIYI","$41.99","2,480","102","$104,135","04/10/2023","$28.66","3.5","103","$13.33","2,770","7","FBA","4","Tools & Home Improvement","Standard","8.4 x 5 x 16.5 in","5.08 lb","https://www.amazon.com/dp/B0C23C716R"
"shoe cover dispenser machine","","B0CHJPN546","LYSHIYI Shoe Covers Dispenser with 200pcs Shoe Cover Disposable Non Slip, User-Friendly and Durable Shoe Cover Machine, Fits Size Up to 11 US Men and up, Widely Applicable in Indoor(Silver)","LYSHIYI","$42.99","831","27","$35,725","09/06/2023","$29.81","3.6","22","$13.18","13,440","7","FBA","1","Tools & Home Improvement","Standard","8.27 x 4.72 x 15.75 in","4.82 lb","https://www.amazon.com/dp/B0CHJPN546"
"Average Monthly Sales: 1,086","","B0CPYDQ844","LYSHIYI Shoe Cover Dispenser with 200pcs Disposable Shoe Covers, Automatic Shoe Cover Machine Fits shoes up to Men's size 12, Suitable for Home, Factory, Hospital (Silver)","LYSHIYI","$41.99","360","11","$15,116","12/31/2023","$28.66","2.5","2","$13.33","33,512","7","FBA","1","Tools & Home Improvement","Standard","8.39 x 5 x 16.5 in","5.19 lb","https://www.amazon.com/dp/B0CPYDQ844"
"Average Revenue: $20,158","","B0BJDF2YB3","Automatic Shoe Cover Dispenser, Shoe Cover Machine with 100 Pcs Disposable Shoe Covers, Non Slip Boot Cover Dispenser for Indoors, Shoe Wrapping Machine for Family, Gathering, Office, Gold","NIUGRECF","$39.99","159","5","$6,358","10/16/2022","$27.26","3.4","33","$12.73","67,935","6","FBA","1","Tools & Home Improvement","Standard","8.27 x 4.92 x 15.35 in","4.29 lb","https://www.amazon.com/dp/B0BJDF2YB3"
"Average Price: $60.97","","B09Y8GS5G3","Blemoacha Automatic Shoe Covers Dispenser,200 Pcs Shoe Cover Indoors Disposable,Booties for Portable Machine Fits One Size,Shoe Cover Protect Floor for House Office Hospital Factory (Silver)","Blemoacha","$38.99","1,255","34","$48,932","04/18/2022","$26.11","3.7","457","$12.88","10,184","7","FBA","1","Tools & Home Improvement","Standard","8.86 x 5.31 x 16.73 in","3.74 lb","https://www.amazon.com/dp/B09Y8GS5G3"
"Average No. of Ratings: 565","","B08FHPRS87","JoaSinc Shoe Cover Machine, Automatic Shoe Cover Dispenser, Shoe Booties Disposable 100pcs Disposable Plastic Shoe Covers Bags Shoe Covers Machine for Indoors Home Supermarket Shops Hospital","JoaSinc","$35.59","148","6","$5,267","05/06/2020","$23.22","3.8","357","$12.37","54,480","6","FBA","1","Tools & Home Improvement","Standard","8.98 x 5.43 x 16.73 in","4.29 lb","https://www.amazon.com/dp/B08FHPRS87"
"Average Sales Rank: 259,957","","B089WJSK2Y","SimplyImagine Wall-Mounted Glove Dispenser for Emesis Bags, Hairnet, Face Mask, Laundry Pods, Safety Glasses, Earplugs- Acrylic Medical Shoe Covers, Safety Goggles, Toys, Hair Accessories, Beard Nets","SimplyImagine","$25.99","314","11","$8,161","06/30/2020","$17.73","4.6","254","$8.26","13,492","6","FBA","1","Industrial & Scientific","Standard","6.5 x 5 x 8.25 in","1.4 lb","https://www.amazon.com/dp/B089WJSK2Y"
"Average Rating Number: 4.1","","B0B7X71J8V","QeeLink Leather Welding Spats Extra Long - Heat and Abrasion Resistant Welding Boot Covers - Full Coverage Shoes Protectors - Welding Gaiters, 1 Pair","QeeLink","$19.99","240","8","$4,798","07/27/2022","","4.4","118","","43,556","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0B7X71J8V"
"","","B0BV7DKDJY","Provizio Supply Waterproof Shoe Covers Disposable Non Slip Extra Large Boot Cover Dark Blue - (40 Pairs)","Provizio Supply","$42.95","262","11","$11,253","02/07/2023","$29.48","4.7","70","$13.47","33,500","6","FBA","2","Tools & Home Improvement","Standard","10.43 x 6.38 x 10.51 in","2.2 lb","https://www.amazon.com/dp/B0BV7DKDJY"
"","","B07SW485J5","HOMEST Sewing Machine Carrying Case with Multiple Storage Pockets, Universal Tote Bag with Shoulder Strap Compatible with Most Standard Singer, Brother, Janome, Grey (Patent Design)","HOMEST","$35.99","1,007","30","$36,242","08/01/2019","$23.86","4.8","4,966","$12.13","4,489","7","FBA","1","Arts, Crafts & Sewing","Standard","9 x 13 x 5 in","2.35 lb","https://www.amazon.com/dp/B07SW485J5"
"","","B088TD1Z5B","Automatic Shoe Covers Dispenser - BeiLan Shoe Cover Machine with 100pcs Shoe Covers Disposable Boot Cover Waterproof, Dust Proof, for Medical, Home, Shop and Office","BeiLan","$35.89","215","7","$7,716","05/18/2020","$23.78","3.8","341","$12.11","49,346","6","FBA","1","Tools & Home Improvement","Standard","8.27 x 4.53 x 15.75 in","4.34 lb","https://www.amazon.com/dp/B088TD1Z5B"
"","","B0C7GXDMZS","Becackly Automatic Shoe Cover Machine Have 200 Shoe Covers Disposable Shoe Covers, Portable Machine In Used At home, office, hospital, Factory to Protect the Floor (Blue)","Becaskly","$48.99","56","5","$2,743","06/07/2023","$34.31","5","3","$14.68","69,305","7","FBA","1","Tools & Home Improvement","Standard","9.33 x 5.47 x 16.77 in","4.75 lb","https://www.amazon.com/dp/B0C7GXDMZS"
"","","B0BVZ5F615","Automatic Shoe Covers Dispenser,Shoe Cover Machine Set with Waterproof 100pcs Plastic Booty Shoe Covers Film Disposable Non Slip Covers,Suitable for Indoor Home, Shop,Offices,Family Gathering,Gold","SCGFPOE","$39.99","76","3","$3,039","02/15/2023","$26.06","4","8","$13.93","99,933","7","FBA","2","Tools & Home Improvement","Standard","9.25 x 7 x 17.25 in","4.24 lb","https://www.amazon.com/dp/B0BVZ5F615"
"","","B01DYN551S","Foldable Shoe Cover Holder (Black) with Bonus Please Use Shoe Covers, Double Sided, Door Hanger","Ssxyan","$16.49","576","23","$9,498","04/06/2016","$9.57","4.4","1,628","$6.92","41,176","7","FBA","2","Home & Kitchen","Standard","10.67 x 11.85 x 0.87 in","0.9 lb","https://www.amazon.com/dp/B01DYN551S"
"","","B0C5RF1WKM","Shoe Cover Machine Automatic Anti-Slip Indoor Shoe Cover Dispenser - 25.9812.913.7 In, 1000 Disposable Shoe Cover Capacity - Fast Film Output, Energy Saving for Home & Industrial Use - Clean Floors","","$1,298.00","","","","","","","","","393,950","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0C5RF1WKM"
"","","B0BWXTBZRN","Automatic Shoe Cover Dispenser with 50pcs Non-slip Disposable Shoe Covers,Booties for Portable Machine Fits One Size,Boot Cover Dispenser for Home,Indoors,House,Office,Supermarket,Factory(Silver)","ZRSCHYG","$47.98","208","8","$9,980","03/30/2023","$32.85","3.9","20","$15.13","46,024","6","FBA","2","Tools & Home Improvement","Standard","10.8 x 6 x 17.3 in","4.14 lb","https://www.amazon.com/dp/B0BWXTBZRN"
"","","B00SZ0XLNA","Trimaco E-Z Floor Guard Starter Kit, White","Trimaco","$106.99","72","1","$7,703","01/29/2015","$78.58","3.8","351","$28.41","178,211","5","AMZ","11","Tools & Home Improvement","Oversize","22.75 x 4.37 x 8.75 in","9.18 lb","https://www.amazon.com/dp/B00SZ0XLNA"
"","","B0BWTWB6RC","Shoe Cover Machine,Automatic Shoe Cover Dispenser,Attached with 50pcs Non-Woven Fabric Disposable Non Slip Shoe Covers,Suitable for Family Gatherings, Offices, Kitchens, Supermarkets,Silver","SCGFPOE","$39.99","102","3","$4,079","02/24/2023","$26.66","3.5","32","$13.33","106,120","6","FBA","2","Tools & Home Improvement","Standard","9.18 x 6 x 17.1 in","4.04 lb","https://www.amazon.com/dp/B0BWTWB6RC"
"","","B0BRSWRMPL","Automatic Shoe Covers Dispenser,200 Pcs Shoe Cover Indoors Disposable,Booties for Portable Machine Fits One Size,Shoe Cover Protect Floor for House Office Hospital Factory (Silver)","Becaskly","$45.99","60","2","$2,759","01/05/2023","","3.7","84","","143,747","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0BRSWRMPL"
