"Export time:  2/8/2024, 3:51:35 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CKRTVTLY","ZYMELKA Shovel Mount for Roof Rack,Metal Clamps with Replaceable Rubber Bands,Wall Mounting Brackets,Quick Release Axe Shovel Holder Wall Mount Kit for Truck Overlanding Gear Boats and Tools (2 PCS)","ZYMELKA","$17.99","","","$0.00","10/10/2023","$11.37","5","1","$6.62","302,065","6","FBA","1","Tools & Home Improvement","Standard","3.15 x 1.78 x 5.12 in","10.6 oz","https://www.amazon.com/dp/B0CKRTVTLY"
"shovel mount","","B0CMHPRKWN","Saillong Shovel Mount for Roof Rack, Metal Rubber Clamps, Wall Mounting Brackets, Quick Release Axe Holder Mount Kit, Car Accessories for Roof Rack Truck Boats Military Equipment and Tools (8 Pcs)","Saillong","$56.99","449","17","$25,589","11/02/2023","$42.65","4.4","48","$14.34","21,265","7","FBA","1","Tools & Home Improvement","Standard","6.02 x 1.65 x 8.66 in","2.66 lb","https://www.amazon.com/dp/B0CMHPRKWN"
"Average Monthly Sales: 252","","B0CL6K8WDR","2Pcs Shovel Mount for Roof Rack, ZOKCC Metal Rubber Clamp Mounting Brackets, Durable Axe Holder Organizer Clamp Mount Kit for Roof Rack, Boats, Military Equipment and Tools (Black)","ZOKCC","$17.99","60","2","$1,079","10/16/2023","$11.52","4.1","11","$6.47","142,726","6","FBA","1","Tools & Home Improvement","Standard","1 x 2.75 x 1.25 in","10.4 oz","https://www.amazon.com/dp/B0CL6K8WDR"
"Average Revenue: $5,249","","B0CLCZ36WR","Saillong 4 Pcs Shovel Mount for Roof Rack, Metal Rubber Clamps Wall Mounting Brackets, Quick Release Axe Holder Mount Kit Car Accessories for Roof Rack, Truck, Boats, Military Equipment and Tools","Saillong","$27.99","63","2","$1,763","10/18/2023","$18.65","4.6","5","$9.34","129,693","7","FBA","1","Tools & Home Improvement","Standard","3.5 x 3 x 6 in","1.35 lb","https://www.amazon.com/dp/B0CLCZ36WR"
"Average Price: $28.47","","B0C99L7HBL","Shovel Mount for Roof Rack, Metal Rubber Clamp Wall Mounting Kit, Shovel Holder Clamp Wall Mount Kit Car Accessories for Roof Rack, Boats, Military Equipment, Axe, Patent Protection","Gulfmew","$26.99","383","11","$10,337","06/24/2023","$17.80","4.2","69","$9.19","21,437","7","FBA","2","Sports & Outdoors","Standard","4.41 x 1.61 x 6.65 in","0.62 kg","https://www.amazon.com/dp/B0C99L7HBL"
"Average No. of Ratings: 316","","B0C8T1JYXP","Hi-Lift Jack Handle Keeper, Shovel Holder Mount Rubber Clamp Mount Quick-Release Clamp Mount Bracket Fits 1-1/7'' to 1-3/7'' Diameter Tools - 4 Pack","ADTOPI","$17.99","307","11","$5,523","06/20/2023","$12.06","4.3","37","$5.93","13,453","6","FBA","1","Industrial & Scientific","Standard","3.98 x 3.23 x 5.59 in","10.8 oz","https://www.amazon.com/dp/B0C8T1JYXP"
"Average Sales Rank: 205,967","","B0CKQQHSGW","Saillong Shovel Mount for Roof Rack, Metal Rubber Clamps, Wall Mounting Brackets, Quick Release Axe Holder Mount Kit, Car Accessories for Roof Rack Truck Boats Military Equipment and Tools (6 Pcs)","Saillong","$42.99","445","17","$19,131","10/08/2023","$31.40","4.4","48","$11.59","21,265","7","FBA","1","Tools & Home Improvement","Standard","5.79 x 1.65 x 6.02 in","1.98 lb","https://www.amazon.com/dp/B0CKQQHSGW"
"Average Rating Number: 4.2","","B0CN6CT53G","Shovel Mount for Roof Rack, Metal Rubber Clamp Wall Mounting Kit, Shovel Holder Clamp Wall Mount Kit Car Accessories for Roof Rack, Boats, Military Equipment, Axe, Patent Protection","Gulfmew","$54.99","387","11","$21,281","11/16/2023","$40.95","4.2","69","$14.04","21,437","7","FBA","2","Sports & Outdoors","Standard","6.02 x 1.57 x 8.7 in","1.2 kg","https://www.amazon.com/dp/B0CN6CT53G"
"","","B0CL6K8DC2","2PCS Shovel Mount for Roof Rack,Metal Rubber Clamp Mounting Kit Bracket Quick Release Axe Shovel Holder Wall Mount Kit for Truck Overlanding Gear Off Road Roof Rack Accessories Fit 0.67' to 1.57' Dia","fatyehx","$15.49","30","2","$464.70","10/16/2023","$9.17","4.4","11","$6.32","165,471","7","FBA","1","Tools & Home Improvement","Standard","1.38 x 1.25 x 4.3 in","10.2 oz","https://www.amazon.com/dp/B0CL6K8DC2"
"","","B000CQPANY","END OF ROAD Original Quick Fist Clamp for mounting tools & equipment 1' - 2-1/4' diameter, 2 Count (Pack of 1) - 0010","Quick Fist","$11.95","1,899","61","$22,693","07/24/2006","$6.62","4.6","7,154","$5.33","5,249","6","AMZ","24","Tools & Home Improvement","Standard","4.5 x 1.5 x 9.5 in","4 oz","https://www.amazon.com/dp/B000CQPANY"
"","","B0BLRNS99F","KEMIMOTO Type A Shovel Holder Rubber Clamp Grip Mount Kit Fits 1'-1.5' Diameter Tools, Clamp For 0.5'-0.75'-1.5' Mounting Bar Tube Tool Grip Quick-Release ATV UTV Clamp Mount","KEMIMOTO","$27.99","191","3","$5,346","11/07/2022","$20.11","4.4","75","$7.88","81,937","6","FBA","1","Automotive","Standard","5.12 x 3.11 x 7.13 in","13.7 oz","https://www.amazon.com/dp/B0BLRNS99F"
"","","B0919FCMD2","Sinoking Rubber Clamp 1-1/3'~1-3/5' Mount Kit Car Accessories for Offroad 4X4 parts","SINOKING","$11.99","178","6","$2,134","03/28/2021","$7.01","4.5","282","$4.98","34,822","5","FBA","1","Automotive","Standard","5.08 x 1.38 x 8.31 in","5 oz","https://www.amazon.com/dp/B0919FCMD2"
"","","B0CLYBF1BS","Shovel Holder Wall Mount for Roof Rack, 2Pcs Metal Rubber Clamp Wall Mounting Kit, Quick Release Axe Holder Wall Mount Kit,Car Accessories for Roof Rack Truck Boats Military Equipment and Tools","stochastic box","$15.99","","","$0.00","12/24/2023","","5","1","","428,878","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CLYBF1BS"
