"Export time:  2/14/2024, 1:30:03 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLJV9B51","Mutball Silent Basketball | Size 7 (29.5') | Indoor Basketball | Quiet Basketball | Foam Basketball | Silent Basketball Dribbling Indoor | Silent Ball","Generic","$39.99","673","23","$26,913","01/23/2024","$20.12","3.5","3","$19.87","9,023","7","FBA","1","Sports & Outdoors","Oversize","9 x 9 x 9 in","0.39 kg","https://www.amazon.com/dp/B0CLJV9B51"
"silent basketball","","B0CPDLRCK6","DUOAMARE Silent Basketball Dribbling Up Indoor Basketball No Noise Quiet Hush Handle Basketball Foam Quiet Bounce Dunk Silent Swish Basketball(24cm)","DUOAMARE","$27.99","1,555","49","$43,524","12/03/2023","$17.06","3","6","$10.93","3,774","7","FBA","1","Sports & Outdoors","Standard","6.81 x 6.65 x 6.93 in","0.36 kg","https://www.amazon.com/dp/B0CPDLRCK6"
"Average Monthly Sales: 442","","B0CS2ZJPVR","HUALEI-V No.5 Silent Basketball,Bouncing Ball Uncoated High Density Foam Ball,Indoor Training Ball,Soft Flexible Lightweight Easy to Grip,Foam Basketball Dribbling Indoor Sports(8.3inch)","HUALEI-V","$26.99","210","3","$5,668","01/10/2024","$19.02","1","1","$7.97","69,538","7","FBA","1","Sports & Outdoors","Standard","9.09 x 7.68 x 11.69 in","0.22 kg","https://www.amazon.com/dp/B0CS2ZJPVR"
"Average Revenue: $13,320","","B0CKK1Q4JZ","Melon Studio Silent Basketball | Size 7 (29.5') | Indoor Basketball | Quiet Basketball | Foam Basketball | Silent Basketball Dribbling Indoor | Silent Ball","Melon Studio","$44.99","1,080","65","$48,589","10/04/2023","$24.36","4.5","8","$20.63","2,613","7","FBA","2","Sports & Outdoors","Oversize","9.2 x 8.7 x 10.4 in","0.32 kg","https://www.amazon.com/dp/B0CKK1Q4JZ"
"Average Price: $27.25","","B0CPX3M89L","Silent Basketball,Silent Basketball Dribbling Indoor,2024Foam Basketball Silent 7-24cm/9.44in Dunk Basketball Indoor Training,Silent Swish Basketball(Adult Basketball)","Generic","$31.99","2,019","88","$64,588","12/04/2023","$23.42","4","5","$8.57","1,712","7","FBA","1","Sports & Outdoors","Standard","7.05 x 3.43 x 7.2 in","0.32 kg","https://www.amazon.com/dp/B0CPX3M89L"
"Average No. of Ratings: 262","","B0CRKN7WXZ","KEHOO Silent Basketball, 2024 Latest Foam Basketball Indoor Training Ball, Silent Bouncing Basketball, Training Foam Ball, for Various Indoor Activities","KEHOO","$25.99","1,815","57","$47,172","01/04/2024","$7.45","1.7","3","$18.54","3,086","7","FBA","1","Sports & Outdoors","Oversize","9.21 x 8.94 x 11.89 in","0.22 kg","https://www.amazon.com/dp/B0CRKN7WXZ"
"Average Sales Rank: 66,413","","B0CP6F37N5","WAWAWEWA The Official Silent Basketball + (New) | Size 7 (29.5') ; Grooved Foam Ball for Quiet Dribbling and Indoor Training","WAWAWEWA","$47.99","1,415","46","$67,906","07/18/2023","$25.01","5","4","$22.98","4,061","7","FBA","1","Sports & Outdoors","Oversize","10.5 x 10.5 x 10.5 in","0.34 kg","https://www.amazon.com/dp/B0CP6F37N5"
"Average Rating Number: 3.6","","B000AXAC7I","Baden Elite","Baden","$59.99","695","22","$41,693","06/30/2003","$37.11","4.6","1,558","$22.88","9,527","5","AMZ","6","Sports & Outdoors","Oversize","9.53 x 9.45 x 9.65 in","0.59 kg","https://www.amazon.com/dp/B000AXAC7I"
"","","B0C5HXM4H7","Doloowee Basketball Hoop Indoor for Kids, Mini Basketball Hoop with 4 Balls, Basketball Toys for 3 4 5 6 7 8 9 10 11 12 Year Old Boys","Doloowee","$23.99","170","3","$4,078","07/31/2023","","4.1","125","","85,996","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0C5HXM4H7"
"","","B0CJDXRLMK","AIGIMU Kids Basketball Hoop with Stand Adjustable Height 5.1ft-7ft 2-in-1 Toddler Basketball Hoop for Boys Girls Age 4 5 6 7 8 9 10 11 12 Mini Portable Basketball Goals for Indoor Outdoor Sport Game","AIGIMU","$49.99","142","7","$7,099","09/19/2023","$31.56","4.1","29","$18.43","43,175","7","FBA","3","Toys & Games","Standard","13.46 x 4.88 x 17.4 in","3.73 kg","https://www.amazon.com/dp/B0CJDXRLMK"
