"Export time:  2/1/2024, 11:06:00 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CS9TK7G5","New Toys for Women, Quiet 10 Speed Adult Toys Waterproof, Best for Electric Remote Control Adult Toys, Rechargeable.Waterproof USB Fast Charge,Dual Motor,","Generic","$28.99","225","7","$6,523","01/12/2024","$20.87","","","$8.12","71,301","7","FBA","2","Health & Household","Standard","4.33 x 1.57 x 5.51 in","7.41 oz","https://www.amazon.com/dp/B0CS9TK7G5"
"small dildo","","B0CQ4XLSGW","2024 Christmas Gifts Toys for Women, Quiet 30 Speed Adult Toys Waterproof Automatic Electric Adult Toys Machine Pleasure Gifts Realistic Soft Silicone Base, Dual Motor USB Fast Charge Waterproof","Generic","$35.99","60","1","$2,159","12/12/2023","$26.82","","","$9.17","208,702","6","FBA","2","Health & Household","Standard","2.2 x 1.57 x 8.66 in","7.41 oz","https://www.amazon.com/dp/B0CQ4XLSGW"
"Average Monthly Sales: 136","","B0CQP9L186","5.7 Inches Pink Flexible Silicone Strong Suction Cup for Hands-Free Play Realistic Classic Wand for Male Female Beginner Games","Generic","$8.99","","","","12/19/2023","","","","","594","7","FBM","1","Realistic Dildos","","","","https://www.amazon.com/dp/B0CQP9L186"
"Average Revenue: $3,990","","B0CSFR7CWK","6 inches Flexible Comfortable Silicone Suction Cup Realistic Classic Wand (6 inches), Can Help You Achieve High-Happiness Easily Used in Everywhere You Wanted -2","Generic","$19.99","","","","01/15/2024","","","","","320","6","FBM","1","Realistic Dildos","","","","https://www.amazon.com/dp/B0CSFR7CWK"
"Average Price: $25.60","","B0CR18HM35","4.3 Inches Clear Flexible Silicone Strong Suction Cup for Hands-Free Play Realistic Classic Wand for Male Female Beginner Games K-17","Generic","$31.99","","","","12/23/2023","","","","","","7","FBM","1","","","","","https://www.amazon.com/dp/B0CR18HM35"
"Average No. of Ratings: 23,990","","B0CQP7TDLM","4.3 Inches Blue Flexible Silicone Strong Suction Cup for Hands-Free Play Realistic Classic Wand for Male Female Beginner Games","","$15.99","","","","","","","","","765","","FBM","","Realistic Dildos","","","","https://www.amazon.com/dp/B0CQP7TDLM"
"Average Sales Rank: 375,257","","B0CRHSNVTT","4.3 inches Hidden Packing Soft Silicone Black Realistic Classic Dick Wand Hands-Free Play with Strong Suction Cups for Men and Women Beginner Games-GP54","Losei","$20.49","","","","12/16/2023","","","","","","7","FBM","1","","","","","https://www.amazon.com/dp/B0CRHSNVTT"
"Average Rating Number: 4.6","","B0CT8SCC68","8.0 inches Hidden Packing Silicone Suction Cup Realistic Classic Dick Wand with Strong Suction Cups for Men and Women or Men's and Women's Games 182","Generic","$18.99","","","","01/24/2024","","","","","417","6","FBM","1","Realistic Dildos","","","","https://www.amazon.com/dp/B0CT8SCC68"
"","","B0CSSG8C2H","9.05 inches Hidden Packing Silicone Suction Cup Realistic Classic Dick Wand with Strong Suction Cups for Men and Women or Men's and Women's Games MCBAS","Generic","$17.99","","","","01/15/2024","","","","","","6","FBM","1","","","","","https://www.amazon.com/dp/B0CSSG8C2H"
"","","B0CQY78VL6","Remote Control vibratiers for Women Date Night Wireless Panties,Couples Play with Massager Toy Outdoors or at Home,Valentine's Day Gift for Her U4","Generic","$35.99","","","","12/24/2023","","","","","","6","FBA","1","","","","","https://www.amazon.com/dp/B0CQY78VL6"
