"Export time:  2/5/2024, 12:44:47 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B089F8D68H","Moncot C Shaped End Table TV Trays with Detachable Wheels, White Marble Texture Side Table, MDF Wood Top Table for Small Space Couch Sofa Bedroom Living Room (White)","Moncot","$77.99","45","1","$3,510","05/29/2020","$52.49","4.3","497","$25.50","539,039","7","FBA","1","Home & Kitchen","Oversize","16.142 x 3.937 x 26.378 in","10.362 lb","https://www.amazon.com/dp/B089F8D68H"
"small drink table","","B09X9GMLZG","AOJEZOR Accent Side / End Table, Waterproof Metal Structure, Great for Living Room, Bedroom, Indoor & Outdoor, Matte Black Tray Surface with 3 Legs, Ideal for Any Room","AOJEZOR","$37.88","5,059","140","$191,635","03/13/2022","$20.22","4.6","3,932","$17.66","5,088","7","FBA","3","Home & Kitchen","Oversize","19.3 x 2.6 x 23 in","6.6 lb","https://www.amazon.com/dp/B09X9GMLZG"
"Average Monthly Sales: 574","","B09KSVWYKV","Shamrock Home Bamboo Couch Arm Table, Clip On Tray Sofa Table for Couches. Sofa Arm Tray, Armchair Table for TV Dinners, Remotes, Drinks and Snacks - 13.75 x 9.5inch, Brown","Shamrock Home","$34.99","2,004","55","$70,120","02/07/2022","","4.7","5,127","","4,715","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B09KSVWYKV"
"Average Revenue: $23,650","","B0C559WNJX","KMANDLU Premium Clear Acrylic Side Table Set - 2-Tier End Table, Nightstand, Coffee Table - Ideal for Small Spaces - Modern Acrylic Furniture","KMANDLU","$39.99","","","$4,450","05/12/2023","","4.3","42","","700,711","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C559WNJX"
"Average Price: $58.55","","B0CGD6RQV1","DREAMODERN Round Pedestal Table Black Side Table, Modern End Table Small Drink Table for Small Spaces Sofa Couch Chair Patio - Black","DREAMODERN","$39.99","331","22","$13,237","08/22/2023","","4.4","10","","41,993","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGD6RQV1"
"Average No. of Ratings: 417","","B0C8NBVNM4","COVLON Pedestal Side Table, Drink Table, Small End Table, Martini Table for Living Room, Dorm, Home Office and Bedroom, Distressed Finish, Brown","COVLON","$47.97","360","12","$17,269","06/19/2023","","4.4","29","","75,904","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C8NBVNM4"
"Average Sales Rank: 277,285","","B08RSLPX5N","Kate and Laurel Sanzo Bohemian Side Table, 9 x 9 x 23, Gold, Decorative Pedestal End Table for Display and Storage","Kate and Laurel","$79.99","130","11","$10,399","12/30/2020","$53.73","4.8","220","$26.26","83,481","7","AMZ","4","Home & Kitchen","Oversize","10.2 x 19.6 x 9.8 in","7.1 lb","https://www.amazon.com/dp/B08RSLPX5N"
"Average Rating Number: 4.4","","B0B2QQ32RC","HMYHUM Clear Acrylic Drink Table for Small Spaces, Martini Table for Living Room, Small Drink Side Table, 3 Tiers, C Shaped, 8' L x 8' W x 26' H","HMYHUM","$45.99","69","1","$3,173","05/30/2022","$33.30","4.3","56","$12.69","495,813","6","FBA","1","Home & Kitchen","Standard","8 x 2 x 13 in","3 lb","https://www.amazon.com/dp/B0B2QQ32RC"
"","","B0BBXZTJZC","mDesign Glass Top Side/End Drink Table - Small Modern Round Accent Metal Nightstand Furniture for Living Room, Dorm, Home Office, and Bedroom - 9' Round - Soft Brass","mDesign","$52.99","630","21","$33,384","08/24/2022","","4.6","446","","45,248","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BBXZTJZC"
"","","B0BC4221GN","HMYHUM Acrylic Drink Table for Small Spaces, 10' L x 10' W x 21.3' H, Drink Side/End Table for Living Room, Round, Easy Assembly, Clear","HMYHUM","$39.99","333","12","$13,317","08/26/2022","","4.5","158","","73,851","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BC4221GN"
