"Export time:  2/1/2024, 1:40:16 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08Y8FT5BB","MichaelPro Magnetic Socket Organizer, Socket Tray, 3-Pc 1/4-inch, 3/8-Inch, & 1/2-Inch Magnetic Socket Organizer Tray in SAE for Toolboxes/Cabinets| MP014003","MichaelPro","$36.68","84","2","$3,081","03/07/2021","$24.75","3.9","11","$11.93","148,511","7","AMZ","4","Tools & Home Improvement","Standard","4 x 4 x 15 in","4 lb","https://www.amazon.com/dp/B08Y8FT5BB"
"socket organizer magnetic","","B0C3LWQDYJ","SUNHZ MCKP Magnetic Socket Organizer Set 6 PC, Socket Tool Holder Includes 1/4', 3/8', 1/2' Metric & SAE Socket holders for tool box drawer, Holds 143PCS Standard and Deep Size Sockets","SUNHZ MCKP","$42.99","677","39","$29,104","09/01/2023","$29.90","4.7","24","$13.09","2,992","7","FBA","2","Automotive","Standard","9.8 x 6.7 x 14.78 in","8.97 lb","https://www.amazon.com/dp/B0C3LWQDYJ"
"Average Monthly Sales: 644","","B0BLB7BLCW","Reniteco Socket Organizer Drive ABS Tools - Black Socket Holder, Premium Quality 9 Pieces Socket Holders Kit 1/4-Inch x 48 Clips, 3/8-Inch x 45 Clips, 1/2-Inch x 36 Clips9PC,Black)","Reniteco","$23.99","3,155","141","$75,688","11/04/2022","$15.32","4.6","1,090","$8.67","458","6","FBA","1","Automotive","Standard","6.57 x 1.85 x 15.51 in","2.18 lb","https://www.amazon.com/dp/B0BLB7BLCW"
"Average Revenue: $22,565","","B09YQZ6DJ1","WORKPRO Magnetic Socket Organizer Set, 6-Piece Socket Holder Set Includes 1/4', 3/8', 1/2' Drive Metric SAE Socket Trays, Holds 141 Pieces Standard Size and Deep Size Sockets(Socket not Included)","WORKPRO","$59.99","1,688","43","$101,263","04/24/2022","$44.86","4.7","775","$15.13","2,678","7","FBA","5","Automotive","Standard","7.91 x 4.76 x 15.28 in","8.26 lb","https://www.amazon.com/dp/B09YQZ6DJ1"
"Average Price: $40.05","","B0CC1GWMCN","EACELIY 6Pcs Magnetic Socket Organizer Set, 1/2', 1/4' and 3/8' SAE & Metric Deep & Shallow Socket Holder Kit, Socket Traysholds 143pcs Sockets (sockets not included)","EACELIY","$44.99","1,006","34","$45,260","08/29/2023","$31.36","4.6","55","$13.63","3,602","6","FBA","1","Automotive","Standard","7.28 x 3.84 x 15.35 in","9.01 lb","https://www.amazon.com/dp/B0CC1GWMCN"
"Average No. of Ratings: 666","","B07R74MHSQ","Olsa Tools Magnetic Socket Organizer | 3 Piece Socket Holder Kit | 1/2-inch, 3/8-inch, & 1/4-inch Drive | SAE Green | Holds 68 Sockets | Professional Quality Tools Organizer","Olsa Tools","$39.87","2,593","69","$103,383","04/24/2019","$28.36","4.7","6,342","$11.51","1,374","7","FBA","3","Automotive","Standard","3.9 x 3.82 x 15.63 in","4.1 lb","https://www.amazon.com/dp/B07R74MHSQ"
"Average Sales Rank: 59,535","","B0CMZF1LZM","SWANLAKE 6PCS Magnetic Socket Organizer Set, Magnetic Socket Holder, 1/4', 3/8', 1/2' Socket Holds 143 Pieces Magnetic Socket Trays.","SWANLAKE GARDEN TOOLS","$42.99","1,275","45","$54,812","11/08/2023","$29.90","4.5","129","$13.09","2,534","6","FBA","1","Automotive","Standard","7.8 x 4.5 x 15.3 in","8.14 lb","https://www.amazon.com/dp/B0CMZF1LZM"
"Average Rating Number: 4.6","","B07R54K28H","Olsa Tools Magnetic Socket Organizer | 3 Piece Socket Holder Kit | 1/2-inch, 3/8-inch, 1/4-inch Drive | Metric Blue | Holds 75 Sockets | Professional-Grade","Olsa Tools","$39.87","2,476","63","$98,718","07/22/2019","$28.36","4.7","6,342","$11.51","1,562","7","FBA","1","Automotive","Standard","3.74 x 3.74 x 15.4 in","4.1 lb","https://www.amazon.com/dp/B07R54K28H"
"","","B09KP5J7LK","ARES 60162-3-Piece Blue Magnetic Socket Holder Set - 1/4-Inch, 3/8-Inch, and 1/2-Inch Socket Holders  Holds Standard and Deep Sockets - Securely Holds 76 Sockets - Organize Your Tool Box","ARES","$74.02","211","5","$15,618","02/15/2017","$57.81","4.5","275","$16.21","39,751","7","FBA","30","Automotive","Standard","6.69 x 3.35 x 16.93 in","6.05 lb","https://www.amazon.com/dp/B09KP5J7LK"
"","","B0BRKMK1JB","SHALL Magnetic Socket Organizer Set, 6-Piece SAE & Metric Socket Holder Set Includes 1/4', 3/8', 1/2' Drive Socket Trays, Holds 143 Pieces Standard Size and Deep Size Sockets (Socket not Included)","SHALL","$45.99","333","8","$15,315","01/02/2023","$32.54","4.6","134","$13.45","21,616","7","FBA","1","Automotive","Standard","0.77 x 0.46 x 1.52 in","8.23 lb","https://www.amazon.com/dp/B0BRKMK1JB"
