"Export time:  1/30/2024, 12:39:44 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C79LMXR1","Mosomboo Bread Slicer with Serrated Knife and Crumb Tray - Foldable and Compact Loaf Cutter, 3 Size, Adjustable Slicing Guide, Bread Cutting Board for Homemade Bread, Cakes, Bagels, Bun","MOSOMBOO","$37.99","750","25","$28,493","06/05/2023","","3.7","18","","36,892","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C79LMXR1"
"sourdough bread slicer","","B0886FR4HM","Mama's Great 2023 Updated Bamboo Bread Slicer for Homemade Bread - Ecofriendly, Compact & Foldable - Adjustable Slicing Guides with Sturdy Wooden Cutting Board","mamas great","$45.99","1,801","47","$82,828","08/18/2020","$32.66","4.3","2,666","$13.33","5,673","7","FBA","1","Kitchen & Dining","Standard","8.9 x 12 x 3.3 in","3.3 lb","https://www.amazon.com/dp/B0886FR4HM"
"Average Monthly Sales: 1,479","","B08X27LXYC","Meat Slicer, 200W Electric Food Slicer with 2 Removable 7.5' Stainless Steel Blades and Stainless Steel Tray, Child Lock Protection, Adjustable Thickness, Food Slicer Machine for Meat Cheese Bread","Borlebbi","$118.99","1,829","84","$217,633","02/19/2021","$86.88","4.3","1,829","$32.11","2,841","7","FBA","30","Kitchen & Dining","Oversize","11.2 x 16.3 x 10.9 in","10.95 lb","https://www.amazon.com/dp/B08X27LXYC"
"Average Revenue: $52,682","","B09NY453PY","Kiss Core Premium Bamboo Bread Slicer for Homemade Bread, Crumb Catcher, Foldable and Compact Loaf Cutter 3 Size Slicing Guide","Kiss Core","$34.99","2,670","89","$93,423","12/20/2021","","4.1","1,129","","9,119","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09NY453PY"
"Average Price: $35.29","","B0BXHLDHCM","Bamboo Bread Slicer with Professional Bread Knife & Crumb Catcher Tray  Fully Adjustable for 3 Slice Thickness & Extra Tall Cutter Guide  Enjoy Homemade Bread Like Bagel, Sourdough, Cake","Eating At Auntie's","$37.99","338","13","$12,841","03/03/2023","","4.1","101","","73,670","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXHLDHCM"
"Average No. of Ratings: 1,180","","B0CP9CY447","OL'FOGEY Bread Slicer Scalloped Bread Slicer - Solid Oak Bow Bread Cutter for Homemade Bread - 17 inch - Easy Grip Handle for Slicing Bagels, Sourdough Loaf, Baguette - Premium Kitchen Gift","OL'FOGEY","$29.97","","","$0.00","12/12/2023","","","","","372,561","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CP9CY447"
"Average Sales Rank: 63,570","","B0CHNXFTGQ","RIJIAKESEN Bread Knife,Bread Slicer, Sourdough Bread Slicer for Homemade Bread, Natural Wooden Bow Design by Baker and Stainless Steel for Easy Cutting,Multipurpose Bread Cutter,Serrated Bagel Knife.","RIJIAKESEN","$19.99","143","3","$2,859","09/08/2023","","3.8","38","","77,003","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CHNXFTGQ"
"Average Rating Number: 4.2","","B0C8LH6DRR","Premium Bread Bow Knife for Right or Left-Handed Use - Eco-Friendly Bread Slicer for Homemade Loaves, Baguettes, and Bagels - Fiddle Bow Bread Knife with Cutting Guidelines","mamas great","$25.99","373","16","$9,694","06/30/2023","","4.3","57","","17,868","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C8LH6DRR"
"","","B07S5R3HHV","Meat Slicer Electric Deli Food Slicer with Child Lock Protection, Removable 7.5 Stainless Steel Blade and Food Carriage, Adjustable Thickness Food Slicer Machine for Meat, Cheese, Bread(150W)","OSTBA","$99.99","4,534","100","$453,355","07/02/2019","$70.73","4.3","8,622","$29.26","2,275","7","FBA","5","Kitchen & Dining","Oversize","11 x 16.5 x 10.8 in","10.099 lb","https://www.amazon.com/dp/B07S5R3HHV"
"","","B08FBV7YLP","TCOTBE 60 Reusable Elastic Food Bowl Storage Covers,Variety of 3 translucent stretchable sizes and Colorful Dish Plate Covers,Alternative to foil, plastic wrap,BPA Free","TCOTBE","$8.98","5,073","180","$45,556","08/05/2020","$4.09","4.6","1,736","$4.89","1,000","5","FBA","1","Kitchen & Dining","Standard","5.31 x 2.36 x 6.34 in","4.66 oz","https://www.amazon.com/dp/B08FBV7YLP"
"","","B08FVTWNP4","BREAD SLICER ISLICE.ca Serrated Bread Knife - Solid Oak Bow Bread Cutter for Homemade Bread - 17 inch - Easy Grip Handle For Slicing Bagels, Sourdough Loaf, Baguette - Premium Kitchen Gift","islice.ca","$29.97","30","1","$899.10","08/12/2020","$21.70","4.6","278","$8.27","139,747","7","FBA","1","Kitchen & Dining","Standard","1 x 2 x 17 in","0.375 lb","https://www.amazon.com/dp/B08FVTWNP4"
"","","B0C4YR65RJ","HSquare Wooden Bread Bow Knife Serrated Bread Loaf Sourdough Cutter - Bread Knife for Homemade Bread Easy Grip Handle Cutter Knife for Bagels, Baguettes and More 15.7 x 2.24","HSquare","$25.50","221","5","$5,636","05/10/2023","","4.3","24","","52,500","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4YR65RJ"
"","","B095ZV2S2T","Premium Bamboo Bread Slicer With Stainless-Steel Knife, Foldable And Compact With Crumb Tray, Cutting Guide For Homemade Bread, Cake, Bagels, Sourdough and Baker Baking Tools Supplies","321 Send","$28.00","102","1","$2,856","05/26/2021","$17.37","2.9","88","$10.63","133,456","7","FBA","1","Kitchen & Dining","Standard","8.701 x 13.307 x 2.795 in","3.203 lb","https://www.amazon.com/dp/B095ZV2S2T"
"","","B0CGQX112F","Uprichya Wooden Bread Bow Knife -16' Serrated Bagel Knife  Sourdough Cutter Fiddle Bow Bread Slicer Knife for Homemade Bread, Premium Stainless Steel Saw","Uprichya","$24.99","757","23","$18,917","08/27/2023","","4.3","41","","11,945","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CGQX112F"
"","","B0025KDOBK","Zassenhaus 72006 Manual bread slicer","Zassenhaus","$299.00","750","25","$224,250","06/05/2019","","4.5","1,645","","10,868","6","FBA","6","Kitchen & Dining","","","","https://www.amazon.com/dp/B0025KDOBK"
"","","B0CKRN7JQX","Bread Slicer for Homemade Bread - No Splinters with HDPE Base and Maple Fingers  4 Different Thicknesses for Uniform and Consistent Slices - Foldable Bread Slicing Guide with Optimal Knife Grooves","ABIOTO","$39.99","1,707","31","$68,263","11/14/2023","","3.8","85","","30,539","6","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKRN7JQX"
"","","B077TK2H2B","Bambüsi Bamboo Bread Slicer with Knife - 3 Slice Thickness, Foldable Compact Cutting Guide with Crumb Tray, Stainless Steel Bread Knife for Homemade Bread, Cake, Bagels 5.5 Wide x 5 Tall","Bambüsi","$44.99","3,282","77","$147,657","11/28/2017","$31.81","4.3","14,153","$13.18","10,844","7","FBA","8","Home & Kitchen","Standard","9.173 x 14.095 x 2.52 in","3.131 lb","https://www.amazon.com/dp/B077TK2H2B"
"","","B0C2GQZFBM","Otuuz 11 Inch Acacia Wooden Sourdough Bread Mixing Stir Stick Spurtle Acacia Wooden Sourdough Bread Making Tools Wooden Paddle Stirring Stick for Kitchen Cooking","Otuuz","$18.99","287","13","$5,450","04/13/2023","","3.8","5","","20,857","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2GQZFBM"
"","","B08Z2VNT5L","Mosomboo Natural Bamboo Bread Slicer with Serrated Knife and Crumb Tray - Foldable and Compact Loaf Cutter, 3 Slice Sizes, Bread Cutting Board for Homemade Bread, Cakes, Bagels","RAXXIO","$33.99","183","5","$6,220","03/15/2021","$22.46","4","137","$11.53","165,879","6","FBA","1","Home & Kitchen","Standard","9.45 x 14.48 x 2.36 in","3.459 lb","https://www.amazon.com/dp/B08Z2VNT5L"
"","","B07TWY7CQ3","LARS NYSM Bread Box I Metal bread box with linen bread bag for long lasting freshness I Bread box with bamboo lid usable as cutting board I 13.4x7.3x5.3In (Cool Grey)","LARS NYSM","$36.99","1,245","23","$46,053","07/27/2020","$25.01","4.5","5,377","$11.98","11,871","6","FBA","1","Kitchen & Dining","Standard","7.68 x 5.31 x 13.39 in","3.42 lb","https://www.amazon.com/dp/B07TWY7CQ3"
"","","B0BJV26FV5","2 Pieces Silicone Baking Mat for Dutch Oven Bread Baking Non-stick Baking Mat with Long Handle 8.3 Inch Reusable Silicone Baking Sheets Heat Resistant Baking Bread Pad for Dough Pastry (Red)","Patelai","$14.99","2,145","70","$32,154","10/19/2022","","4.3","336","","3,552","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BJV26FV5"
"","","B0BRKQB3J3","Mama's Great 2024 Updated Bamboo Bread Slicer for Homemade Bread - Adjustable Slicing Guides, Ecofriendly, Compact & Foldable for Easy Bagel & Bread Cutting. Model 2 with Grooved Stop Board","mamas great","$43.99","1,016","87","$44,694","03/19/2023","","4.3","2,666","","9,367","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRKQB3J3"
"","","B09XJRWD3Y","Bamboo Bread Slicer for Homemade Bread,Adjustable Width Bread Slicing Guides. Sturdy Wooden Bread Cutting Board. Makes Cutting Bagels or Even Bread Slices Easy","Vriccc","$28.99","1,358","49","$39,368","04/08/2022","$18.85","4.1","1,296","$10.14","18,489","6","FBA","1","Home & Kitchen","Standard","8.27 x 11.97 x 2.32 in","2.76 lb","https://www.amazon.com/dp/B09XJRWD3Y"
"","","B0CPPJRC3W","Volnamal Magnetic Bread Lame Dough Scoring Tool - Push-pull Handle for Perfect Bread Scoring Tool for Sourdough Baking & Bread Making Tools, Sourdough Starter Kit 1 Pack w/5 Razor Blades,Red","Volnamal","$8.99","2,130","71","$19,149","12/30/2023","","4.5","23","","3,465","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CPPJRC3W"
"","","B0CPPH7F6G","Volnamal Magnetic Bread Lame Dough Scoring Tool - Push-pull Handle Perfect Bread Scoring Tool for Sourdough Baking & Bread Making Tools, Sourdough Starter Kit 1 Pack w/5 Razor Blades,Black","Volnamal","$8.99","1,140","38","$10,249","01/01/2024","","4.3","27","","7,099","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CPPH7F6G"
"","","B0CPCT6L5B","Zerymhan Wooden Sourdough Bread Knife,16' Serrated Bread Cutter for Homemade Bread,Bagels, Baguettes and More,Bow Bread Knife,Fiddle Bow Design Easy to Cutting,Premium Carbon Steel","Zerymhan","$19.99","240","8","$4,798","12/17/2023","","3.9","6","","33,143","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CPCT6L5B"
"","","B0CQXDYBTW","Kiss Core New Upgrade Bread Slicer for Homemade Bread, Bread Slicing Guide Adjustable Width, Foldable and Compact Cutting Guide with Crumb Tray, Suitability for Homemade Bread, Bagels, Cakes.","","$24.97","","","","","","","","","","","FBA","","","","","","https://www.amazon.com/dp/B0CQXDYBTW"
"","","B09N3M4BDJ","GRIN BY GRIN- 2 Packs Bread Bags to Keep Fresh, Reusable Zipper for Homemade Loaf, Freezer Storage Bag, Container, Fresh Keeping Extra Large Bags, Food Bag","GRIN BY GRIN","$23.99","3,496","95","$83,869","12/05/2021","$16.62","4.4","907","$7.37","2,409","7","FBA","1","Kitchen & Dining","Standard","12 x 0.5 x 17 in","6.1 oz","https://www.amazon.com/dp/B09N3M4BDJ"
"","","B0C998GFHY","RISICULIS Bread Box for Kitchen Countertop, Airtight Loaf Bread Storage Container, Time Recording Bread Keeper with Lid, Bread Holder Bin for Homemade Bread, Bun, Bagel, Loaf","RISICULIS","$29.99","1,253","43","$37,577","06/24/2023","$19.06","4.5","74","$10.93","6,217","7","FBA","3","Kitchen & Dining","Standard","6.2 x 6.1 x 12 in","2.25 lb","https://www.amazon.com/dp/B0C998GFHY"
"","","B07TV2DLKW","Bamboo Bread Slicer for Homemade Breadfoldable adjustable Slicing width with sturdy bamboo cutting board, cutting bagels or even slices of bread becomes easy.","PURENJOY","$25.99","1,244","39","$32,332","06/30/2019","$16.30","4","1,463","$9.69","23,846","7","FBA","1","Home & Kitchen","Standard","9.173 x 13.465 x 2.402 in","2.859 lb","https://www.amazon.com/dp/B07TV2DLKW"
