"Export time:  1/30/2024, 12:40:01 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BXLJR6QW","WAVEWISE Sourdough Starter Jar Kit 1000ml - Large Glass Jar for Sourdough - Sourdough Starter Crock - Reusable Sour Dough Starter Jar With Thermometer, Silicone Scraper, Cloth Cover and Lid","WAVEWISE","$25.85","563","14","$14,554","03/05/2023","","4.5","67","","19,360","7","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BXLJR6QW"
"sourdough container","","B0C78255TZ","KneadAce Pro Sourdough Bread Starter Kit- 34 oz Large Capacity Sourdough Starter Jar with 5 unique features for the perfect sour dough bread & sourdough starter kit- sourdough bread baking supplies","KNEADACE","$29.98","5,645","220","$169,237","07/21/2023","","4.7","536","","738","6","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C78255TZ"
"Average Monthly Sales: 1,074","","B09SGDK43Y","KneadAce Sourdough Starter Jar With Date Marked Feeding Band, Thermometer, Sourdough Jar Scraper, Sourdough Container Sewn Cloth Cover & Metal Lid, Sourdough Starter Kit","KNEADACE","$25.98","4,372","225","$113,585","02/16/2022","$16.94","4.4","1,617","$9.04","715","7","FBA","1","Kitchen & Dining","Standard","4.88 x 9.09 x 4.84 in","1.39 lb","https://www.amazon.com/dp/B09SGDK43Y"
"Average Revenue: $26,509","","B0C9TD8R2W","Wissy&Konny Sourdough Starter Jar 2Pack 35OZ with Ounce Scale Line,Date Marked Feeding Band, Thermometer, Sourdough Jar Scraper, Cloth Cover & Wood Lid, Wide Mouth for Sourdough Bread Baking","Wissy&Konny","$32.99","1,431","31","$47,209","06/29/2023","$22.25","4.5","53","$10.74","8,737","7","FBA","1","Kitchen & Dining","Standard","4 x 4 x 7 in","2.8 lb","https://www.amazon.com/dp/B0C9TD8R2W"
"Average Price: $24.68","","B0C6ZZV1JG","Tyniaide Sourdough Starter Jar Kit 1000ML Wide Mouth Sourdough Starter Jar with Thermometer Scraper Cloth Cover and Aluminum Lid Sour Dough Starter Container for Sourdough Bread Baking Supplies","Tyniaide","$24.99","1,101","35","$27,514","06/02/2023","","4.6","445","","7,665","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C6ZZV1JG"
"Average No. of Ratings: 439","","B0BR571P2Q","Tyniaide Sourdough Starter Kit, Sourdough Starter Jar 2 Pack (per jar 35 oz) - Glass Sourdough Crock Set. Reusable for DIY Homemade Sourdough Bread","Tyniaide","$42.99","1,292","44","$55,543","12/26/2022","","4.5","273","","6,066","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BR571P2Q"
"Average Sales Rank: 41,989","","B0C112CXJM","zunmial Sourdough Starter Jar, Sourdough Starter Kit with Date Marked Feeding Band, Thermometer, Cloth Cover & Metal Lid, Reusable Sourdough Bread Baking Supplies, Home Baking Supplies","zunmial","$22.99","4,220","135","$97,018","03/29/2023","","4.3","261","","1,517","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C112CXJM"
"Average Rating Number: 4.5","","B0C1RNVQ71","Sourdough Starter Jar Kit-1100ml/39Oz, Sourdough Starter Kit, Sour Dough Starter Jar With Stainless Steel Lid, Thermometer, Silicone Scraper, Cloth Cover And Date Marked Feeding Band (1 Pack)","SHTALHST","$19.99","1,149","27","$22,969","04/06/2023","$11.85","4.2","95","$8.14","10,372","7","FBA","1","Kitchen & Dining","Standard","4 x 9 x 4 in","1.01 lb","https://www.amazon.com/dp/B0C1RNVQ71"
"","","B08CF3WX5W","Large Glass Jars for Sourdough - Starter Jar with Glass Lid - Tulip Jar with Wide Mouth - Weck Jars 1 Liter Includes (Cork Lid & Keep Fresh Cover)","Weck Jars","$22.99","630","21","$14,484","07/16/2020","$14.40","4.8","917","$8.59","13,241","7","FBA","2","Kitchen & Dining","Standard","4.5 x 7 x 4.5 in","1 lb","https://www.amazon.com/dp/B08CF3WX5W"
"","","B0C3L3NJH4","Sourdough Starter Jar, 1000ML Wide Mouth Sourdough Starter Kit with Thermometer, Scraper, Cloth Cover and Metal Lid, Sour Dough Starter Jar Kit Use for Sourdough Bread Baking Supplies","Comfynest","$24.98","784","23","$19,584","04/23/2023","$16.09","4.3","88","$8.89","11,879","7","FBA","1","Kitchen & Dining","Standard","4.5 x 4.7 x 8.8 in","1 lb","https://www.amazon.com/dp/B0C3L3NJH4"
"","","B0C1RL8L5V","Sourdough Starter Jar Kit-1100ml/39Oz, Sourdough Starter Kit, Sour Dough Starter Jar With Stainless Steel Lid, Thermometer, Silicone Scraper, Cloth Cover And Date Marked Feeding Band (2 Pack)","SHTALHST","$35.99","1,099","27","$39,553","04/06/2023","$24.80","4.2","95","$11.19","10,372","7","FBA","1","Kitchen & Dining","Standard","4 x 9 x 8 in","2.12 lb","https://www.amazon.com/dp/B0C1RL8L5V"
"","","B07FLF3L62","Cambro RFS6PP190 6 Qt Round Container Wirh RFSC6PP190 Translucent Lid","Cambro","$14.45","1,583","50","$22,874","07/13/2018","$8.75","4.7","2,723","$5.70","5,285","3","FBM","21","Kitchen & Dining","Standard","7 x 8 x 10 in","2.4 oz","https://www.amazon.com/dp/B07FLF3L62"
"","","B0BRC4ZC49","Kmise Sourdough Starter Jar, 34 Oz DIY Pro Glass Sourdough Starter Jar Kit With Thermometer, Silicone Spatula, Blackboard Stickers and Cutter","Kmise","$17.99","1,823","65","$32,796","12/29/2022","$10.15","4.3","90","$7.84","3,871","7","AMZ","5","Kitchen & Dining","Standard","5.2 x 9.09 x 5.39 in","1.43 lb","https://www.amazon.com/dp/B0BRC4ZC49"
"","","B08P555DGH","Weck Tulip Jar - Sour Dough Starter Jars for Sourdough - 1 x WECK 745 Large Clear Jar with Wide Mouth - 1 Liter Includes Glass Lid, rubber seal and steel clips","WECK","$22.94","3,119","150","$71,550","11/24/2020","$14.50","4.7","1,523","$8.44","1,299","7","FBA","6","Kitchen & Dining","Standard","5 x 5 x 7 in","1 lb","https://www.amazon.com/dp/B08P555DGH"
"","","B08NPXX3WK","Weck Jars - 35.9 fl. oz Weck Tulip Jars 1 Liter - Sour Dough Starter Jars - Large Glass Jars for Sourdough - Suitable for Canning and Storage - (1 Jar, Glass Lid & Wooden Lid)","Weck Jars","$27.99","575","17","$16,094","11/22/2020","$18.65","4.7","515","$9.34","16,737","7","FBA","2","Kitchen & Dining","Standard","5 x 5 x 8 in","1.75 lb","https://www.amazon.com/dp/B08NPXX3WK"
"","","B0C2KWBMFG","Arbnic Sourdough Starter Kit with 2 Starter Jars, Sourdough Bread Baking Supplies Included Thermometer Band, Level Tracker (with 2 Jars)","Arbnic","$27.99","396","19","$11,084","04/14/2023","","4.4","78","","14,535","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2KWBMFG"
"","","B0CJDDBZM5","Hemlock Home Brewing Sourdough Starter Jar Kit, 36 oz, Sourdough Bread Baking Supplies, Sourdough Starter Jar, Glass Sourdough Starter Crock, Wide Mouth Sourdough Jar, Glass Sourdough Container","Hemlock Home Brewing","$22.95","684","9","$15,698","05/23/2022","$14.37","4.5","707","$8.58","30,879","6","FBA","2","Kitchen & Dining","Standard","5 x 5 x 5 in","1.59 lb","https://www.amazon.com/dp/B0CJDDBZM5"
