"Export time:  1/29/2024, 11:56:45 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C112CXJM","zunmial Sourdough Starter Jar, Sourdough Starter Kit with Date Marked Feeding Band, Thermometer, Cloth Cover & Metal Lid, Reusable Sourdough Bread Baking Supplies, Home Baking Supplies","zunmial","$22.99","4,220","135","$97,018","03/29/2023","","4.3","261","","1,517","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C112CXJM"
"sourdough starter jar","","B0BXLJR6QW","WAVEWISE Sourdough Starter Jar Kit 1000ml - Large Glass Jar for Sourdough - Sourdough Starter Crock - Reusable Sour Dough Starter Jar With Thermometer, Silicone Scraper, Cloth Cover and Lid","WAVEWISE","$25.85","563","14","$14,554","03/05/2023","","4.5","67","","19,360","7","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BXLJR6QW"
"Average Monthly Sales: 1,302","","B0C1RNVQ71","Sourdough Starter Jar Kit-1100ml/39Oz, Sourdough Starter Kit, Sour Dough Starter Jar With Stainless Steel Lid, Thermometer, Silicone Scraper, Cloth Cover And Date Marked Feeding Band (1 Pack)","SHTALHST","$19.99","1,149","27","$22,969","04/06/2023","$11.85","4.2","95","$8.14","10,372","7","FBA","1","Kitchen & Dining","Standard","4 x 9 x 4 in","1.01 lb","https://www.amazon.com/dp/B0C1RNVQ71"
"Average Revenue: $34,428","","B0CNJXJ5T3","SSQENEN Sourdough Starter Jar Kit Bread Baking Supplies, 44oz Sourdough Starter Crock Wide Mouth with Stainless Steel Lid, Glass Jar for Sourdough Starter, Perfect for Sourdough Starter Kit Beginners","SSQENEN","$22.79","1,120","22","$25,525","11/16/2023","$14.85","4.8","10","$7.94","12,692","7","FBA","1","Kitchen & Dining","Standard","3.94 x 3.94 x 7.87 in","13.4 oz","https://www.amazon.com/dp/B0CNJXJ5T3"
"Average Price: $26.04","","B09SGDK43Y","KneadAce Sourdough Starter Jar With Date Marked Feeding Band, Thermometer, Sourdough Jar Scraper, Sourdough Container Sewn Cloth Cover & Metal Lid, Sourdough Starter Kit","KNEADACE","$25.98","4,372","225","$113,585","02/16/2022","$16.94","4.4","1,617","$9.04","715","7","FBA","1","Kitchen & Dining","Standard","4.88 x 9.09 x 4.84 in","1.39 lb","https://www.amazon.com/dp/B09SGDK43Y"
"Average No. of Ratings: 439","","B0C78255TZ","KneadAce Pro Sourdough Bread Starter Kit- 34 oz Large Capacity Sourdough Starter Jar with 5 unique features for the perfect sour dough bread & sourdough starter kit- sourdough bread baking supplies","KNEADACE","$29.98","5,645","220","$169,237","07/21/2023","","4.7","536","","738","6","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C78255TZ"
"Average Sales Rank: 42,094","","B0C9TD8R2W","Wissy&Konny Sourdough Starter Jar 2Pack 35OZ with Ounce Scale Line,Date Marked Feeding Band, Thermometer, Sourdough Jar Scraper, Cloth Cover & Wood Lid, Wide Mouth for Sourdough Bread Baking","Wissy&Konny","$32.99","1,431","31","$47,209","06/29/2023","$22.25","4.5","53","$10.74","8,737","7","FBA","1","Kitchen & Dining","Standard","4 x 4 x 7 in","2.8 lb","https://www.amazon.com/dp/B0C9TD8R2W"
"Average Rating Number: 4.5","","B0C3L78PRX","Comfynest Sourdough Starter Jar, Sourdough Starter Kit with Thermometer, Cloth Cover, Scraper & Metal Lid, 24 Oz Wide Mouth Reusable Sour Dough Starter Jar Kit Use for Sourdough Bread Baking Supplies","Comfynest","$18.99","739","23","$14,034","08/08/2023","$11.00","4.3","88","$7.99","11,879","7","FBA","1","Kitchen & Dining","Standard","4.72 x 4.72 x 9.84 in","1.5 lb","https://www.amazon.com/dp/B0C3L78PRX"
"","","B0CBWHY46K","8INTHEAM Sourdough Starter Kit, 34oz Sourdough Starter Jar, Glass Sourdough Jar Wide Mouth Fermention Sourdough Bread Baking Supplies with Recipe Guide","8INTHEAM","$21.99","149","2","$3,277","07/14/2023","","4.7","33","","73,634","6","FBA","1","Grocery & Gourmet Food","","","","https://www.amazon.com/dp/B0CBWHY46K"
"","","B08P555DGH","Weck Tulip Jar - Sour Dough Starter Jars for Sourdough - 1 x WECK 745 Large Clear Jar with Wide Mouth - 1 Liter Includes Glass Lid, rubber seal and steel clips","WECK","$22.94","3,119","150","$71,550","11/24/2020","$14.50","4.7","1,523","$8.44","1,299","7","FBA","6","Kitchen & Dining","Standard","5 x 5 x 7 in","1 lb","https://www.amazon.com/dp/B08P555DGH"
