"Export time:  2/1/2024, 1:38:35 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CHN4PSBL","Cultures For Health Sourdough Starter Jar Kit | Easy DIY Breadmaking Kit for Sourdough Bread | Essential Baking Supplies for Homemade Bread | Glass Jar Kit With Spatula Baking Set | Fermentation Jar","Cultures For Health","$24.99","70","5","$1,749","09/07/2023","$16.10","3.7","28","$8.89","53,423","7","FBA","1","Kitchen & Dining","Standard","3.9 x 3.82 x 9.53 in","1.1 lb","https://www.amazon.com/dp/B0CHN4PSBL"
"sourdough starter kit beginners","","B0CFVKKB1F","Sourdough Starter Jar Kit with 24 oz Glass Jar  Extra Thermometer Strips and Breathable Covers Included in Sourdough Starter Kit  A Perfect Sourdough Bread Starter Kit for Beginners to Expert","ABIOTO","$26.99","2,413","101","$65,127","10/22/2023","$17.80","4.5","148","$9.19","2,221","6","FBA","1","Kitchen & Dining","Standard","3.15 x 6.89 x 3.15 in","1.41 lb","https://www.amazon.com/dp/B0CFVKKB1F"
"Average Monthly Sales: 1,357","","B0CGLSZ6DN","Sourdough Starter Jar 24oz, Sourdough Starter Kit with Date Marked Feeding Band, Thermometer, Sourdough Fermentation Jar Scraper, Sewn Cloth Cover & Aluminum Lid,Sourdough Bread Baking Supplies","DWTS DANWEITESI","$19.97","318","28","$6,350","08/24/2023","","4.5","5","","9,812","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CGLSZ6DN"
"Average Revenue: $45,679","","B0C3L78PRX","Comfynest Sourdough Starter Jar, Sourdough Starter Kit with Thermometer, Cloth Cover, Scraper & Metal Lid, 24 Oz Wide Mouth Reusable Sour Dough Starter Jar Kit Use for Sourdough Bread Baking Supplies","Comfynest","$18.99","743","22","$14,110","08/08/2023","$11.00","4.3","88","$7.99","12,609","7","FBA","1","Kitchen & Dining","Standard","4.72 x 4.72 x 9.84 in","1.5 lb","https://www.amazon.com/dp/B0C3L78PRX"
"Average Price: $34.17","","B09HH4K1LZ","Superbaking Bread Proofing Basket, Round 9 inch Sourdough Starter Kit, Proofing Basket for Bread baking, Bread Making Supplies Tools, Banneton Basket Gift Set","Superbaking","$33.97","8,721","388","$296,252","10/13/2021","$22.14","4.7","3,336","$11.83","288","7","FBA","3","Kitchen & Dining","Standard","9 x 3.5 x 9 in","0.55 kg","https://www.amazon.com/dp/B09HH4K1LZ"
"Average No. of Ratings: 504","","B0CN6TVXWW","Sourdough Starter Kit with 32Oz Glass Jar, Sourdough Starter Jar Kit with Thermometer, Feeding Date Band, Silicone Tool, Reusable Sourdough Baking Supplies Perfect for Beginners Making Sourdough Bread","JinhzWin","$20.99","581","19","$12,195","11/12/2023","","4.5","26","","14,622","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CN6TVXWW"
"Average Sales Rank: 40,047","","B0CLNSBYT9","Beginner's Sourdough Bread Maker Starter Kit with Thermometer - Makes 2-3 Loaves of Fresh Sourdough Bread with 3 Simple Ingredients","Generic","$19.99","240","8","$4,798","11/26/2023","","4.6","3","","34,508","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CLNSBYT9"
"Average Rating Number: 4.5","","B0BS3KNQXM","Sourdough Bread Proofing Basket Set With Food Thermometer, CODOGOY 10 inch Oval & 9 inch Round Banneton Bread Baking Supplies Set","CODOGOY","$39.95","3,570","57","$142,622","01/10/2023","","4.5","220","","4,546","6","FBA","5","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BS3KNQXM"
"","","B01H7GI7V8","Masontops Complete Mason Jar Fermentation Kit - Pickle Kit, Sauerkraut Making Kit Kimchi Container - Fermentation Airlock Lids Wide Mouth Mason Jars","Masontops","$49.99","2,064","75","$103,179","06/16/2016","$36.06","4.7","4,508","$13.93","3,250","7","FBA","2","Kitchen & Dining","Standard","8.25 x 4.5 x 11.6 in","3.55 lb","https://www.amazon.com/dp/B01H7GI7V8"
"","","B072MTB9H8","Stainless Steel Metal Griddle Scraper Chopper - Greatas Dough Cutter for Breadand Pizza Dough- MultipurposeKitchen Utensil for Flat Top Griddle - Commercial Quality","Anmarko","$10.99","4,377","176","$48,103","09/15/2017","$5.57","4.8","7,351","$5.42","603","7","FBA","1","Patio, Lawn & Garden","Standard","4.173 x 6.654 x 1.535 in","0.485 lb","https://www.amazon.com/dp/B072MTB9H8"
