"Export time:  2/14/2024, 2:16:10 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07V1PXKPP","Simple Houseware Stackable 3 Tier Sliding Basket Organizer Drawer, White","Simple Houseware","$33.87","2,247","77","$76,106","07/08/2019","$20.26","4.7","18,218","$13.61","3,150","5","FBA","4","Kitchen & Dining","Standard","11 x 17.4 x 7.5 in","6.301 lb","https://www.amazon.com/dp/B07V1PXKPP"
"stackable storage drawers","","B07C8LFBRB","IRIS USA 6 Qt. Small Plastic Stacking Drawer, 4-Pack, Stackable Storage Organizer Unit with Sliding Drawer for Bedroom Kitchen Under Sink Pantry Craft Room Dorm Office, White","IRIS","$29.99","4,758","141","$142,692","03/20/2018","$9.33","4.5","7,609","$20.66","5,045","7","AMZ","7","Home & Kitchen","Oversize","13.81 x 11.25 x 17.81 in","5.2 lb","https://www.amazon.com/dp/B07C8LFBRB"
"Average Monthly Sales: 3,265","","B07H7TSJF2","Simple Houseware Stackable 3 Tier Sliding Basket Organizer Drawer, Chrome","Simple Houseware","$32.87","3,586","115","$117,872","09/08/2018","$19.71","4.6","15,677","$13.16","1,872","5","FBA","1","Kitchen & Dining","Standard","11.57 x 17.56 x 6.77 in","6.061 lb","https://www.amazon.com/dp/B07H7TSJF2"
"Average Revenue: $149,748","","B0B5LTWRJW","Sorbus Clear Stackable Fridge Drawer Bins - Pull Out Refrigerator Organizer Containers for Kitchen Storage (2 Pack | Medium)","Sorbus","$34.99","2,756","61","$96,432","06/30/2022","$22.71","4.6","925","$12.28","4,197","6","FBA","10","Kitchen & Dining","Standard","8 x 4.5 x 13.25 in","5.51 lb","https://www.amazon.com/dp/B0B5LTWRJW"
"Average Price: $47.57","","B0CHR6MKBM","SNSLXH 19QT Upgrade 4 Pack Stackable Storage Bins with 2 lids, Closet Organizers and Storage, Foldable Plastic Drawer Storage for Clothes, Toys, Clear with Black (Plastic)","SNSLXH","$29.99","1,866","64","$55,961","09/10/2023","$17.26","4.2","204","$12.73","13,667","6","FBA","6","Home & Kitchen","Standard","10 x 7.9 x 16 in","7.98 lb","https://www.amazon.com/dp/B0CHR6MKBM"
"Average No. of Ratings: 2,881","","B0CGZ9ZK4Z","4 Tier Collapsible Storage Bins with Wheels and Lids - 23QT Stackable Closet Organizers, Foldable Plastic Containers for Home, Office, Dorm Room","Wise Oannes","$49.99","6,268","198","$313,337","08/30/2023","$33.96","4.4","216","$16.03","3,115","7","FBA","5","Home & Kitchen","Standard","11.34 x 7.8 x 17.24 in","7.8 lb","https://www.amazon.com/dp/B0CGZ9ZK4Z"
"Average Sales Rank: 30,699","","B0BZCTXKPZ","Vtopmart 4 Pack Large Stackable Storage Drawers,Clear Acrylic Drawer Organizers with Handles, Easily Assemble for Bathroom,Kitchen Undersink,Cabinet,Closet,Makeup,Pantry organization and Storage","Vtopmart","$34.99","14,690","369","$514,003","03/22/2023","$21.51","4.7","369","$13.48","1,159","6","FBA","6","Home & Kitchen","Standard","7.5 x 7 x 12 in","9.79 lb","https://www.amazon.com/dp/B0BZCTXKPZ"
"Average Rating Number: 4.4","","B01LZUM4D4","Simple Houseware Chrome Metal Stackable Storage Rack, 16.75 in L x 10.8 in W x 10.25 in H","Simple Houseware","$28.87","598","17","$17,264","04/12/2017","$5.34","4.6","4,886","$23.53","16,363","5","FBA","1","Kitchen & Dining","Oversize","14.72 x 19.25 x 13.43 in","4.76 lb","https://www.amazon.com/dp/B01LZUM4D4"
"","","B09NQV4V27","Simple Houseware 2 Tier Bathroom Organizer Tray Pull-Out Sliding Drawer/Under-Sink Storage, White","Simple Houseware","$19.97","10,194","278","$203,574","12/16/2021","$9.94","4.5","3,745","$10.03","507","6","FBA","1","Kitchen & Dining","Standard","8.9 x 14.48 x 5.47 in","2.251 lb","https://www.amazon.com/dp/B09NQV4V27"
"","","B09MSQ5C1F","IRIS USA 30 Qt. Stackable Storage Drawer, 2 Pack, Plastic Drawer Organizer with Clear Doors for Pantry, Bedroom, Closet, Kitchen, Under-Sink, Home and Office De-Clutter, Shoes and Crafts - White","IRIS","$54.99","4,743","141","$260,818","11/29/2021","$21.84","4.5","7,609","$33.15","5,045","7","AMZ","9","Home & Kitchen","Oversize","19 x 19.6 x 16 in","7.401 lb","https://www.amazon.com/dp/B09MSQ5C1F"
"","","B09ZKYQMVD","Vtopmart 4 Pack Clear Stackable Storage Drawers, 4.4'' Tall Acrylic Bathroom Makeup Organizer,Plastic Storage Bins For Vanity, Undersink, Kitchen Cabinets, Pantry, Home Organization and Storage","Vtopmart","$24.99","24,070","615","$601,509","05/04/2022","$14.21","4.6","7,501","$10.78","545","7","FBA","2","Beauty & Personal Care","Standard","8.94 x 12.2 x 7.44 in","5.091 lb","https://www.amazon.com/dp/B09ZKYQMVD"
"","","B0CL9NDKLQ","AHEONLAR 4 Tier Plastic Storage Bins with Drawers - Foldable Stackable Storage Bins with Lids - Closet Craft Organizers and Storage - 24QT Plastic Drawer Storage for Bedroom Study Toy Room Office","AHEONLAR","$33.99","3,528","110","$119,917","10/17/2023","$16.15","4","155","$17.84","7,027","7","FBA","1","Home & Kitchen","Oversize","11.2 x 8.7 x 15.6 in","7.61 lb","https://www.amazon.com/dp/B0CL9NDKLQ"
