"Export time:  1/31/2024, 12:53:26 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0711RQMNF","Amazon Basics Collapsible Fabric Storage Cubes Organizer with Handles, 10.5'x10.5'x11', Beige - Pack of 6","Amazon Basics","$19.68","","","","11/13/2017","$9.70","4.7","99,890","$9.98","192","6","AMZ","11","Our Brands","Standard","10.94 x 11.61 x 4.61 in","5.56 lb","https://www.amazon.com/dp/B0711RQMNF"
"storage bin","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","14,795","465","$591,652","06/22/2020","$25.46","4.8","10,422","$14.53","207","6","FBA","14","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Average Monthly Sales: 5,284","","B0CM97SPF4","JOYMOOP Folding Storage Bins Organizer,Collapsible Storage Box with Wheels and Door, Stackble Plastic Storage Container for Clothing, Books and Sundries (XL-12.4Gal-3Tiers, White)","JOYMOOP","$89.99","30","1","$2,700","11/29/2023","","5","2","","669,866","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CM97SPF4"
"Average Revenue: $235,027","","B0CD7DKYNB","HoneySky 6 Pack - 8.5 Gallon Storage Bins with Lids and Wheels, Collapsible & Stackable Closet Organizers, Foldable Storage Containers Plastic Shelves for Clothes Shoe Book, White","HoneySky","$159.99","620","32","$99,194","09/20/2023","","4.8","9","","28,837","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CD7DKYNB"
"Average Price: $52.96","","B0CL9NDKLQ","AHEONLAR 4 Tier Plastic Storage Bins with Drawers - Foldable Stackable Storage Bins with Lids - Closet Craft Organizers and Storage - 24QT Plastic Drawer Storage for Bedroom Study Toy Room Office","AHEONLAR","$33.99","3,667","121","$124,641","10/17/2023","$16.15","3.9","105","$17.84","6,156","7","FBA","1","Home & Kitchen","Oversize","11.2 x 8.7 x 15.6 in","7.61 lb","https://www.amazon.com/dp/B0CL9NDKLQ"
"Average No. of Ratings: 6,488","","B0BTDVMZ9L","Akro-Mils 66486 12-Gallon Plastic Stackable Storage KeepBox Tote Container with Attached Hinged Lid, 21-1/2-Inch x 15-Inch x 12-1/2-Inch, Black/Yellow","Akro-Mils","$31.99","2,450","67","$78,376","01/29/2023","","4.5","73","","12,803","7","AMZ","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0BTDVMZ9L"
"Average Sales Rank: 77,758","","B0BVQ69QJD","WYT Clear Storage Latch Bins, 6-Pack Storage Organizer Box with Handle and Lids, 5-Litre","WYT","$23.99","5,794","175","$138,998","08/17/2020","","4.2","659","","3,729","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BVQ69QJD"
"Average Rating Number: 4.5","","B0B2R2XXN2","Sineda 3 Pack Storage Bins with Lids - 8.4 Gallon Collapsible Storage Bins with Wheels and Door, Stackable Storage Bins for Clothing, Blankets, Books, Bedding and Toys.(8.4Gal - 3Pack, Green)","Sineda","$109.95","2,500","57","$274,875","10/09/2022","","4.6","759","","15,499","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B2R2XXN2"
"","","B0B46NPJY9","Set of 8 Clear Plastic Storage Bins, 4 Large and 4 Small Stackable Storage Containers for Pantry Organization and Kitchen Storage Bins,Home Edit and Cabinet Organizers","SKTEET","$39.99","1,637","50","$65,464","06/14/2022","$21.63","4.7","359","$18.36","5,292","7","FBA","5","Kitchen & Dining","Oversize","11.57 x 12.99 x 8.66 in","8.289 lb","https://www.amazon.com/dp/B0B46NPJY9"
"","","B09Y5NX24G","CubesLand Cube Shelf Closet Storage Baskets Bins Set 3,Woven Basket for Organizing/Storage,Long-Lasting &Skin-Friendly Toy Storage Basket Bin,Stylish Room Decor Basket,Off White Cotton Rope Basket","CubesLand","$31.99","1,321","37","$42,259","04/17/2022","$20.16","4.6","825","$11.83","24,675","6","FBA","3","Home & Kitchen","Standard","8.819 x 17.953 x 5 in","3.86 lb","https://www.amazon.com/dp/B09Y5NX24G"
