"Export time:  1/30/2024, 5:17:10 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,624","254","$1.72M","07/28/2022","$106.22","4.5","3,496","$93.77","2,131","6","FBA","2","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
"storage bins with lids large","","B0BLY6M4CF","Rubbermaid Cleverstore Clear Holiday 71 Qt Bins with Tray Inserts, Built-In Handles to Maximize Storage, Great for Holiday Decor, Clear Base, Red Lid with Green Tray, Pack of 4","Rubbermaid","$129.99","9,540","318","$1.24M","11/08/2022","","4.3","15,509","","1,493","6","AMZ","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLY6M4CF"
"Average Monthly Sales: 3,534","","B07KBJ46LK","Rubbermaid Roughneck Storage Totes, Durable Stackable Containers, Great for Garage Storage, Moving Boxes, and More, 18 Gal - 6 Pack","Rubbermaid","$114.41","6,915","208","$791,145","11/07/2018","$43.60","4.6","9,194","$70.81","2,895","7","AMZ","11","Home & Kitchen","Oversize","24.4 x 32.6 x 16.3 in","29.701 lb","https://www.amazon.com/dp/B07KBJ46LK"
"Average Revenue: $276,182","","B0CDFDYL2N","Blushbees Oxford Fabric Collapsible Storage Boxes for Clothes/Quilts/Linen with Metal Supports (PACK OF 4 BOXES - LARGE SIZE 201615 INCH)","Blushbees","$69.99","900","30","$62,991","07/09/2022","","4.7","235","","31,149","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDFDYL2N"
"Average Price: $72.82","","B0BRDVLPKB","IRIS USA 72 Quart Stackable Plastic Storage Bins with Lids and Latching Buckles, 4 Pack - Clear, Containers with Lids and Latches, Durable Nestable Closet, Garage, Totes, Tubs Boxes Organizing","IRIS","$64.99","28,115","865","$1.83M","12/29/2022","","4.1","26,290","","233","7","AMZ","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRDVLPKB"
"Average No. of Ratings: 3,085","","B0CNCXSTFD","Cetomo Plastic Storage Bin Box Organizing Container with Lid and Secure Latching Buckles, Clear, 72Qt x 4, Pack of 4","Cetomo","$59.90","490","17","$29,351","11/14/2023","","4.5","32","","53,696","7","AMZ","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNCXSTFD"
"Average Sales Rank: 57,100","","B0CN49H9BZ","Cetomo 40Qt*4 Plastic Storage Bins, Clear Lidded Storage Box with Wheels, Stackable, 40Quart, Set of 4","Cetomo","$45.90","1,283","69","$58,890","11/10/2023","","5","4","","12,371","6","AMZ","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CN49H9BZ"
"Average Rating Number: 4.4","","B0B2R2XXN2","Sineda 3 Pack Storage Bins with Lids - 8.4 Gallon Collapsible Storage Bins with Wheels and Door, Stackable Storage Bins for Clothing, Blankets, Books, Bedding and Toys.(8.4Gal - 3Pack, Green)","Sineda","$109.95","2,500","57","$274,875","10/09/2022","","4.6","759","","15,499","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B2R2XXN2"
"","","B09B739XJD","GRANNY SAYS Storage Baskets with Metal Frame, Closet Shelf Organizer and Storage Bins Large, Closet Storage Baskets, Decorative Clothes Storage Bins for Organizing Shelves, Yellow White, 2-Pack","GRANNY SAYS","$19.99","2,418","65","$48,336","06/10/2022","$5.01","4.7","1,322","$14.98","13,382","6","FBA","1","Home & Kitchen","Oversize","10.24 x 8.27 x 14.57 in","2.4 lb","https://www.amazon.com/dp/B09B739XJD"
"","","B0B65Z15CN","Blushbees Oxford Fabric Collapsible Storage Boxes for Clothes/Quilts/Linen with Metal Supports (PACK OF 4 BOXES - LARGE SIZE 201615 INCH)","Blushbees","$69.99","719","30","$50,323","07/09/2022","","4.7","235","","31,149","7","FBA","2","Home & Kitchen","","17 x 3 x 21 in","","https://www.amazon.com/dp/B0B65Z15CN"
