"Export time:  1/30/2024, 5:17:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B47Z4N4D","ClearSpace Plastic Storage Bins with Lids XL  Perfect Kitchen Organization or Pantry Storage  Fridge/Cabinet Organizers","ClearSpace","$69.99","730","21","$51,093","06/14/2022","$50.36","4.7","416","$19.63","13,384","7","FBA","2","Kitchen & Dining","Standard","7 x 12.5 x 12.5 in","12.36 lb","https://www.amazon.com/dp/B0B47Z4N4D"
"storage bins with lids small","","B0B5WKNGBL","HAIXIN Storage Cabinet, Plastic Shelves Organizer, Folding Storage Box, Collapsible Totes Containers For Storage, 8.4 Gal Clear Storage Bins, Stackable Under Bed Storage Container, 6 Pack Bookshelf","HAIXIN","$259.99","8,507","241","$2.21M","07/05/2022","$195.33","4.5","3,499","$64.66","2,311","6","FBA","1","Home & Kitchen","Oversize","13 x 25 x 19 in","1 lb","https://www.amazon.com/dp/B0B5WKNGBL"
"Average Monthly Sales: 3,070","","B0CT24LLFK","dbest Products Quik Box - 8.4 Gallon Stackable Storage Bins with Doors, Collapsible Organizer Foldable Container, for Bedroom Living Room Kitchen Neat, Tidy Dorms and Organized Homes, Boxes","dbest products","$36.70","","","$0.00","01/21/2024","","","","","1,278,361","7","AMZ","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CT24LLFK"
"Average Revenue: $146,124","","B08SQNFR3Q","Citylife 6 Packs Small Storage Bins with Lids 3.2 QT Plastic Storage Containers for Organizing Stackable Clear Storage Boxes","ITYLIFE CITYLIFE","$29.99","815","22","$24,442","01/11/2021","$18.16","4.6","430","$11.83","41,943","6","FBA","1","Home & Kitchen","Standard","9.69 x 13.5 x 6.97 in","3.001 lb","https://www.amazon.com/dp/B08SQNFR3Q"
"Average Price: $40.62","","B0CH8X6XCK","Plastic Storage Baskets With Bamboo Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","Ohmlove","$36.99","1,325","39","$49,012","10/12/2023","","4.6","72","","23,328","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH8X6XCK"
"Average No. of Ratings: 3,170","","B076B24LYH","YueYue Small 4 Pack Fabric Stroage Box with Lids, Linen Foldable Stroage Box with lids 4 Color Set 12.4in/12in/6.7in","YueYue","$32.99","560","19","$18,474","10/08/2017","$21.31","4.7","3,235","$11.68","49,187","6","FBA","1","Home & Kitchen","Standard","13.74 x 14.53 x 3.07 in","4.941 lb","https://www.amazon.com/dp/B076B24LYH"
"Average Sales Rank: 65,497","","B0CMCWPQ4W","Wenqik 6 Pack Colorful Plastic Storage Bins with Lids 4 Quart Small Storage Latch Box Stackable and Nestable Clear Storage Organizer Bins with Latching Handle and Buckle for Organizing(Colorful)","Wenqik","$30.99","400","11","$12,396","11/01/2023","","4.7","5","","80,560","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMCWPQ4W"
"Average Rating Number: 4.5","","B07RXWFY2Q","GRANNY SAYS Closet Storage Bins, Fabric Boxes with Lids, Shelf Baskets for Closet Organization, Stackable Storage Containers Storage Baskets for Organizing, Gray, Medium, 3-Pack","GRANNY SAYS","$26.99","1,878","61","$50,687","05/15/2019","$16.51","4.6","8,069","$10.48","14,235","6","FBA","1","Home & Kitchen","Standard","10 x 12.4 x 3.6 in","2.97 lb","https://www.amazon.com/dp/B07RXWFY2Q"
"","","B0BXNQ8LK8","Mirspt Storage bins,plastic storage bins with lids-76Quart large foldable storage containersDurable stackable storage drawers for bedroom, hall, kitchen, RV, office(1Packs)","Mirspt","$53.99","323","11","$17,439","03/06/2023","","4.7","152","","83,056","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXNQ8LK8"
"","","B09B739XJD","GRANNY SAYS Storage Baskets with Metal Frame, Closet Shelf Organizer and Storage Bins Large, Closet Storage Baskets, Decorative Clothes Storage Bins for Organizing Shelves, Yellow White, 2-Pack","GRANNY SAYS","$19.99","2,418","65","$48,336","06/10/2022","$5.01","4.7","1,322","$14.98","13,382","6","FBA","1","Home & Kitchen","Oversize","10.24 x 8.27 x 14.57 in","2.4 lb","https://www.amazon.com/dp/B09B739XJD"
