"Export time:  1/30/2024, 12:38:07 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CL811MRG","REDHUGO Glass Tea Bag Organizer with 8 Compartments, Handmade Large Tea Bag Storage Box for Counter Kitchen, Tea Bag Holder,Tea Storage Containers with Lid,Tea Accessories Gifts for Tea Drinkers,Gold","REDHUGO","$36.98","30","1","$1,109","10/20/2023","","5","1","","445,606","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL811MRG"
"tea organizer","","B00ZY3EY0U","mDesign Plastic Tea Bag Divided Storage Organizer Container Box with Hinge Lid for Kitchen Cabinet, Countertop, Pantry, Hold Coffee Pods, Seasoning Packets, Condiments, 8 Sections, Clear","mDesign","$17.99","2,027","67","$36,466","06/17/2015","$9.50","4.7","13,581","$8.49","3,729","7","FBA","1","Kitchen & Dining","Standard","6.8 x 10.9 x 4.1 in","1.451 lb","https://www.amazon.com/dp/B00ZY3EY0U"
"Average Monthly Sales: 997","","B0CNGMLPNJ","ComSaf 45oz Glass Storage Containers with Lids, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Square Glass Canister Set of 3, Pantry Organizers and Storage for Flour Oat Pasta Tea Coffee Bean","","$29.99","690","23","$20,693","","","4.8","9","","12,066","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNGMLPNJ"
"Average Revenue: $23,670","","B07TDNNR64","mDesign Plastic Wide Kitchen Pantry, Cabinet, Countertop Organizer Storage Station, 3 Drawers for Coffee, Tea, Sugar Packets, Sweeteners, Creamers, Drink Pods, Packets; 18 Sections, Dark Gray/Clear","mDesign","$27.99","443","13","$12,400","07/26/2019","$17.06","4.7","2,232","$10.93","20,872","7","FBA","1","Kitchen & Dining","Standard","7.64 x 11.34 x 7.01 in","2.701 lb","https://www.amazon.com/dp/B07TDNNR64"
"Average Price: $25.84","","B08DCH2LVT","Utopia Home Tea Bag Organizer - Stackable Storage With Lid For Tea Bags - Multi-Functional Clear Kitchen Storage","Utopia Home","$26.99","5,444","201","$146,934","07/20/2020","$17.80","4.8","2,630","$9.19","3,045","6","FBA","1","Home & Kitchen","Standard","1 x 1 x 1 in","1 lb","https://www.amazon.com/dp/B08DCH2LVT"
"Average No. of Ratings: 1,931","","B09VCQ49ZZ","Sorbus 2 Pack Tea Bag Organizer Bins w/Lids & 4 Removable Dividers, Clear Plastic Food Packet Snack Organizer, Stackable Pantry Organization, Kitchen Storage, Fridge Bins, Sturdy Cabinet Organizers","Sorbus","$21.49","221","9","$4,749","03/10/2022","$11.84","4.7","122","$9.65","31,402","7","FBA","2","Kitchen & Dining","Standard","7 x 7 x 11 in","2 lb","https://www.amazon.com/dp/B09VCQ49ZZ"
"Average Sales Rank: 104,914","","B09WN3RFQZ","    Tea Bag Organizer Storage Holder for Tea Bags Wood Tea Box Containers Tea Rack Teabag Station Stand for Cabinet Countertop Office(Patented Design)","TIOPGHAD","$39.99","1,950","47","$77,981","03/27/2022","$26.66","4.7","685","$13.33","19,124","7","FBA","2","Home & Kitchen","Standard","8.11 x 12.795 x 4.921 in","6.598 lb","https://www.amazon.com/dp/B09WN3RFQZ"
"Average Rating Number: 4.6","","B09V2TZZQQ","Tea Bag Organizer, Tea Bag Storage Holder Spinning Carousel 96 Teabags Container, Lazy Susan Coffee Creamer Sweetener Tea Caddy for Kitchen Counter Cabinet Pantry Shelf Organizer","VOGWOLTH","$26.99","560","15","$15,114","03/07/2022","$17.15","4.8","512","$9.84","62,511","6","FBA","4","Home & Kitchen","Standard","6.14 x 9.57 x 6.06 in","2.07 lb","https://www.amazon.com/dp/B09V2TZZQQ"
"","","B07DQ6X2FQ","mDesign Plastic Tea Bag Divided Storage Organizer Container Box with Hinge Lid for Kitchen Cabinet, Countertop, Pantry, Holds Tea Bags, Seasoning Packets, Condiments, 8 Sections, Clear","mDesign","$20.99","1,112","33","$23,341","06/12/2018","$11.41","4.7","3,095","$9.58","8,348","7","FBA","1","Kitchen & Dining","Standard","10.512 x 11.772 x 3.543 in","2.423 lb","https://www.amazon.com/dp/B07DQ6X2FQ"
"","","B0861CFPRM","MyGift Vintage Gray Wood Tea Box Organizer Storage Box with 4 Compartments, Tea Bags and Condiments Chest with Lid with Latch","MyGift","$22.99","120","4","$2,759","03/16/2020","$13.75","4.3","147","$9.24","218,953","7","FBA","1","Home & Kitchen","Standard","4.803 x 16.929 x 4.764 in","1.455 lb","https://www.amazon.com/dp/B0861CFPRM"
"","","B094DLW8Z6","NiftyTea Bag Spinning Carousel  6 Compartments, Up to 60 Tea Bags Storage, Spins 360-Degrees, Lazy Susan Platform, Modern Black Design, Home or Office Kitchen Counter Organizer","Nifty Solutions","$15.99","2,532","81","$40,487","05/06/2021","$7.80","4.8","9,070","$8.19","2,946","6","FBA","3","Kitchen & Dining","Standard","7.01 x 8.11 x 6.54 in","1.1 lb","https://www.amazon.com/dp/B094DLW8Z6"
