"Export time:  1/30/2024, 12:37:05 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CP2BNB6Q","Rathark Acrylic Tea Bag Organizer, 2 Specifications, to Meet Various Sizes, Used for Kitchen, Cupboard, Tea Room, Sugar Bag, Coffee and Spice Bag Classification Organizers","Rathark","$19.90","30","1","$597.00","01/03/2024","","5","2","","525,446","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CP2BNB6Q"
"tea organizers and storage","","B00ZY3EY0U","mDesign Plastic Tea Bag Divided Storage Organizer Container Box with Hinge Lid for Kitchen Cabinet, Countertop, Pantry, Hold Coffee Pods, Seasoning Packets, Condiments, 8 Sections, Clear","mDesign","$17.99","2,027","67","$36,466","06/17/2015","$9.50","4.7","13,581","$8.49","3,729","7","FBA","1","Kitchen & Dining","Standard","6.8 x 10.9 x 4.1 in","1.451 lb","https://www.amazon.com/dp/B00ZY3EY0U"
"Average Monthly Sales: 1,130","","B07KYX7WFJ","mDesign Plastic Tea Bag Caddy Box Storage Container Organizer Holder with 3 Drawers - for Kitchen Pantry, Cabinet, Countertop - Holds Coffee, Sugar Packets - Lumiere Collection - Clear","mDesign","$30.99","840","35","$26,032","11/28/2018","$19.01","4.7","7,450","$11.98","7,882","7","FBA","2","Kitchen & Dining","Standard","10 x 11.3 x 7.7 in","3.6 lb","https://www.amazon.com/dp/B07KYX7WFJ"
"Average Revenue: $26,999","","B0CL811MRG","REDHUGO Glass Tea Bag Organizer with 8 Compartments, Handmade Large Tea Bag Storage Box for Counter Kitchen, Tea Bag Holder,Tea Storage Containers with Lid,Tea Accessories Gifts for Tea Drinkers,Gold","REDHUGO","$36.98","30","1","$1,109","10/20/2023","","5","1","","445,606","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL811MRG"
"Average Price: $26.55","","B08DCH2LVT","Utopia Home Tea Bag Organizer - Stackable Storage With Lid For Tea Bags - Multi-Functional Clear Kitchen Storage","Utopia Home","$26.99","5,444","201","$146,934","07/20/2020","$17.80","4.8","2,630","$9.19","3,045","6","FBA","1","Home & Kitchen","Standard","1 x 1 x 1 in","1 lb","https://www.amazon.com/dp/B08DCH2LVT"
"Average No. of Ratings: 2,069","","B06XH95Q4Q","mDesign Plastic Kitchen Pantry Stackable Storage Organizer Container Station with 3 Drawers for Cabinet, Countertop, Holds Coffee, Tea, Sugar Packets, Creamers - Lumiere Collection - Clear","mDesign","$18.99","4,630","151","$87,924","04/08/2017","$10.35","4.7","13,943","$8.64","1,288","7","FBA","1","Kitchen & Dining","Standard","7.874 x 11.142 x 4.055 in","1.654 lb","https://www.amazon.com/dp/B06XH95Q4Q"
"Average Sales Rank: 122,545","","B09VCQ49ZZ","Sorbus 2 Pack Tea Bag Organizer Bins w/Lids & 4 Removable Dividers, Clear Plastic Food Packet Snack Organizer, Stackable Pantry Organization, Kitchen Storage, Fridge Bins, Sturdy Cabinet Organizers","Sorbus","$21.49","221","9","$4,749","03/10/2022","$11.84","4.7","122","$9.65","31,402","7","FBA","2","Kitchen & Dining","Standard","7 x 7 x 11 in","2 lb","https://www.amazon.com/dp/B09VCQ49ZZ"
"Average Rating Number: 4.6","","B06X99RQ5V","mDesign Plastic Tea Bag Divided Storage Organizer Container Box with Hinge Lid for Kitchen Cabinet, Countertop, Pantry, Hold Coffee Pods, Seasoning Packets, Condiments, 8 Sections, 2 Pack, Clear","mDesign","$27.99","234","9","$6,550","02/21/2017","$17.06","4.7","2,939","$10.93","28,963","7","FBA","1","Kitchen & Dining","Standard","7.52 x 7.52 x 10.51 in","2.8 lb","https://www.amazon.com/dp/B06X99RQ5V"
"","","B07MCYJW51","Nifty Tea Bag Spinning Carousel  6 Compartments, Up to 60 Tea Bags Storage, Spins 360-Degrees, Lazy Susan Platform, Modern Chrome Design, Home or Office Kitchen Counter Organizer","Nifty Solutions","$18.99","4,398","146","$83,518","12/20/2018","$10.35","4.8","9,070","$8.64","4,779","6","FBA","2","Home & Kitchen","Standard","7.01 x 8.23 x 6.57 in","1.191 lb","https://www.amazon.com/dp/B07MCYJW51"
"","","B09V2TZZQQ","Tea Bag Organizer, Tea Bag Storage Holder Spinning Carousel 96 Teabags Container, Lazy Susan Coffee Creamer Sweetener Tea Caddy for Kitchen Counter Cabinet Pantry Shelf Organizer","VOGWOLTH","$26.99","560","15","$15,114","03/07/2022","$17.15","4.8","512","$9.84","62,511","6","FBA","4","Home & Kitchen","Standard","6.14 x 9.57 x 6.06 in","2.07 lb","https://www.amazon.com/dp/B09V2TZZQQ"
