"Export time:  1/30/2024, 12:37:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09RGFMG2F","Youngever 2 Pack Plastic Tea Packet Organizers, Tea Bag Holder, Tea Bag Storage, 8.5' x 3' x 2'","Youngever","$14.99","128","2","$1,919","01/27/2022","$8.97","4.6","105","$6.02","321,084","5","FBA","1","Home & Kitchen","Standard","4.291 x 8.74 x 3.268 in","0.668 lb","https://www.amazon.com/dp/B09RGFMG2F"
"teabag holder organizer","","B08DCH2LVT","Utopia Home Tea Bag Organizer - Stackable Storage With Lid For Tea Bags - Multi-Functional Clear Kitchen Storage","Utopia Home","$26.99","5,444","201","$146,934","07/20/2020","$17.80","4.8","2,630","$9.19","3,045","6","FBA","1","Home & Kitchen","Standard","1 x 1 x 1 in","1 lb","https://www.amazon.com/dp/B08DCH2LVT"
"Average Monthly Sales: 733","","B09WN3RFQZ","    Tea Bag Organizer Storage Holder for Tea Bags Wood Tea Box Containers Tea Rack Teabag Station Stand for Cabinet Countertop Office(Patented Design)","TIOPGHAD","$39.99","1,950","47","$77,981","03/27/2022","$26.66","4.7","685","$13.33","19,124","7","FBA","2","Home & Kitchen","Standard","8.11 x 12.795 x 4.921 in","6.598 lb","https://www.amazon.com/dp/B09WN3RFQZ"
"Average Revenue: $16,544","","B0BXWBFZ7S","FUCDTEFC Tea Bag Organizer, Tea Bag Holder Box Storage Bin, Clear Tea Packet Plastic Drawer, Sugar Packet, Coffee, Condiment, Tea Spice Bag Holder for Kitchen Cabinet, Countertop, Fridge","FUCDTEFC","$9.99","1,081","32","$10,799","03/08/2023","","4.9","39","","29,204","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXWBFZ7S"
"Average Price: $24.46","","B09V2TZZQQ","Tea Bag Organizer, Tea Bag Storage Holder Spinning Carousel 96 Teabags Container, Lazy Susan Coffee Creamer Sweetener Tea Caddy for Kitchen Counter Cabinet Pantry Shelf Organizer","VOGWOLTH","$26.99","560","15","$15,114","03/07/2022","$17.15","4.8","512","$9.84","62,511","6","FBA","4","Home & Kitchen","Standard","6.14 x 9.57 x 6.06 in","2.07 lb","https://www.amazon.com/dp/B09V2TZZQQ"
"Average No. of Ratings: 1,561","","B07MCYJW51","Nifty Tea Bag Spinning Carousel  6 Compartments, Up to 60 Tea Bags Storage, Spins 360-Degrees, Lazy Susan Platform, Modern Chrome Design, Home or Office Kitchen Counter Organizer","Nifty Solutions","$18.99","4,398","146","$83,518","12/20/2018","$10.35","4.8","9,070","$8.64","4,779","6","FBA","2","Home & Kitchen","Standard","7.01 x 8.23 x 6.57 in","1.191 lb","https://www.amazon.com/dp/B07MCYJW51"
"Average Sales Rank: 190,028","","B0784VKM9M","Bambüsi Tea Bag Organizer - Tea Organizer: Wooden Tea Box with 8 Compartments, Acrylic Window, and Magnetic Lid, Made of Bamboo - Keeps Tea Bags Fresh (Tea Not Included) - Great Gift Idea","Bambüsi","$26.99","1,174","26","$31,686","11/27/2017","$16.51","4.7","3,291","$10.48","35,752","7","FBA","8","Home & Kitchen","Standard","9 x 4 x 13 in","3.25 lb","https://www.amazon.com/dp/B0784VKM9M"
"Average Rating Number: 4.7","","B0BXLYZTP5","Mona Magnetic Tea Bag Organizer - Set of 6 Individual Tea Bag Holders for The Refrigerator, Counter or Kitchen Shelf. Stylish & Practical Gift for Tea Lovers (Sage)","MONA DESIGNERS","$21.99","599","19","$13,172","05/31/2023","","4.5","141","","49,491","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXLYZTP5"
"","","B0BDGH797M","Sorbus Tea Bag Spinning Carousel - Tea Caddy Organizer for Countertop - Matcha Station Accessories - 2 Tier Revolving Lazy Susan for Pantry - Holds Up to 60 Large Tea Bags","Sorbus","$16.99","315","8","$5,352","09/06/2022","","4.6","148","","108,423","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BDGH797M"
"","","B09B11RY98","RoyalHouse Acrylic Tea Bag Holder Storage Organizer, 6 Compartment BPA Free Clear Plastic Tea Box with Lid, Multi-Purpose storage Box for Tea Bags, Office Supplies, Crafts, and Small Items.","RoyalHouse","$13.99","961","40","$13,444","07/20/2021","$6.75","4.6","479","$7.24","22,783","6","FBA","2","Home & Kitchen","Standard","6.5 x 4 x 9 in","1 lb","https://www.amazon.com/dp/B09B11RY98"
"","","B09YR2PJGN","Tea Bag Organizer, 2 Tier Tea Bags Organizer Holdr Holds 50 Teabags, Solid Wood Vertical Tea Storage, Tea Rack for Tea Bags, Countertop, Black","Bethom","$31.99","75","1","$2,399","05/29/2022","$20.46","4.7","92","$11.53","648,074","6","FBA","1","Home & Kitchen","Standard","12.559 x 12.598 x 4.37 in","2.873 lb","https://www.amazon.com/dp/B09YR2PJGN"
"","","B0BR9J86N7","SPOPSOOD Bamboo Tea Bag Organizer, 3-Tier Tea Bag Holder Storage Organizer, Stackable Tea Packet Rack/Shelf, Tea Station Stand with Acrylic Partition for Counter, Cabinet and Pantry","SPOPSOOD","$39.99","194","7","$7,758","12/28/2022","","4.7","52","","128,101","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BR9J86N7"
"","","B0BXY5Z22C","mDesign Divided Plastic Tea Organizer Bin with Drawer - Stackable Tea Bag Holder for Kitchen, Pantry, and Cabinet - Caddy with Small Dividers - 20 Sections - Lumiere Collection - Clear","mDesign","$31.19","90","4","$2,807","03/08/2023","","5","4","","66,891","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BXY5Z22C"
"","","B0B8NW1Y41","X-cosrack Bamboo Tea Bag Organizer Storage Box 3 Tier Stackable Tea Bag Holder Tea Caddy Box Containers Tea Packet Rack Teabag Shelf for Office Kitchen Cabinet Pantry","X-cosrack","$29.99","810","27","$24,292","08/03/2022","","4.3","827","","35,176","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B8NW1Y41"
"","","B0BZP8CY9B","ZENFUN 2 Pack Bamboo Teabag Organizer Box, 6 Compartments Teabag Storage Container with Handle, Divided Sugar Packet Holder, Square Coffee Condiment Organizer Great for Coffee, Snacks, Small Items","ZENFUN","$19.99","30","1","$599.70","03/26/2023","","4.5","10","","521,924","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZP8CY9B"
"","","B0C348DBXF","AuldHome Farmhouse Enamelware Tea Bag Holder (White); Enamelware Tea Bag Caddy Dispenser for Wrapped Individual Tea Sachets","AuldHome Design","$16.99","135","4","$2,294","04/19/2023","","4.7","38","","213,834","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C348DBXF"
"","","B0B79Q5HWN","Lifewit 2 Pack Plastic Stackable Tea Bag Organizer, Divided Storage Bin Box for Kitchen Cabinets, Countertops, Pantry, Hold Coffee Pods, Sugar Packets, Condiments, 8 Sections","Lifewit","$19.99","772","29","$15,432","10/23/2022","","4.6","527","","9,585","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B79Q5HWN"
"","","B0CL811MRG","REDHUGO Glass Tea Bag Organizer with 8 Compartments, Handmade Large Tea Bag Storage Box for Counter Kitchen, Tea Bag Holder,Tea Storage Containers with Lid,Tea Accessories Gifts for Tea Drinkers,Gold","REDHUGO","$36.98","30","1","$1,109","10/20/2023","","5","1","","445,606","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL811MRG"
"","","B07P9C3F9R","mDesign Plastic Extra Wide Storage Organizer Bin Box for Kitchen, Pantry, Cabinet, Countertop - Tea Bag, Sugar Packet, Coffee Snack, Condiment Holder, 8 Sections - Ligne Collection - Clear","mDesign","$21.99","1,470","46","$32,325","02/28/2019","$12.26","4.6","1,623","$9.73","5,780","7","FBA","2","Kitchen & Dining","Standard","10.63 x 12.008 x 3.425 in","1.845 lb","https://www.amazon.com/dp/B07P9C3F9R"
"","","B07572YYY7","Apace Living Tea Box - Luxury Wooden Tea Storage Chest from The Premier Collection - 6 Adjustable Compartment Tea Bags Organizer Container - Elegantly Handmade w/Scratch Resistant Window","Apace Living","$41.97","180","6","$7,555","08/28/2017","$27.29","4.8","1,821","$14.68","144,209","7","FBA","1","Home & Kitchen","Standard","8.3 x 10.3 x 5 in","2.551 lb","https://www.amazon.com/dp/B07572YYY7"
"","","B09WZ5P61R","Zen Earth Inspired Bamboo Tea Organizer Box Chemical Free Eco-Friendly Big, Tall, Adjustable Cubbies Natural Wooden Storage Chest (6-Slot 11' x 8.1' x 4.2' with TEA print design)","Zen Earth Inspired","$45.99","120","4","$5,519","03/30/2022","","4.7","645","","193,799","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09WZ5P61R"
