"Export time:  1/30/2024, 5:15:15 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07DG73QKM","Amazon Basics Backpack Storage Cubby, 8-Compartment, Pine Wood, 13' D x 30' W x 48' H","Amazon Basics","$25.99","","","","09/19/2018","$-113.21","4.3","160","$139.20","5,585","6","AMZ","3","Our Brands","Oversize","13 x 48 x 30 in","43.78 lb","https://www.amazon.com/dp/B07DG73QKM"
"toy storage","","B0B5WKNGBL","HAIXIN Storage Cabinet, Plastic Shelves Organizer, Folding Storage Box, Collapsible Totes Containers For Storage, 8.4 Gal Clear Storage Bins, Stackable Under Bed Storage Container, 6 Pack Bookshelf","HAIXIN","$259.99","8,507","241","$2.21M","07/05/2022","$195.33","4.5","3,499","$64.66","2,311","6","FBA","1","Home & Kitchen","Oversize","13 x 25 x 19 in","1 lb","https://www.amazon.com/dp/B0B5WKNGBL"
"Average Monthly Sales: 2,197","","B08NB2S5QS","Univivi Foldable Storage Bins [4-Pack] Fabric Storage Boxes with Lids Large Storage Bins with Lids for Shelves, Bedroom, Home (Gray, 17 x 12 x 12')","Univivi","$39.99","3,348","17","$133,887","12/22/2020","$30.22","4.6","1,645","$9.77","54,688","6","FBA","1","Home & Kitchen","Standard","6.7 x 2.3 x 10.2 in","0.4 lb","https://www.amazon.com/dp/B08NB2S5QS"
"Average Revenue: $124,095","","B0CG88GNHH","FinishingBo Cube Storage Baskets 6 Pack, 11x11 inch Foldable Cube Storage Bins with Handles for Shelf Closet Nursery Toys Bathroom (Black/ Gray)","FinishingBo","$36.99","65","3","$2,404","07/19/2023","$23.81","4.8","30","$13.18","22,936","7","FBA","1","Baby","Standard","11.54 x 7.28 x 11.61 in","3.72 lb","https://www.amazon.com/dp/B0CG88GNHH"
"Average Price: $65.12","","B0CFFDHBT6","Sanwuta 6 Packs Toy Storage Bags, PVC Organizing Bags with Zipper, Waterproof Toy Bags for Board Games, Building Blocks, Puzzles, Small Toys and Kids Books(Bright Color, Large, Small)","Sanwuta","$33.99","1,020","18","$34,670","09/06/2023","","4.5","49","","52,948","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFFDHBT6"
"Average No. of Ratings: 3,323","","B079TXDDRW","Humble Crew, Grey/White Kids Toy Organizer with 12 Storage Bins, Toddler","Humble Crew","$49.00","4,936","239","$241,864","02/14/2018","$-24.32","4.7","29,679","$73.32","525","6","AMZ","10","Baby","Oversize","34 x 31 x 16 in","21 lb","https://www.amazon.com/dp/B079TXDDRW"
"Average Sales Rank: 66,313","","B097PYH4ZG","popoly Large Toy Box Chest with Lid, Collapsible Sturdy Toy Storage Organizer Boxes Bins Baskets for Kids, Boys, Girls, Nursery, Playroom, 25'x13' x16' (Linen Gray)","popoly","$19.99","12,852","328","$256,911","06/21/2021","$10.26","4.5","4,505","$9.73","357","6","FBA","1","Baby","Standard","13.11 x 16.89 x 2.13 in","4.65 lb","https://www.amazon.com/dp/B097PYH4ZG"
"Average Rating Number: 4.4","","B0CMD2VSFS","GGUO Corner Stuffed Animal Storage Toy Organizer - Stuffed Animals Holder with Lights - Large Kids Plushies Toys Wall Hanging with Adjustable Length for Nursery Playroom Bedroom (White)","GGUO","$30.99","3,027","201","$93,807","11/01/2023","","4.7","123","","641","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0CMD2VSFS"
"","","B0BPSGQHLY","OIAHOMY Large Rectangle Blanket Basket, Woven Nursery Cotton Rope Baskets for Storage, Living Room, Toy Organizing with Handle-22x17x12-Gradient Yellow","OIAHOMY","$26.99","18,692","602","$504,497","12/11/2022","","4.7","1,207","","159","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0BPSGQHLY"
"","","B071YMTCF8","Melissa & Doug Wooden Toy Chest - White Furniture for Playroom - Kids Toy Box, Wooden Storage Organizer, Children's Furniture","Melissa & Doug","$116.99","2,729","81","$319,266","10/08/2018","$75.30","4.6","7,452","$41.69","10,258","7","AMZ","15","Home & Kitchen","Oversize","20.98 x 7.76 x 35 in","35.4 lb","https://www.amazon.com/dp/B071YMTCF8"
