"Export time:  2/2/2024, 8:17:43 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BYSTSY54","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 36 x 48 Inch)","Ctosree","$125.99","180","6","$22,678","03/16/2023","","4.5","4","","37,919","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYSTSY54"
"tri fold poster boards","","B0CGKJZ685","8 PCS Trifold Poster Board- Extra Large 48' x 36' Tri Fold Display Board Hard & Thick White Presentation Cardboard for Science Fair, School Projects, and Business Presentations Supply","Cosweet","$68.99","157","7","$10,831","10/08/2023","$35.35","5","10","$33.64","34,765","7","FBA","1","Office Products","Oversize","48 x 0.2 x 36 in","11.8 lb","https://www.amazon.com/dp/B0CGKJZ685"
"Average Monthly Sales: 430","","B0BR3KXJCK","12 Pieces Trifold Poster Board, Lightweight Fold Presentation Board, Single Wall, Foldable Paperboard Display Board for School Project (White, 36 x 48 Inch)","Henoyso","$74.99","124","4","$9,299","12/25/2022","$49.10","4","10","$25.89","53,079","6","FBA","2","Office Products","Oversize","23.75 x 2.35 x 35.5 in","15.52 lb","https://www.amazon.com/dp/B0BR3KXJCK"
"Average Revenue: $11,881","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"Average Price: $45.73","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,483","172","$107,547","01/04/2009","$6.89","4.7","2,979","$17.10","1,079","6","AMZ","14","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average No. of Ratings: 179","","B08N311CZL","Desk Tech Large Tri-Fold Presentation Board - 36 x 48 inches - Sturdy Corrugated Paper - Perfect for School Projects, Exhibitions, Workshops","Desk Tech","$16.90","4,281","160","$72,349","11/08/2020","$-8.93","4.6","332","$25.83","1,187","7","FBA","1","Office Products","Oversize","0.1 x 48 x 36 in","1.22 lb","https://www.amazon.com/dp/B08N311CZL"
"Average Sales Rank: 55,299","","B0C7Q1QN69","4 Pcs Small Tri-fold Poster Boards with Double Sided Tapes and Cardboard,21.2x13.8 inches,Corrugated Presentation Boards, Display Boards for School Project,Exhibitions,Business Presentation","Rsgift","$11.90","2,323","64","$27,644","06/29/2023","$1.18","4.3","44","$10.73","3,684","6","FBA","1","Office Products","Oversize","13.8 x 0.1 x 21.2 in","14.1 oz","https://www.amazon.com/dp/B0C7Q1QN69"
"Average Rating Number: 4.4","","B0089T15XK","Flipside 1-Ply Project Board, 36-inch x 48-inch, White, Pack of 24 (FLP30046)","Flipside Products","$100.99","202","9","$20,400","10/17/2012","$62.55","4.1","96","$38.44","26,130","6","AMZ","13","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B0089T15XK"
"","","B079W4NS32","Flipside Products 36 x 48 Project Boards for Presentations, Science Fair, School Projects, Event Displays and Trifold Picture Board, Proudly Made in USA - White - 4 Pack","Flipside Products","$22.66","659","49","$14,933","02/11/2018","$-4.03","4.6","280","$26.69","4,909","6","AMZ","1","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B079W4NS32"
"","","B001E677FA","Pacon 37654 Spotlight Corrugated Presentation Display Boards, 48 x 36, Assorted, 4/Carton","Pacon","$28.54","535","20","$15,269","03/11/2008","$10.76","4.7","1,570","$17.78","12,242","6","AMZ","46","Office Products","Oversize","24.5 x 1.5 x 36.5 in","6 lb","https://www.amazon.com/dp/B001E677FA"
