"Export time:  2/2/2024, 8:18:18 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C33ZC1WL","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(Black, 14 x 22 Inch)","Ctosree","$50.99","127","6","$6,476","04/19/2023","$32.50","4.5","4","$18.49","37,919","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","5.79 lb","https://www.amazon.com/dp/B0C33ZC1WL"
"trifold poster board 36 x 48","","B0CP67R6VH","ArtSkills Tri-fold Foam Display Board, 44x36-Large, White 5 Pack","","$55.99","90","3","$5,039","","","","","","62,221","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CP67R6VH"
"Average Monthly Sales: 398","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"Average Revenue: $11,494","","B0CGKJZ685","8 PCS Trifold Poster Board- Extra Large 48' x 36' Tri Fold Display Board Hard & Thick White Presentation Cardboard for Science Fair, School Projects, and Business Presentations Supply","Cosweet","$68.99","157","7","$10,831","10/08/2023","$35.35","5","10","$33.64","34,765","7","FBA","1","Office Products","Oversize","48 x 0.2 x 36 in","11.8 lb","https://www.amazon.com/dp/B0CGKJZ685"
"Average Price: $49.93","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,483","172","$107,547","01/04/2009","$6.89","4.7","2,979","$17.10","1,079","6","AMZ","14","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average No. of Ratings: 294","","B07QDZX1QR","Trifold Poster Board 36' x 48' White Presentation Board Science Fair Display Boards - for School, Fun Projects and Business Presentations - by Emraw","Emraw","$23.97","2,472","102","$59,254","04/09/2019","$6.87","4.5","764","$17.10","2,129","6","FBA","2","Office Products","Oversize","1 x 36 x 24 in","1.4 lb","https://www.amazon.com/dp/B07QDZX1QR"
"Average Sales Rank: 79,985","","B079W4NS32","Flipside Products 36 x 48 Project Boards for Presentations, Science Fair, School Projects, Event Displays and Trifold Picture Board, Proudly Made in USA - White - 4 Pack","Flipside Products","$22.66","659","49","$14,933","02/11/2018","$-4.03","4.6","280","$26.69","4,909","6","AMZ","1","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B079W4NS32"
"Average Rating Number: 4.3","","B07KRX2M7T","18 Piece 11x14 Large Neon Poster Board Cutouts, Paper Signs for Science Fair Projects Decoration, School Presentation Supplies (6 Shapes)","Juvale","$13.99","273","8","$3,819","05/06/2019","$6.75","4.6","430","$7.24","30,133","7","FBA","1","Office Products","Standard","11.102 x 13.937 x 0.748 in","1.173 lb","https://www.amazon.com/dp/B07KRX2M7T"
"","","B088R3D2SM","AFMAT Sticky Easel Pad, UPGRADED Chart Paper for Teachers, Large Self Stick Flip Chart Easel Paper, 25 x 30 Inches, 30 Sheets/Pad Chart Paper, 6 Pads","AFMAT","$103.99","122","6","$12,687","05/17/2020","$79.45","4","114","$24.54","38,441","6","FBA","4","Office Products","Oversize","25.5 x 2 x 34 in","3.53 oz","https://www.amazon.com/dp/B088R3D2SM"
"","","B00KO8DHVC","BAZIC Poster Board 11' X 14' Assorted Neon Colored Poster Board Paper for School Craft Project Presentation Drawing Graphic Display (5/Pack), 1-Pack","BAZIC Products","$5.27","761","17","$4,010","05/29/2014","$1.69","4.6","260","$3.58","14,671","6","FBA","6","Office Products","Standard","0.01 x 14 x 11 in","3.52 oz","https://www.amazon.com/dp/B00KO8DHVC"
"","","B008DQXLA4","Quartet Cork Bulletin Board, Framed Corkboard, 11 x 17, Black Frame, Message Board (79279)","Quartet","$13.62","273","6","$3,718","04/30/2012","$6.42","4.3","4,922","$7.20","39,975","6","AMZ","9","Office Products","Standard","17 x 11 x 0.63 in","1.39 lb","https://www.amazon.com/dp/B008DQXLA4"
"","","B0CF27H3FW","Rsgift 4 Pcs Tri-fold Poster Boards 48 x 36 inches, Premium Corrugated Presentation Boards with Double Sided Tapes,Display Boards for School Project,Exhibitions, Business Presentation","Rsgift","$27.99","2,160","64","$60,458","09/18/2023","$1.04","4.3","44","$26.95","3,684","6","FBA","1","Office Products","Oversize","36 x 0.1 x 48 in","4.59 lb","https://www.amazon.com/dp/B0CF27H3FW"
