"Export time:  2/2/2024, 8:17:26 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"trifold poster board","","B0BYSTSY54","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 36 x 48 Inch)","Ctosree","$125.99","180","6","$22,678","03/16/2023","","4.5","4","","37,919","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYSTSY54"
"Average Monthly Sales: 452","","B0BQWKB5BH","8 Pieces Tri Fold Poster Board,Lightweight Fold Presentation Board,Science Fair Display Boards,Single Wall (Green, 36 x 48 Inch)","Henoyso","$51.99","414","14","$21,524","12/21/2022","$30.69","3.6","31","$21.30","17,651","6","FBA","1","Office Products","Oversize","24 x 1.8 x 36.5 in","10.58 lb","https://www.amazon.com/dp/B0BQWKB5BH"
"Average Revenue: $13,868","","B0BR3KXJCK","12 Pieces Trifold Poster Board, Lightweight Fold Presentation Board, Single Wall, Foldable Paperboard Display Board for School Project (White, 36 x 48 Inch)","Henoyso","$74.99","124","4","$9,299","12/25/2022","$49.10","4","10","$25.89","53,079","6","FBA","2","Office Products","Oversize","23.75 x 2.35 x 35.5 in","15.52 lb","https://www.amazon.com/dp/B0BR3KXJCK"
"Average Price: $47.37","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,483","172","$107,547","01/04/2009","$6.89","4.7","2,979","$17.10","1,079","6","AMZ","14","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average No. of Ratings: 176","","B08N311CZL","Desk Tech Large Tri-Fold Presentation Board - 36 x 48 inches - Sturdy Corrugated Paper - Perfect for School Projects, Exhibitions, Workshops","Desk Tech","$16.90","4,281","160","$72,349","11/08/2020","$-8.93","4.6","332","$25.83","1,187","7","FBA","1","Office Products","Oversize","0.1 x 48 x 36 in","1.22 lb","https://www.amazon.com/dp/B08N311CZL"
"Average Sales Rank: 64,165","","B0C7Q1QN69","4 Pcs Small Tri-fold Poster Boards with Double Sided Tapes and Cardboard,21.2x13.8 inches,Corrugated Presentation Boards, Display Boards for School Project,Exhibitions,Business Presentation","Rsgift","$11.90","2,323","64","$27,644","06/29/2023","$1.18","4.3","44","$10.73","3,684","6","FBA","1","Office Products","Oversize","13.8 x 0.1 x 21.2 in","14.1 oz","https://www.amazon.com/dp/B0C7Q1QN69"
"Average Rating Number: 4.4","","B09XBZ6CKQ","White Trifold Presentation Board 36' x 48' Display Exhibition Board Lightweight and Portable with Smooth Surface Great for Business presentations (Pack of 4) - by Emraw","Emraw","$35.99","2,585","102","$93,034","04/05/2022","$17.09","4.5","764","$18.90","2,129","6","FBA","1","Office Products","Oversize","24.32 x 1 x 36 in","5.29 lb","https://www.amazon.com/dp/B09XBZ6CKQ"
"","","B079W4NS32","Flipside Products 36 x 48 Project Boards for Presentations, Science Fair, School Projects, Event Displays and Trifold Picture Board, Proudly Made in USA - White - 4 Pack","Flipside Products","$22.66","659","49","$14,933","02/11/2018","$-4.03","4.6","280","$26.69","4,909","6","AMZ","1","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B079W4NS32"
"","","B0089T15XK","Flipside 1-Ply Project Board, 36-inch x 48-inch, White, Pack of 24 (FLP30046)","Flipside Products","$100.99","202","9","$20,400","10/17/2012","$62.55","4.1","96","$38.44","26,130","6","AMZ","13","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B0089T15XK"
"","","B0CHJR97D8","Nortix Flip Chart Paper, Sticky Easel Pads, Chart Paper for Teachers, Upgraded Dual-Purpose for Flip Chart and Dry Erase Board, Srong Adhesive & Bleed-Resistant, 25 x 30 inch, 30 Sheets/Pad, 6 Pads","Nortix","$105.99","570","19","$60,414","09/07/2023","$71.27","4.6","34","$34.72","13,261","7","FBA","2","Office Products","Oversize","25.4 x 2.1 x 33 in","26.4 lb","https://www.amazon.com/dp/B0CHJR97D8"
