"Export time:  2/5/2024, 2:38:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B097QRKRCX","BRULVVR Under Bed Blocker-Gap Bumper for Under Furniture,Stop Toy Going Under Couch Bed Cabinet Sofa,78' L 7' H","BRULVVR","$18.99","192","8","$3,646","06/22/2021","$12.60","3.5","489","$6.39","112,853","6","FBA","1","Home & Kitchen","Standard","0.78 x 6.78 x 13.78 in","0.317 oz","https://www.amazon.com/dp/B097QRKRCX"
"under bed blocker for pets","","B0BG4R7FQ2","sevkumz 5 Pack Under Couch Blocker, Gap Bumper Under Bed Blocker with Strong Adhesive, Safety PVC Adjustable Clear Toy Blocker for Bed Sofa Barrier Blocking, 3.4'' Height 16' L","sevkumz","$14.49","496","9","$7,187","09/21/2022","$7.80","3.8","553","$6.69","99,699","6","FBA","1","Home & Kitchen","Standard","8.94 x 2.13 x 15.94 in","14.4 oz","https://www.amazon.com/dp/B0BG4R7FQ2"
"Average Monthly Sales: 626","","B09X199YFQ","Treela 12 Pcs Under Couch Toy Blocker Black Couch Blocker for Pets Bumper for Under Furniture Baffle Board with Adjustable Guard to Stop Going Under Sofa Couch Bed Easy Install(4.7 Inch, 12 Pcs)","Treela","$24.99","850","34","$21,242","03/31/2022","$15.45","3.3","330","$9.54","27,049","6","FBA","1","Home & Kitchen","Standard","7.874 x 2.362 x 15.748 in","2.116 lb","https://www.amazon.com/dp/B09X199YFQ"
"Average Revenue: $17,301","","B0CJS4JBLN","Kid & Pet Toys Blocker for Under Couch, Fits Standard Seats with Short Legs, Elastic Under Couch Blocker/Under Couch Bumpe, Adjustable Under Bed Blocker for Blocking Toys (1 Pack, Black) (118' x 3')","Generic","$21.99","45","2","$989.55","09/24/2023","$-61.94","","","$83.93","410,415","7","FBA","1","Home & Kitchen","Oversize","3 x 0.1 x 118 in","7.37 oz","https://www.amazon.com/dp/B0CJS4JBLN"
"Average Price: $23.02","","B09MQ2L1S3","QIYIHOME Toy Blocker, Extra Tall Size Gap Bumper for Under Bed, Stop Pets Toys Going Under Bed or Sofa Couch, Easy to Install, 11.8' Height 83' Length,Black","QIYIHOME","$26.99","620","22","$16,734","11/28/2021","$17.15","3.8","1,487","$9.84","10,722","6","FBA","1","Pet Supplies","Standard","12.71 x 2.44 x 12.8 in","2.68 lb","https://www.amazon.com/dp/B09MQ2L1S3"
"Average No. of Ratings: 405","","B0CK4BZW5C","Under Couch Blocker for Toys 24 Pack, Under Bed Guards for Pets Plastic Stopper, Spliced Barrier to Block Cats and Dogs for Furniture Sofa (Black 12 Feet)","Softfree","$32.99","365","14","$12,041","09/27/2023","$21.31","4.3","15","$11.68","14,976","6","FBA","1","Pet Supplies","Standard","7.28 x 6.34 x 10.2 in","4.06 lb","https://www.amazon.com/dp/B0CK4BZW5C"
"Average Sales Rank: 105,647","","B0BTS31TQV","Gumond One Size Fits Most Toy Blocker for Under Couch - Works on Carpet - NO Glue | Under Bed Blocker for Pets | Bed Bumper | Couch Gap Blocker | Under Couch Blocker for Pets | Couch Toy Blocker","GUMOND","$24.99","152","6","$3,798","09/25/2023","$-60.18","4.1","23","$85.17","15,400","6","FBA","1","Baby","Oversize","0.1 x 4 x 192 in","1.06 lb","https://www.amazon.com/dp/B0BTS31TQV"
"Average Rating Number: 3.8","","B095M7V2TX","8-Pack Toy Blocker, Gap Bumper for Under Furniture, BPA Free Safe PVC with Strong Adhesive, Stop Things Going Under Sofa Couch or Bed, Easy to Install 4.7' Height","QIYIHOME","$23.99","839","35","$20,128","05/21/2021","$15.25","4.2","237","$8.74","26,517","6","FBA","1","Home & Kitchen","Standard","5.67 x 2.32 x 16.61 in","1.87 lb","https://www.amazon.com/dp/B095M7V2TX"
"","","B0CDLGLH67","Under Couch Blocker,Toy Blockers for Furniture, Adjustable Gap Bumper Barrier with Strong Tape,Prevent Things Going Under Bed or Sofa (3.15' H x 15.75' L,Clear,8Pack)","Ｄｏｒｃｙ","$15.88","200","4","$3,176","08/02/2023","","4.4","27","","210,857","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDLGLH67"
"","","B07J4Q2PRV","Bowerbird Clear Toy Blockers for Furniture - Stop Things from Going Under Couch Sofa Bed and Other Furniture - Suit for Hard Surface Floors Only","BOWERBIRD","$14.98","3,522","126","$52,760","10/06/2018","$8.21","4","6,646","$6.77","5,837","6","FBA","4","Home & Kitchen","Standard","3.54 x 1.97 x 16.14 in","15.1 oz","https://www.amazon.com/dp/B07J4Q2PRV"
