"Export time:  2/5/2024, 2:04:39 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CDWPGRZQ","ZLLZUU Under Bed Storage Containers, Plastic Under the bed Storage Bins with Wheels, Stackable Rolling Drawers Shoe Organizer with Lids, Lagre Foldable Storage Box for Clothes, Blanket, 6.5' H, 3 Pack","ZLLZUU","$119.99","90","3","$10,799","12/30/2023","","3.6","15","","258,741","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDWPGRZQ"
"under bed drawers","","B0B6FWSTR4","PHINOX Under Bed Storage, Under the Bed Storage Containers with Wheels, Under Bed Shoe Storage Organizer Drawer for Bedroom Clothes Shoes Blankets -2Pack","PHINOX","$49.88","2,813","81","$140,312","07/12/2022","$27.38","4.6","1,952","$22.50","10,213","7","FBA","5","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","8.77 lb","https://www.amazon.com/dp/B0B6FWSTR4"
"Average Monthly Sales: 1,249","","B0CMGXTH77","YIK TUNG Under Bed Storage Organizer with Storage Bag, Storage Drawer with Casters, Metal Container for Bedroom, Black, Pack of 1","YIK TUNG","$29.99","","","$0.00","11/03/2023","","","","","893,340","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMGXTH77"
"Average Revenue: $65,544","","B0CBRNX7JS","Under Bed Storage with Wheels, 2 Pcs 31.5'' Large Upgraded Under Bed Storage, Tool-free Assembly Foldable Rolling Under Bed Storage for Shoes, Clothes, Toys, Blankets - Solution for Home Organization","Nonkky","$56.99","105","1","$5,984","07/12/2023","","3.9","21","","564,477","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBRNX7JS"
"Average Price: $50.94","","B0BNX9DW7X","Yoleduo Under Bed Storage With Wheels Under bed Storage Containers Large Metal Foldable Space-saving Under Bed Drawer Shoe Storage Organizer on Wheels for Clothes(2 pieces, Black)","Yoleduo","$35.99","2,692","127","$96,885","12/02/2022","$15.57","4.5","481","$20.42","5,777","6","FBA","4","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","3.86 lb","https://www.amazon.com/dp/B0BNX9DW7X"
"Average No. of Ratings: 547","","B0C7821P14","Homeiju Under Bed Storage with Wheels, Plastic Under Bed Storage Containers with Clear Window, Foldable Underbed Storage Organizer Drawer for Clothes, Books, Toys(2 Pack)","Homeiju","$27.99","213","6","$5,962","06/05/2023","","4.6","24","","145,759","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7821P14"
"Average Sales Rank: 144,590","","B0CM6V8QFM","FOUCSSOMEI Under Bed Storage with Wheels, Under Bed Drawers Heavy Duty, 2 Packs, Wooden Under Bed Storage Containers Organizer, Metal Frame, for Clothes Books Blankets, Patented Design","FOUCSSOMEI","$49.99","467","13","$23,345","12/06/2023","$27.47","4.2","11","$22.52","68,758","6","FBA","1","Home & Kitchen","Oversize","15.75 x 6.3 x 23.62 in","11 lb","https://www.amazon.com/dp/B0CM6V8QFM"
"Average Rating Number: 4.3","","B0BR91W5XC","Under Bed Storage, Under the Bed Storage Containers with Wheels, Under Bed Shoe Storage Organizer Drawer, Tool-free Assembly Metal Underbed Storage Containers for Bedroom Clothes Shoes Blankets -White","PHINOX","$33.55","2,864","81","$96,087","12/28/2022","$10.46","4.6","1,952","$23.09","10,213","7","FBA","1","Home & Kitchen","Oversize","23.6 x 6.22 x 23.6 in","5.94 lb","https://www.amazon.com/dp/B0BR91W5XC"
"","","B0CBPR26J5","Under Bed Storage 2 Pack, Stackable Under Bed Storage Containers with Wheels, Folding Plastic Storage Box with LidUnder Bed Storage Bins Drawer for Clothes, Shoes,Blankets","Corbyles","$63.99","832","31","$53,240","08/21/2023","$36.71","4.5","113","$27.28","30,061","7","FBA","2","Home & Kitchen","Oversize","15.74 x 6.49 x 32.28 in","12.98 lb","https://www.amazon.com/dp/B0CBPR26J5"
"","","B0BY1MRHWB","StorageWorks Under Bed Shoe Storage Organizer, Underbed Shoes Container with Adjustable Dividers, Beige, 2-Pack, Fits 24 Pairs","StorageWorks","$41.99","1,364","45","$57,274","06/27/2023","","4.6","335","","19,957","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BY1MRHWB"
