"Export time:  2/1/2024, 11:04:30 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B6TK767D","REALINN Under Sink Organizer, Pull Out Cabinet Organizer 2 Tier Slide Out Sink Shelf Cabinet Storage Shelves, Under Sink Storage for Kitchen Bathroom Cabinet","REALINN","$34.99","43,239","1,251","$1.51M","07/17/2022","","4.4","2,988","","27","7","FBA","7","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B6TK767D"
"under kitchen sink organizer","","B0CK2L27DW","PRACVES L-Shaped Under Sink Organizer - Spacious Under Kitchen Sink Organizers and Storage - 2 Pack Pull Out Bathroom Cabinet Organizer - Multipurpose Undersink Organization (Black, 2)","PRACVES","$36.99","120","4","$4,439","12/24/2023","","4.2","4","","68,814","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CK2L27DW"
"Average Monthly Sales: 3,321","","B09NPM1CMR","bukfen Under Sink Organizer, Pull Out Cabinet Organizer 2-Tier Slide Out Sliding Shelf Under Cabinet Storage Multi-Use for Under Kitchen Bathroom Sink Organizers and Storage","bukfen","$34.99","2,740","65","$95,873","02/14/2022","$22.71","4.4","2,602","$12.28","3,880","7","FBA","6","Kitchen & Dining","Standard","11.46 x 16.26 x 4.06 in","3.131 lb","https://www.amazon.com/dp/B09NPM1CMR"
"Average Revenue: $105,313","","B0BMF7RF1B","2-Tier Under Sink Organizers, 2 Pack Sliding L-shape Cabinet Organizers Narrow Space Storage Multi-purpose Sink Organizer for Bathroom Kitchen Drawer(Black 2 )","NATURE'S SOURCE","$39.99","7,477","142","$299,005","11/14/2022","","4.5","1,251","","1,406","7","FBA","5","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BMF7RF1B"
"Average Price: $32.29","","B0BXNP5SKV","Ceetug Under Sink Organizers and Storage 2 Tier Slide Out Kitchen Cabinet Organizer Sturdy Metal Bathroom Storage, Black","Ceetug","$29.99","4,277","132","$128,267","04/04/2023","$12.37","4.4","364","$17.62","1,565","6","FBA","4","Kitchen & Dining","Oversize","10.62 x 10.43 x 14.37 in","2.64 lb","https://www.amazon.com/dp/B0BXNP5SKV"
"Average No. of Ratings: 924","","B0BYDGMBP8","Aoche Under Sink Organizer, 2-Tier Metal Under Cabinet Organizer Pull Out Bathroom Organizer L Shape Undersink Organizers and storage for Kitchen Bathroom Storage Home Organization","Aoche","$22.99","215","5","$4,943","03/13/2023","","4.5","89","","54,847","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BYDGMBP8"
"Average Sales Rank: 20,380","","B0CMTMHNJ3","LUWUIDEN Under Sink Organizer: Adjustable Height 2-Tier Under Bathroom Sink Organizers Multi-Purpose Bathroom Cabinet Pull Out Drawers for Kitchen Cabinets with Hooks","LUWUIDEN","$28.99","622","20","$18,032","12/04/2023","","4.8","91","","14,255","6","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CMTMHNJ3"
"Average Rating Number: 4.5","","B0CP34VR23","mosala 2 Pack Under Sink Organizers and Storage - 2 Tier Sliding Bathroom Cabinet Organizer with Hooks - Multi-Purpose Under The Sink Organizer Kitchen - Black","mosala","$22.49","720","24","$16,193","11/27/2023","","4.6","421","","11,781","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CP34VR23"
"","","B0BRCZFJHQ","Solidhouse Under Sink Organizer, 2-Tier Under Kitchen Bathroom Sink Organizers and Storage No Drilling Rustproof Stainless Steel Pull Out Shelf for Kitchen Bathroom","Solidhouse","$21.83","2,548","99","$55,623","12/29/2022","","4.3","318","","2,290","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BRCZFJHQ"
"","","B0CNGTBSX3","VERIFOST 2 Pack Under Sink Organizer, 2 Tier Under Sink Organizers and Storage for Kitchen Bathroom, Height Adjustable Cabinet Organizer with Two Slide-Out Drawers,Black","VERIFOST","$28.99","596","11","$17,278","11/15/2023","","4.4","17","","24,658","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNGTBSX3"
