"Export time:  2/1/2024, 1:39:15 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BP68MTVV","MSHOMELY Underwear Organizer, Socks Bra Underwear Drawer Organizer Divider, 16 Cell Closet Organizer and Storage Bins for Clothing, Bra Storage Organizer Bins Stackable Underwear Storage Organizer","MSHOMELY","$24.99","192","5","$4,798","12/05/2022","","4.4","75","","180,372","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BP68MTVV"
"underwear drawer","","B0833YRXKT","Criusia Underwear Drawer Organizer, 6 Set Foldable Underwear Drawer Organizer and Closet Dividers,Storage Box for Clothes, Socks, Underwear (6 Bins) (Light Grey)","Criusia","$16.98","5,217","153","$88,585","12/24/2019","$9.29","4.6","9,175","$7.69","4,503","7","FBA","2","Home & Kitchen","Standard","11.85 x 1.89 x 12.32 in","1 lb","https://www.amazon.com/dp/B0833YRXKT"
"Average Monthly Sales: 1,793","","B0BMM85XHD","Underwear Organizer Drawers  Hard Shell Foldable Cabinet Closet Organizers  Pullout Drawers for Shelf Dresser Storage  Space Saving Storage Box for Underwear, Socks, Lingerie, Ties etc (Gray)","TreeHouse London","$21.99","133","8","$2,925","11/15/2022","","3.5","19","","106,199","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BMM85XHD"
"Average Revenue: $59,517","","B0B4D8DZRX","6 Pack Sock Underwear Drawer Organizer Dividers, 58 Cell Foldable Fabric Dresser Closet Organizers and Storage Bins for Clothing, Baby Clothes, Bra, Panty, Scarf, Ties (Grey)","Criusia","$24.99","3,777","120","$94,387","06/16/2022","","4.6","1,461","","6,245","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B4D8DZRX"
"Average Price: $29.63","","B0C27JPXX2","MSHOMELY Socks Underwear Drawer Organzier Dividers, 16 Cell Stackable Closet Organzier, Drawer Organzier for Clothing, Plastic Underwear Organziers and Storage for Baby Clothes, Bra, Ties, Belts","MSHOMELY","$24.99","308","8","$7,697","04/11/2023","","4.5","71","","117,032","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C27JPXX2"
"Average No. of Ratings: 2,489","","B0BN7Z9RFK","najiaxiaowu 8 Packs Drawer Organizers for Clothing with 90 Cells Fabric Foldable Grids Dividers Box for Socks,Underwear, Bras and Ties","najiaxiaowu","$18.99","1,934","52","$36,727","11/23/2022","","4.3","624","","17,301","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BN7Z9RFK"
"Average Sales Rank: 161,845","","B0BCW41X7C","Tynulox Underwear Organizer Dividers, 15 Cells Closet Clothes Drawer Stackable Wardrobe Cabinet Storage Bin Box for Bra, Socks, Ties, Belts, Beige","Tynulox","$24.99","161","10","$4,023","09/01/2022","$15.45","4.3","40","$9.54","92,330","6","FBA","1","Home & Kitchen","Standard","8.9 x 4.1 x 4.1 in","2.18 lb","https://www.amazon.com/dp/B0BCW41X7C"
"Average Rating Number: 4.4","","B0BTHNPKGC","DIMJ Drawer Organizer Clothes, Underwear Drawer Organizer, Set of 4 Foldable Closet Fabric Drawer Dividers for Baby Socks, Belt, Tie (Light Grey)","DIMJ","$11.99","1,484","45","$17,793","01/30/2023","$6.72","4.6","272","$5.27","20,031","6","FBA","1","Home & Kitchen","Standard","5.9 x 3.54 x 11.8 in","10.2 oz","https://www.amazon.com/dp/B0BTHNPKGC"
"","","B0CHYRS3K1","Drawer Organizer Clothes,16 Pack Underwear Drawer Organizers, Foldable Closet Organizers and Storage Dresser Drawer Dividers Clothing Organizer for Clothes, Socks, Scarves, Bra, Ties (Grey)","Criusia","$59.99","5,336","158","$320,107","09/12/2023","","4.7","2,451","","4,311","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHYRS3K1"
"","","B0B31DYSZ4","Drawer Organizer for Clothing, 12 Pack Sock Underwear Drawer Organizer Bins, Foldable Fabric Closet Organizers and Storage Dresser Drawer Dividers for Baby Clothes, Bra, Scarves, Belt, Tie (Grey)","Criusia","$29.99","4,758","96","$142,692","10/25/2022","","4.6","905","","8,357","7","FBA","5","Home & Kitchen","","","","https://www.amazon.com/dp/B0B31DYSZ4"
