"Export time:  1/29/2024, 11:59:54 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07KYSDN7W","Amazon Basics Tritan Locking Food Storage Container, 10 Pieces, 5 Count (5 Containers With 5 Lids), Clear","Amazon Basics","$23.48","2,562","51","$60,156","06/14/2019","$14.17","4.3","9,206","$9.31","5,092","6","AMZ","8","Kitchen & Dining","Standard","6.8 x 8.1 x 6.3 in","1.451 lb","https://www.amazon.com/dp/B07KYSDN7W"
"vegetable containers for fridge","","B0CDYJZBNL","AVUX Food Storage Bins with Colander  A (4 Pcs) Airtight and Leak Proof Plastic Storage Saver Container Set for Fridge Organizer to Store Salad, Vegetables, Meat, Fruits and Frozen Food","","$25.97","360","12","$9,349","","","4.7","22","","22,989","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CDYJZBNL"
"Average Monthly Sales: 1,224","","B00LIP5PDI","Prepara Herb Savor Pod 2.0, Set of 3,White","Prepara","$30.00","987","29","$29,610","06/10/2014","$19.75","4.1","8,349","$10.25","9,556","6","FBA","9","Kitchen & Dining","Standard","9.134 x 12.52 x 3.386 in","1.587 lb","https://www.amazon.com/dp/B00LIP5PDI"
"Average Revenue: $31,740","","B01NAS639I","SILIVO Fruit Storage Containers for Fridge (3 Pack) - 1.5L Produce Saver Containers for Refrigerator with Removable Drain Tray Keep Fresh for Produce, Bacon, Fruits and Vegetables","SILIVO","$12.99","3,411","97","$44,309","01/10/2017","$6.52","4.4","11,953","$6.47","2,339","6","FBA","1","Kitchen & Dining","Standard","4.72 x 2.76 x 11.42 in","14.1 oz","https://www.amazon.com/dp/B01NAS639I"
"Average Price: $27.80","","B09XB68ZB8","Pomeat 10 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Produce Fruit Storage Containers for Storage Clear for Food, Drinks, Vegetable Storage","Pomeat","$22.99","4,588","232","$105,478","04/05/2022","$13.11","4.4","2,146","$9.88","679","7","FBA","7","Kitchen & Dining","Standard","8.27 x 4.13 x 12.2 in","3.52 lb","https://www.amazon.com/dp/B09XB68ZB8"
"Average No. of Ratings: 2,099","","B0BZPJ7828","ZIJUND 14 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Fridge Organizers and Storage Containers for Fruit, Vegetable, Food, Drinks, Cereals, Clear","ZIJUND","$35.99","1,703","50","$61,291","03/26/2023","$22.66","4.4","394","$13.33","5,187","7","FBA","5","Kitchen & Dining","Standard","12.56 x 4.69 x 16.69 in","8.71 lb","https://www.amazon.com/dp/B0BZPJ7828"
"Average Sales Rank: 27,202","","B08D9S3N9S","Rubbermaid FreshWorks Produce Saver, Medium and Large Storage Containers, 8-Piece Set, Clear","Rubbermaid","$33.79","5,762","179","$194,698","06/30/2020","$21.99","4.6","5,348","$11.80","1,006","6","FBA","9","Kitchen & Dining","Standard","7.81 x 8.13 x 9.81 in","2 lb","https://www.amazon.com/dp/B08D9S3N9S"
"Average Rating Number: 4.4","","B00I0TBP8Y","Debbie Meyer GreenBoxes 32 Piece Set  Keeps Fruits, Vegetables, Baked Goods and Snacks Fresh Longer, Reusable, BPA Free, Microwave and Dishwasher Safe, Made in USA","Debbie Meyer","$29.99","1,373","37","$41,176","01/23/2014","$18.76","4.5","9,200","$11.23","7,363","7","FBA","2","Kitchen & Dining","Standard","8.976 x 11.299 x 6.417 in","1.762 lb","https://www.amazon.com/dp/B00I0TBP8Y"
"","","B09KTHRD67","LUXEAR Fruit Vegetable Produce Storage Saver Containers with Lid & Colander 5 Packs BPA-Free Plastic Fresh Keeper Set | Refrigerator Fridge Organizer | for Salad Berry Lettuce Food Meat Fish Celery","LUXEAR","$25.99","898","27","$23,339","11/01/2021","$15.36","4.4","2,175","$10.63","10,115","7","FBA","4","Kitchen & Dining","Standard","8.9 x 12.24 x 6.02 in","3.309 lb","https://www.amazon.com/dp/B09KTHRD67"
"","","B00ERE2RLK","Prepara Eco Herb Savor Pod, Green 6.2 x 2.9 x 10.7 inches","Prepara","$23.15","129","4","$2,986","08/23/2013","$15.91","4.4","3,031","$7.24","65,703","5","AMZ","1","Kitchen & Dining","Standard","5.5 x 10.5 x 3 in","0.75 lb","https://www.amazon.com/dp/B00ERE2RLK"
"","","B0CLKNQLP4","KEMETHY 6 Pack Fruit Storage Containers For Fridge With Removable Colanders, Airtight Storage Container, BPA-Free, Dishwasher & Microwave Safe, Keep Berry Fruit Vegetable Food Meat Fresh Longer","KEMETHY","$27.99","1,661","37","$46,491","10/21/2023","$17.36","4.7","57","$10.63","7,314","7","FBA","1","Kitchen & Dining","Standard","7 x 4.5 x 9 in","3.88 lb","https://www.amazon.com/dp/B0CLKNQLP4"
"","","B0B27MDKXD","5 PCS Large Fruit Containers for Fridge - Leakproof Food Storage Containers with Removable Colander - Dishwasher & microwave safe Produce Containers Keep Fruits, Vegetables, Berry, Meat Fresh longer","Freshmage","$20.99","4,011","211","$84,191","05/24/2022","$11.56","4.4","1,302","$9.43","785","6","FBA","1","Kitchen & Dining","Standard","9.06 x 6.3 x 10.63 in","2.51 lb","https://www.amazon.com/dp/B0B27MDKXD"
"","","B0CBWT6B2G","SpaceHacks 10 Pack Refrigerator Organizer Bins Stackable with Lids, Clear Fridge Organizers and Storage, Kitchen Organizer Storage Containers for Fruit, Produce, Food, Vegetables","SpaceHacks","$21.99","2,399","135","$52,754","10/20/2023","","4.4","70","","1,510","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CBWT6B2G"
"","","B073ZP5Z2X","Amazon Basics Glass Locking Lids Food Storage Containers, 14-Piece Set, 7 Count of Bases and 7 Plastic Lids, Clear, Blue","Amazon Basics","$37.99","3,022","110","$114,806","11/09/2018","","4.5","36,294","","2,007","7","AMZ","9","Kitchen & Dining","","","","https://www.amazon.com/dp/B073ZP5Z2X"
"","","B016I5TUMY","Prepara Mini Herb Saver Mini, White/Green","Prepara","$13.60","269","8","$3,658","10/04/2015","$7.58","4","2,587","$6.02","34,072","5","AMZ","4","Kitchen & Dining","Standard","3.5 x 11.5 x 3.5 in","0.5 lb","https://www.amazon.com/dp/B016I5TUMY"
"","","B09W8YDTBF","Meanplan Food Storage Containers for Fridge Plastic refrigerator Organizers with Removable Drain Plate and Lid Stackable Produce Containers to Keep Fruits, Vegetables, Meat(8 Packs)","Meanplan","$24.99","150","5","$3,748","03/22/2022","$14.51","4","232","$10.48","49,800","6","FBA","1","Kitchen & Dining","Standard","9.02 x 11.81 x 6.46 in","3.15 lb","https://www.amazon.com/dp/B09W8YDTBF"
"","","B0C69SDVNG","Herb Saver, Herb Keeper for Refrigerator, Cilantro Containers for Refrigerator, Herb Saver Pod, Fresh Herb Keeper for Cilantro, Parsley, Asparagus, Keeps Vegetables for 2-3 Weeks (3PCS Herb Saver)","Vamrak","$25.98","264","8","$6,859","05/23/2023","$16.94","3.1","40","$9.04","34,223","7","FBA","1","Kitchen & Dining","Standard","3.35 x 3.35 x 10.23 in","1.19 lb","https://www.amazon.com/dp/B0C69SDVNG"
"","","B0B9S6PV2G","Vtopmart Set of 7 Fridge Organizer, Stackable Fruit Storage Containers for Fridge with lids, BPA-Free Refrigerator Organizer Bins with Drain Tray for Vegetables, Fruits, Food, Drinks","Vtopmart","$21.99","1,268","40","$27,883","08/15/2022","$11.96","4.4","351","$10.03","6,677","7","FBA","1","Kitchen & Dining","Standard","3.94 x 7.87 x 11.81 in","4.43 lb","https://www.amazon.com/dp/B0B9S6PV2G"
"","","B09CD4HJSM","SANNO Vegetable Fruit Storage Containers, Food Storage Containers Fridge Produce Save, Stackable Refrigerator Organizer Keeper Drawers Bins Baskets with Lids and Removable Drain Tray","SANNO","$29.97","81","3","$2,428","08/10/2021","$19.04","4.3","562","$10.93","83,483","7","FBA","1","Kitchen & Dining","Standard","7.17 x 6.14 x 11.42 in","3.23 lb","https://www.amazon.com/dp/B09CD4HJSM"
"","","B0CLKNSHJM","KEMETHY 10 Pack Fruit Storage Containers for Fridge with Removable Colanders - Food Storage Containers with Lids, BPA-Free Produce Containers Keep Fruits, Vegetables, Berry, Meat Fresh Longer","KEMETHY","$39.99","608","29","$24,314","01/02/2024","$27.26","4.8","18","$12.73","9,589","7","FBA","1","Kitchen & Dining","Standard","8.99 x 5.31 x 10.62 in","4.95 lb","https://www.amazon.com/dp/B0CLKNSHJM"
"","","B0C373LZRH","Moretoes 7pcs Fridge Organizer with Lid, Clear Refrigerator Organizer Bins Set Stackable BPA-Free Fruit Storage Containers of 3 Sizes for Food Vegetable Drinks Kitchen","Moretoes","$16.99","333","7","$5,658","04/20/2023","$7.71","4.6","233","$9.28","38,719","7","FBA","1","Kitchen & Dining","Standard","8.7 x 1 x 12.6 in","4.38 lb","https://www.amazon.com/dp/B0C373LZRH"
"","","B07PJ21B2X","mDesign Plastic Kitchen Refrigerator Produce Storage Organizer Bin with Open Vents for Air Circulation - Food Container for Fruit, Vegetables, Lettuce, Cheese, Fresh Herbs, Snacks - S, 4 Pack - Clear","mDesign","$22.39","240","4","$5,374","06/05/2019","$12.68","4.6","1,654","$9.71","63,661","7","FBA","1","Kitchen & Dining","Standard","8.6 x 11.4 x 6.2 in","2.401 lb","https://www.amazon.com/dp/B07PJ21B2X"
"","","B0BJ137GHT","Kitchen Spaces Colander Bin, Produce Saver, Fridge Organizer With Lid, Wash, Strain and Store, Great for Refrigerator, Freezer and Pantry, Large, White, Pack of 1","Kitchen Spaces","$21.83","600","20","$13,098","10/11/2022","","4.3","3,974","","13,766","5","AMZ","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BJ137GHT"
"","","B08NFS2MLW","Stasher Reusable Silicone Storage Bag, Food Storage Container, Microwave and Dishwasher Safe, Leak-free, Bundle 7-Pack, Clear","Stasher","$104.99","","","","11/13/2020","$81.91","4.6","1,273","$23.08","1,927","7","AMZ","3","Unique Finds","Standard","10.16 x 13.62 x 7.01 in","2.141 lb","https://www.amazon.com/dp/B08NFS2MLW"
"","","B0BXP6HPK4","Pomeat 14 Pack Fridge Organizer with Lid, Stackable Refrigerator Organizer Bins, BPA-Free Fridge Organizers and Storage Clear, Fruit Storage Containers for Fridge, Kitchen, Food, Produce, Vegetable","Pomeat","$35.99","489","15","$17,599","03/06/2023","","4.4","170","","18,140","6","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BXP6HPK4"
"","","B0CJ4T656M","Pomeat 10 Pcs Stackable Fridge Organizer Bins Airtight Divided Serving Tray with Lid Vegetable Fruit Container for Refrigerator Organizer Bins Produce Salad Storage Snackle Box Containers Veggie Tray","Pomeat","$25.99","120","4","$3,119","09/14/2023","$13.86","4.6","3","$12.13","59,591","6","FBA","1","Kitchen & Dining","Standard","9.84 x 7.48 x 13.78 in","3.52 lb","https://www.amazon.com/dp/B0CJ4T656M"
