"Export time:  2/1/2024, 1:43:46 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08CS3216Z","MyGift Wall Mounted or Tabletop Rustic Black Metal Wire and Burnt Wood Small Decorative Storage Baskets with Handles, Set of 2","MyGift","$29.99","210","7","$6,298","10/26/2020","$19.06","4.7","209","$10.93","134,338","6","FBA","1","Home & Kitchen","Standard","6.614 x 14.095 x 4.409 in","3.106 lb","https://www.amazon.com/dp/B08CS3216Z"
"wall mount basket","","B07G2QPQKR","Saratoga Home Wall Fruit Baskets For Kitchen Fruit Basket Wall Mount, Wall Fruit Baskets for Kitchen, Hanging Wall Basket, Hanging Baskets for Organizing, Onion and Potato Storage, Wired Baskets","Saratoga Home","$44.99","118","3","$5,309","08/26/2018","$30.31","4.7","3,007","$14.68","73,032","6","FBA","1","Kitchen & Dining","Standard","12.047 x 13.11 x 5.158 in","8.68 lb","https://www.amazon.com/dp/B07G2QPQKR"
"Average Monthly Sales: 471","","B08FY4SXTJ","MaraFansie Hanging Kitchen Baskets Wire Storage Basket Over the Cabinet Door Organizer, No Drilling Adhesive Basket for Cabinet Pantry Organization and Kitchen, Bathroom, Storage, 2 Pack, Black","MaraFansie","$15.99","1,486","43","$23,761","10/03/2020","$8.45","4.7","2,450","$7.54","6,257","6","FBA","3","Kitchen & Dining","Standard","4.72 x 11.02 x 4.72 in","1 lb","https://www.amazon.com/dp/B08FY4SXTJ"
"Average Revenue: $11,930","","B0BC83X7FT","MaraFansie [Extra Large] Wire Basket 2-Pack Hanging Wall Organizer Cabinet Storage Basket Wall Mounted Shelves Rustic Farmhouse Decor for Home Kitchen Bathroom, BLACK","MaraFansie","$22.99","540","20","$12,415","08/28/2022","","4.8","443","","14,172","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BC83X7FT"
"Average Price: $25.43","","B0CBTL12K8","ShabbyDecor Metal Wire Basket Detachable Wood Base Storage Organizer Farmhouse Bin for Kitchen Cabinets, Bathroom, Pantry, Laundry Room, Closets Set of 2,Black Color","ShabbyDecor","$20.68","342","11","$7,073","06/07/2023","$11.94","4.8","13","$8.74","25,109","7","FBA","1","Kitchen & Dining","Standard","13 x 4 x 5.5 in","2.4 lb","https://www.amazon.com/dp/B0CBTL12K8"
"Average No. of Ratings: 1,421","","B09N34YCTQ","4-Set Extra Large Black Steel Wire Wall Mount Baskets - With Adhesive & Steel Hooks, Rustic Farmhouse Kitchen & Bathroom Storage","AOZITA","$26.99","1,517","44","$40,944","12/05/2021","$16.66","4.8","697","$10.33","6,037","7","FBA","6","Kitchen & Dining","Standard","14.7 x 5.5 x 5.5 in","1.1 lb","https://www.amazon.com/dp/B09N34YCTQ"
"Average Sales Rank: 77,251","","B09B3BRJWM","3 Set [Extra Large]Hanging Wall Wire Baskets, Farmhouse Food Storage Kitchen Pantry Laundry Closet Garage RV,Black","Joben Oligey","$24.99","1,464","51","$36,585","09/13/2021","$14.81","4.7","981","$10.18","5,111","6","FBA","2","Kitchen & Dining","Standard","5.5 x 5.5 x 14.7 in","3.83 lb","https://www.amazon.com/dp/B09B3BRJWM"
"Average Rating Number: 4.6","","B0BRXLGH4M","Wall Hanging Baskets 3 Pack, Large Floating Shelves Wire Basket of Wooden Style, Storage Organization for Bathroom Shower Bedroom Kitchen Dorm Office Garage, Room Wall Decor, Plant Hanging Rack","LIGHT DUST","$32.99","226","6","$7,456","02/14/2023","","4.7","52","","149,230","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRXLGH4M"
"","","B09W2WYK4D","Hanging Kitchen Baskets Adhesive Sturdy Wire Storage Baskets with Kitchen Food Pantry Bathroom Shelf Storage No Drilling Wall Mounted,Black,2 Pack","HDYOUDO","$15.99","212","6","$3,390","03/20/2022","$7.80","4.3","248","$8.19","46,289","7","FBA","1","Kitchen & Dining","Standard","6 x 5 x 11 in","1.4 lb","https://www.amazon.com/dp/B09W2WYK4D"
"","","B09J4P5X4S","Mefirt 2pcs Fruit Basket Onion Storage Wire Baskets with Wood Lid, Stackable Wall-Mounted Tiered Kitchen Organizers and Storage for Snack, Fruit and Vegetable Storage, 11.8 x 7.9 x 8.5 Inch","Mefirt","$37.99","1,850","45","$70,282","11/19/2021","$25.26","4.7","1,268","$12.73","5,956","7","FBA","6","Kitchen & Dining","Standard","8.268 x 3.74 x 12.402 in","5.071 lb","https://www.amazon.com/dp/B09J4P5X4S"
"","","B0BR5D98YW","JUNCHU CHERRY 2 Pack Hanging Kitchen Basket, Bathroom Bath Basket, Household Goods Storage Basket, with Traceless Tape, no Drilling, for Cabinet Storage, Kitchen, Bathroom, Storage Room(2 Chrome)","JUNCHU CHERRY","$13.95","473","15","$6,598","12/26/2022","$8.09","4.3","30","$5.86","18,155","6","FBA","1","Kitchen & Dining","Standard","11 x 4.72 x 4.92 in","8.3 oz","https://www.amazon.com/dp/B0BR5D98YW"
"","","B09QGZZGPV","mDesign Open Weave Water Hyacinth Hanging Wall Storage Belly Basket for Flowers & Essentials, Decorative Boho Mounted Organizer for Pantry, Closet, Bathroom, and The Door - Natural/Tan","mDesign","$44.99","93","4","$4,184","02/26/2022","$25.12","4.8","243","$19.87","67,933","7","FBA","1","Kitchen & Dining","Oversize","13.504 x 18.11 x 6.732 in","0.948 lb","https://www.amazon.com/dp/B09QGZZGPV"
