"Export time:  2/4/2024, 11:42:25 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09W42G796","Forzacx Floating Shoe Display Set of 5, Sturdy Levitating Acrylic Shelf , Easy to Install Sneaker Shelves Storage, for Bedroom, Hallways etc - Display Your Top Shoes Maximize Wall Space","Forzacx","$28.99","298","7","$8,639","03/21/2022","$19.50","4.6","202","$9.49","125,349","7","FBA","1","Home & Kitchen","Standard","3.82 x 9.69 x 2.91 in","1.57 lb","https://www.amazon.com/dp/B09W42G796"
"wall mount shoe rack","","B0BX91V3NX","RONGJIA 5-Tier Natural Bamboo Shoe Rack - Stackable Storage Shelf with Multi-Function Combinations - Free Standing Shoe Racks for Convenient Shoe OrganizationNatural 11' D x 27' W x 35' H","RONGJIA","$41.99","4,325","193","$181,607","03/01/2023","","4.3","1,266","","3,227","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BX91V3NX"
"Average Monthly Sales: 1,695","","B09BBCT5Y1","RahTune Shoe Shelves, Floating Sneaker Display, Acrylic Wall Shoe Rack, Show Shelf, Shoe Organizer Holder Wall Mount for Sneaker Collection, Shoe Box","RahTune","$18.99","65","1","$1,234","07/26/2021","$11.00","4.1","241","$7.99","562,761","7","FBA","1","Home & Kitchen","Standard","8.23 x 9.88 x 2.72 in","1.479 lb","https://www.amazon.com/dp/B09BBCT5Y1"
"Average Revenue: $37,458","","B0CJ2HSM8W","ZEW Rattan Bamboo Stackable 3-Tier Shoe Rack Organizer Free Stand Self Storage for Closet Entryway Hallway Bathroom","Statra","$39.44","","","$0.00","09/13/2023","","4.5","2","","1,583,568","6","AMZ","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ2HSM8W"
"Average Price: $36.44","","B0CHNR7GRS","PrimZooty Wall Mounted Shoe Rack 6Pack, with Sticky Hanging Strips, Metal Wall Shoe Storage, Hanging Shoe Organizer for Wall/RV/Door","PrimZooty","$24.99","360","12","$8,996","10/07/2023","","4.4","14","","75,495","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHNR7GRS"
"Average No. of Ratings: 1,198","","B0B93R8PX7","DEYILIAN Wall Shoe Rack for RV Shoe Storage, 3 Pack Wall Mounted Shoe Rack with Sticky Hanging Mounts for Camper, Small Space Door Shoe Holder for Wall Shoe Organization Shelf No Drilling","DEYILIAN","$25.99","634","19","$16,478","08/07/2022","","4","297","","48,782","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B93R8PX7"
"Average Sales Rank: 303,620","","B08RP7ZWFS","Yocice Wall Mounted Shoes Rack 6Pack with Sticky Hanging Strips, Plastic Shoes Holder Storage Organizer,Door Shoe Hangers (SM03-White-6)","Yocice","$25.99","640","24","$16,634","12/29/2020","$16.95","4.4","1,241","$9.04","39,196","6","FBA","1","Home & Kitchen","Standard","8.661 x 10.079 x 2.953 in","1.521 lb","https://www.amazon.com/dp/B08RP7ZWFS"
"Average Rating Number: 4.4","","B0CJDSDR2T","Wall Mounted Shoe Rack w/ Removable Labels & Marker- Sturdy Mounted Shoe Storage- Adults/Kids Wall Shoe Rack for Wall Mount Shoe Storage- RV/Space Saver Wall Mount Shoe Rack- Shoe Rack Wall Mount","Fearlessly Simple","$18.98","148","8","$2,809","09/19/2023","","4.7","21","","115,421","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJDSDR2T"
"","","B0CK59GY3N","SINKHANUN Boot Rack Shoe Organizer - Stainless Steel Boot Organizer Boots Stand for Tall Boots, Rain Boot for Outdoor, Entryway, Closet Floor","SINKHANUN","$29.99","346","18","$10,377","09/28/2023","$5.91","4.3","11","$24.08","52,470","6","FBA","1","Home & Kitchen","Oversize","23.5 x 17.9 x 9.5 in","4.38 lb","https://www.amazon.com/dp/B0CK59GY3N"
"","","B09L4P7VSM","Garden 4 you 4-Tiers Shoe Storage Freestanding Organizer Modern 25.2 in Tilting Adjustable Shoe Rack for High Heels, Entryways, Hallways, Closets, Dormitory Rooms, Industrial, Brown","Garden 4 you","$44.99","1,458","38","$65,595","11/04/2021","$27.02","4.6","1,117","$17.97","23,928","6","FBA","1","Home & Kitchen","Oversize","13 x 2.5 x 28 in","7 lb","https://www.amazon.com/dp/B09L4P7VSM"
"","","B0B3DBYLH9","pickpiff Free Standing Shoe Racks - Black Metal Boot Rack, Shoe Organizer for Dorm Room, Closet, Entryway, Bedroom, Patio Outdoor, Hallway, Black Shoe Rack Organizer, Shoe Storage Fit for 4 Pairs","pickpiff","$24.99","2,602","87","$65,024","06/06/2022","$15.45","4.1","604","$9.54","9,457","7","FBA","1","Home & Kitchen","Standard","13.5 x 17.17 x 1.46 in","2.56 lb","https://www.amazon.com/dp/B0B3DBYLH9"
"","","B09BP3BJXQ","Whitmor 36 Pair Door Shoe Organizer, White","Whitmor","$38.67","6,430","148","$248,648","08/01/2021","$15.57","4.4","2,720","$23.10","4,702","5","AMZ","11","Home & Kitchen","Oversize","9.5 x 9 x 24 in","22.8 lb","https://www.amazon.com/dp/B09BP3BJXQ"
"","","B0BHVBXQTH","Wall Mounted Shoe Rack - Wooden Entryway Shoe Rack - Hallway Stylish Shoe Rack Wall Mounted - Minimal Design Narrow Shoe Rack for entryway to Keep Any Shoes Off The Floor (Pine, 30 in. Wide)","PeachyModern","$47.99","168","6","$8,062","10/10/2022","","4.3","65","","144,867","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BHVBXQTH"
"","","B076463FV6","MyGift Wall Mounted Black Metal Shoe Organizer Rack, Boots, Slippers, Sneakers Hanging Vertical Heavy Duty Rack, Holds 18 Pairs of Shoes","MyGift","$109.99","75","2","$8,249","10/02/2017","$77.71","4.4","392","$32.28","376,964","6","FBA","1","Home & Kitchen","Oversize","28.1 x 3.1 x 29.3 in","11.7 lb","https://www.amazon.com/dp/B076463FV6"
"","","B0CFFF3BKD","aboxoo Hall Tree with Storage Bench, Coat Rack, 2-Tier Shelves, Fabric Storage Basket, 10 Hooks, Industrial 5 in 1 Large Organizer, Wood Look Accent Furniture-Sturdy Metal Frame (Rustic Brown)","aboxoo","$75.99","53","1","$4,027","08/10/2023","$-38.95","4.2","6","$114.94","470,711","7","FBA","1","Home & Kitchen","Oversize","71.5 x 12 x 33 in","29.1 lb","https://www.amazon.com/dp/B0CFFF3BKD"
