"Export time:  2/4/2024, 11:43:34 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CN9LWKWP","Vikaqi Wall Mounted Laundry Drying Rack, Foldable Wall Octopus Clothes Drying Rack Folding Indoor, Towel Drying Rack Collapsible, Space Saving Drying Rack Clothing with 7 Hanging Rods","Vikaqi","$39.99","330","11","$13,197","01/02/2024","","4.6","40","","81,343","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CN9LWKWP"
"wall mounted drying rack","","B0CKP19F5X","Vikaqi Clothes Drying Rack Wall Mounted, 32' Drying Rack Clothing Retractable, Laundry Drying Rack Space Saving, Collapsible Drying Racks for Laundry Folding Indoor Outdoor, 5 Rods, White","Vikaqi","$49.99","300","10","$14,997","12/17/2023","","4.5","4","","93,859","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKP19F5X"
"Average Monthly Sales: 642","","B09XXD18G9","NEWRAIN Clothes Drying Rack, Laundry Racks for Drying Clothes, Wall Mounted Swing Arm Clothes Hanger for Laundry Room, Garage, Indoor & Outdoor Use,Black","NEWRAIN","$34.99","415","15","$14,521","05/28/2020","$24.60","4.8","16","$10.39","62,905","7","FBA","1","Home & Kitchen","Standard","9.33 x 2.05 x 13.86 in","1.87 lb","https://www.amazon.com/dp/B09XXD18G9"
"Average Revenue: $27,398","","B09NCCM3XM","Pennsylvania Woodworks Wall Mounted Clothes Drying Rack - Heavy Duty, Collapsible Laundry Rack for Drying Clothes - Solid Maple Hardwood Foldable Drying Rack - Made in The USA - (Small)","Pennsylvania Woodworks","$52.99","100","1","$5,299","12/08/2021","","4.5","79","","445,891","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B09NCCM3XM"
"Average Price: $45.53","","B0882WSX8Y","Step Up Laundry Drying Rack (28-INCH White), Wall Mounted, Retractable Clothes Drying Rack, 40lbs Capacity, 11.6 Linear Ft, with Wall Template and Long Screwdriver Bit","Step Up","$64.90","3,755","156","$243,700","05/22/2019","$44.33","4.5","1,395","$20.58","4,367","6","FBA","3","Home & Kitchen","Oversize","4.5 x 29.1 x 1.4 in","5.8 lb","https://www.amazon.com/dp/B0882WSX8Y"
"Average No. of Ratings: 785","","B0CJ3DBD5T","Laundry Drying Rack Collapsible, Wall Mounted, Clothes Drying Rack, 31.5' Wide, 13.2 Linear Ft, 5 Aluminum Rods, 60 lb Capacity, Laundry Racks for Drying Clothes with Wall Template(White 31.5' Medium)","ZMBESUP","$59.99","1,124","32","$67,429","09/13/2023","","4.6","14","","28,907","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ3DBD5T"
"Average Sales Rank: 187,673","","B0CCM3VFKM","kenvc Laundry Drying Rack Collapsible: Wall Mounted Clothes Drying Rack - 31.4' Wide 13.2 Linear Ft 5 Aluminum Rods40 lb Capacity with Wall Template Screwdriver Bit Drill Bit","kenvc","$49.99","1,356","78","$67,786","07/22/2023","","4.4","101","","10,744","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCM3VFKM"
"Average Rating Number: 4.5","","B0CKYLSF8M","Vikaqi Wall Mounted Clothes Drying Rack, Foldable Wall Mount Laundry Drying Rack Folding Indoor, Drying Rack Clothing Collapsible, Retractable Towel Rack, Space Saver with 7 Drying Rods, Black","Vikaqi","$52.99","330","11","$17,487","","","4.6","40","","81,343","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKYLSF8M"
"","","B0CBKVR53G","CHAHUANV Wall Mounted Clothes Drying Rack,Laundry Drying Rack Wall Mount,Laundry Clothes Hanger,Drying Rack Clothing,Retractable Laundry Rack for Hanging Clothes,Collapsible,Foldable,Black-Hooks","CHAHUANV","$39.99","406","18","$16,236","04/05/2023","","4.6","63","","53,330","","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBKVR53G"
"","","B0B3R54YJB","LIENAHU Aluminum Clothes Drying Rack,Laundry Drying Rack,Wall Mounted Clothes Hanger,Laundry Rack Folding,Retractable,Collapsible Clothes Hanging Rack(Hooks,Black)","LIENAHU","$39.95","1,220","36","$48,739","06/09/2022","$28.17","4.5","313","$11.78","25,735","6","FBA","1","Home & Kitchen","Standard","4.9 x 3.35 x 14.5 in","2.6 lb","https://www.amazon.com/dp/B0B3R54YJB"
"","","B0B1Q2J1YG","Wall Mounted Clothes Hanger Rack, Retractable Clothes Drying Rack Folding Indoor, Laundry Drying Rack, Space Saver Clothes Rack,Collapsible(Tri-Fold),with 18 J-Hooks Laundry Rack Black","Dr.DJ","$33.99","219","6","$7,444","05/18/2022","$23.10","4.6","52","$10.89","135,901","7","FBA","1","Home & Kitchen","Standard","3.5 x 14.5 x 3.3 in","2.4 lb","https://www.amazon.com/dp/B0B1Q2J1YG"
