"Export time:  2/13/2024, 12:30:59 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0882WSX8Y","Step Up Laundry Drying Rack (28-INCH White), Wall Mounted, Retractable Clothes Drying Rack, 40lbs Capacity, 11.6 Linear Ft, with Wall Template and Long Screwdriver Bit","Step Up","$64.90","4,100","102","$266,090","05/22/2019","$44.33","4.5","1,398","$20.58","7,689","6","FBA","5","Home & Kitchen","Oversize","4.5 x 29.1 x 1.4 in","5.8 lb","https://www.amazon.com/dp/B0882WSX8Y"
"wall mounted drying rack","","B0CJ3DBD5T","Laundry Drying Rack Collapsible, Wall Mounted, Clothes Drying Rack, 31.5' Wide, 13.2 Linear Ft, 5 Aluminum Rods, 60 lb Capacity, Laundry Racks for Drying Clothes with Wall Template(White 31.5' Medium)","ZMBESUP","$59.99","1,237","43","$74,208","09/13/2023","","4.6","14","","21,285","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ3DBD5T"
"Average Monthly Sales: 727","","B0BMCPQJS3","Honey-Can-Do Wall-Mounted Swivel Clothes Drying Rack DRY-09386 Natural","Honey-Can-Do","$42.92","746","24","$32,018","12/15/2022","","4.7","33","","39,026","6","AMZ","7","Home & Kitchen","","","","https://www.amazon.com/dp/B0BMCPQJS3"
"Average Revenue: $31,805","","B07Z5V7D5L","X-cosrack Wall Mount Clothes Drying Rack, Rustproof Accordion Retractable Drying Rack for Laundry Room/Bathroom Tower, 8 Bar Space-Saving Aluminium Alloys Garment Hanger 16.8 Linear Feet Pearl Silver","X-cosrack","$49.99","304","10","$15,197","10/15/2019","$30.51","4.7","483","$19.48","92,226","6","FBA","3","Home & Kitchen","Oversize","9 x 26 x 4.8 in","4.299 lb","https://www.amazon.com/dp/B07Z5V7D5L"
"Average Price: $47.43","","B0B66FN4H9","JOOM Laundry Drying Rack Wall Mounted Clothes Drying Rack Clothes Hanger White","JOOM","$9.98","685","27","$6,836","07/09/2022","","4.7","203","","34,993","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B66FN4H9"
"Average No. of Ratings: 875","","B0CC262KLD","FKUO Clothes Drying Rack Wall Mounted Clothes Hanger Rack, Collapsible Laundry Metals Drying Rack, Towel Rack Space Saver (Black)","FKUO","$12.99","180","6","$2,338","07/16/2023","","4.3","22","","156,430","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CC262KLD"
"Average Sales Rank: 131,187","","B0B3R54YJB","LIENAHU Aluminum Clothes Drying Rack,Laundry Drying Rack,Wall Mounted Clothes Hanger,Laundry Rack Folding,Retractable,Collapsible Clothes Hanging Rack(Hooks,Black)","LIENAHU","$39.95","1,234","28","$49,298","06/09/2022","$28.17","4.5","324","$11.78","33,405","6","FBA","1","Home & Kitchen","Standard","4.9 x 3.35 x 14.5 in","2.6 lb","https://www.amazon.com/dp/B0B3R54YJB"
"Average Rating Number: 4.5","","B0CCM3VFKM","kenvc Laundry Drying Rack Collapsible: Wall Mounted Clothes Drying Rack - 31.4' Wide 13.2 Linear Ft 5 Aluminum Rods40 lb Capacity with Wall Template Screwdriver Bit Drill Bit","kenvc","$49.99","1,631","55","$81,534","07/22/2023","","4.4","110","","16,104","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCM3VFKM"
"","","B0BZX1KPXL","Bartnelli Wall Mounted Clothes Drying Rack for Laundry | Collapsible Clothing Racks for Indoor and Outdoor Use | Patented Foldable Design for Space-Saving Efficiency (28 White)","Bartnelli","$59.99","293","7","$17,577","03/28/2023","","4.6","724","","127,947","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZX1KPXL"
"","","B075MSR8ZY","Whitmor MDF, Wood, Steel Wall Mounted Drying Rack for Storage, White","Whitmor","$49.99","226","8","$11,298","01/17/2018","$26.71","4.4","640","$23.28","113,614","5","AMZ","9","Home & Kitchen","Oversize","24.5 x 29 x 3.6 in","14.251 lb","https://www.amazon.com/dp/B075MSR8ZY"
"","","B0C9X9RD5Q","Laundry Drying Rack Collapsible, Wall Mounted Drying Rack, Clothes Drying Rack, Retractable Drying Rack, 31.5' Wide, 13.2 Linear Ft, 5 Aluminum Rods, 60 lb Capacity (White 31.5') Medium","MrToNo","$59.99","1,232","27","$73,908","08/19/2023","","4.1","60","","34,343","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9X9RD5Q"
"","","B0CDPTZ32S","Wall Mounted Drying Rack, 31.5' Wide, 13.2 Linear Ft, 100% Aluminum Rods Space Saving Clothes Drying Rack with Wall Template for Indoor & Outdoor Organization, 60 lb Capacity (White 31.5' Medium)","Muibe","$52.90","635","16","$33,592","08/03/2023","","4.5","66","","58,603","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDPTZ32S"
"","","B0C1YY6MP6","Wall Mounted Clothes Drying Rack For Laundry Room Organization, Folding and Collapsible Indoor Laundry Hanger Dryer Rack, Sturdy Foldable Hanging Organizer for Clothing, Black, Steel, 220 Lb Rating","MODERNOIKOS","$29.99","614","41","$18,414","04/09/2023","","4.5","120","","22,129","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1YY6MP6"
"","","B08F812J5C","Smartsome | Wall Mounted | Clothes Drying Rack| 22' Wide |15 Linear Feet Capacity | 8 Smooth Round Stainless Steel Rods | 60 lb Capacity | Fully Assembled | Compact Sturdy Space-Saving Design","Smartsome","$64.99","540","18","$35,095","08/03/2020","$43.04","4.7","1,237","$21.95","52,751","7","FBA","1","Home & Kitchen","Oversize","22.5 x 22.5 x 1.5 in","6.1 lb","https://www.amazon.com/dp/B08F812J5C"
"","","B07FFCPQ1G","Smartsome Space Saver Fold Away Racks: Stainless Steel Wall Mounted Laundry Drying Rack, Easy To Install - 8 34' Rods, Total: 22.5 Linear Ft, 60 lb Capacity- Indoor and Outdoor Use","Smartsome","$67.99","429","13","$29,168","07/10/2018","$44.67","4.6","903","$23.32","71,399","6","FBA","30","Home & Kitchen","Oversize","9 x 34.8 x 5.1 in","7.35 lb","https://www.amazon.com/dp/B07FFCPQ1G"
"","","B00LB6ET36","Honey-Can-Do DRY-04445 Large Wall-Mounted Drying Rack, White","Honey-Can-Do","$67.99","702","17","$47,729","01/29/2015","$41.22","4.5","998","$26.77","53,594","5","AMZ","9","Home & Kitchen","Oversize","25.1 x 45.2 x 3.6 in","16.301 lb","https://www.amazon.com/dp/B00LB6ET36"
"","","B000JG1KPY","Leifheit 83201 Telefix 70 Wall Mount Retractable Clothes Drying Rack | 5 Drying Rods | White","Leifheit","$26.57","186","7","$4,942","07/27/2010","$12.88","4.5","6,998","$13.69","126,873","6","AMZ","5","Home & Kitchen","Oversize","4.5 x 29.99 x 2.5 in","2.35 lb","https://www.amazon.com/dp/B000JG1KPY"
"","","B09PH4G746","Alise Swivel Towel Rack,Folding 6 Arms Hand Towel Bars Towel Hanger for Bathroom,Wall Mount Drying Racks for Laundry,SUS304 Stainless Steel Swing Out Towel Holder Storage Space Saving,Matte Black","Alise","$33.99","270","6","$9,177","11/29/2018","$22.46","4.6","293","$11.53","58,011","6","FBA","1","Tools & Home Improvement","Standard","13.3 x 15.43 x 2.2 in","2.359 lb","https://www.amazon.com/dp/B09PH4G746"
"","","B0CLVQPD8R","Laundry Drying Rack Collapsible, Wall Mounted, Clothes Drying Rack, 31.5' Wide, 13.2 Linear Ft, 5 Aluminum Rods, 60 lb Capacity, Laundry Racks for Drying Clothes with Wall Template","Washlion","$39.99","167","7","$6,678","10/25/2023","","4.4","4","","132,214","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CLVQPD8R"
"","","B0CDPQVXKY","Wall Mounted Drying Rack 31.5', 5 Aluminum Poles, 40 lb. Load Capacity, Foldable, Retractable, Space Saving Clothes Drying Rack (31.5' White)","Muibe","$49.99","135","2","$6,749","08/03/2023","","4.4","21","","352,548","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDPQVXKY"
"","","B07XXSMH8C","Accordion Wall Mounted Drying Rack Stainless Steel Clothes Retractable Folding Accordian Wall Hanger Hanging Towel Holder 60lb Capacity for Laundry Bathroom","MaiHongda","$29.99","196","6","$5,878","09/14/2019","$19.70","4.3","405","$10.29","136,037","7","FBA","4","Home & Kitchen","Standard","5 x 17 x 1.6 in","2.82 lb","https://www.amazon.com/dp/B07XXSMH8C"
"","","B09QXW5SNT","mDesign Steel Wall Mount Accordion Expandable Retractable Clothes Air Drying Rack - 8 Bars for Hanging Garments - Mounted Organizer for Laundry/Utility Room, Bathroom, Garage, Bardo Collection, Black","mDesign","$40.99","127","3","$5,206","01/20/2022","$24.38","4.5","88","$16.61","276,218","7","FBA","1","Home & Kitchen","Oversize","5 x 23.5 x 3.5 in","4.55 lb","https://www.amazon.com/dp/B09QXW5SNT"
"","","B00R3FTS4O","Honey-Can-Do DRY-04446 Small Wall-Mounted Drying Rack, White","Honey-Can-Do","$39.47","114","3","$4,500","11/27/2020","$17.39","4.6","1,050","$22.08","257,467","5","AMZ","5","Home & Kitchen","Oversize","24.88 x 30.5 x 3.5 in","12.401 lb","https://www.amazon.com/dp/B00R3FTS4O"
"","","B0CCP5V8Q4","Vikaqi Wall Mounted Clothes Drying Rack, Foldable Wall Mount Laundry Drying Rack Folding Indoor, Drying Rack Clothing Collapsible, Towel Drying Rack with Wall Template, 5 Rods, 32', White","Vikaqi","$55.99","1,286","41","$72,003","09/08/2023","","4.3","95","","22,330","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCP5V8Q4"
"","","B095JXJ6ZK","AUROPEAK Clothes Drying Rack Wall Mounted, Laundry Drying Rack Clothing, Drying Racks for Laundry with Swivel Towel Arms and Hanging Hooks, Space Organization for Laundry Room, Bathroom, Aluminum","AUROPEAK","$45.99","191","3","$8,784","05/20/2021","$32.06","4.4","93","$13.93","267,128","7","FBA","1","Home & Kitchen","Standard","12.638 x 16.575 x 3.347 in","3.874 lb","https://www.amazon.com/dp/B095JXJ6ZK"
"","","B0B4VGLT18","BATODA Laundry Clothes Drying Rack - Wall-Mounted Steel Laundry Clothes Organizer - Dryer Racks for Laundry Drying - Swivel Towel Hanger for Laundry Room - Space Saver in Bathroom (Steel)","BATODA","$39.98","216","5","$8,636","06/22/2022","","4.4","47","","178,414","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B4VGLT18"
"","","B091L66V5C","BOQORAD Wall Mounted Clothes Hanger Rack, Retractable Clothes Drying Rack,Space-Saver, Laundry Drying Rack,Collapsible, for Laundry,Balcony, Mudroom, Bedroom,Dark Grey Color,sh-02","BOQORAD","$39.98","2,588","83","$103,468","03/28/2021","$28.19","4.5","1,378","$11.79","9,990","6","FBA","6","Home & Kitchen","Standard","4 x 15.4 x 4 in","2.1 lb","https://www.amazon.com/dp/B091L66V5C"
"","","B0B3HQS23Z","dancrul Wall Mounted Drying Rack Clothing Foldable for Laundry Room, Clothes Drying Rack Folding Indoor, Matte Black 2 Packs","dancrul","$18.99","558","22","$10,596","08/06/2022","","4.7","451","","42,031","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B3HQS23Z"
