"Export time:  1/30/2024, 5:18:07 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07W5KGQ6R","SONGMICS Storage Basket with Lid, 17.2 Gallon (65L) Storage Bin, Woven Blanket Storage Basket with Handles, Foldable, Removable Liner, Metal Frame, for Bedroom, Laundry Room, Brown URST56BR","SONGMICS","$55.99","2,019","60","$113,044","11/25/2019","$34.85","4.6","2,336","$21.14","14,607","6","FBA","2","Home & Kitchen","Oversize","15 x 24 x 4 in","6.151 lb","https://www.amazon.com/dp/B07W5KGQ6R"
"wicker storage basket with lid","","B08JQKFK5V","Homepeaz Set of 3 Woven Storage Basket Bin Wicker Hamper Stackable Box with Lid & Lock, Container Tote Cube Organizer for Nursery, Baby Toiletry, Diaper, Toys, Home Closet, Laundry, DVD, Book (Grey)","Homepeaz","$37.99","626","18","$23,782","09/15/2020","$24.06","4.5","1,444","$13.93","6,321","7","FBA","1","Baby","Standard","11.5 x 14.5 x 8 in","4.2 lb","https://www.amazon.com/dp/B08JQKFK5V"
"Average Monthly Sales: 813","","B01LL1C92I","StorageWorks Storage Box with Lid, Foldable Clothes Closet Organizer, Mixing of Beige, White & Ivory, Bamboo Style, Extra Large, 58.7L Huge Capacity","StorageWorks","$29.99","1,358","33","$40,726","09/03/2016","$18.76","4.7","1,259","$11.23","27,973","6","FBA","1","Home & Kitchen","Standard","12.4 x 17.4 x 2.2 in","4.7 lb","https://www.amazon.com/dp/B01LL1C92I"
"Average Revenue: $31,391","","B06XHJXN8N","StorageWorks Storage Bins with Lids, Decorative Storage Boxes with Lids and Soft Rope Handles, Mixing of Beige, White & Ivory, Large, 3-Pack","StorageWorks","$37.99","1,468","46","$55,769","06/09/2017","$24.36","4.7","4,904","$13.63","19,792","6","FBA","3","Home & Kitchen","Standard","10.25 x 8 x 14.75 in","4 lb","https://www.amazon.com/dp/B06XHJXN8N"
"Average Price: $41.18","","B0BZXTF3TC","StorageWorks Water Hyacinth Wicker Baskets for Organizing, Large Wicker Basket with Lid, Decorative Basket with Built-in Handles, Storage Baskets for Shelves, 1 Pack","StorageWorks","$38.99","695","17","$27,098","06/20/2023","$25.21","4.5","193","$13.78","56,329","6","FBA","1","Home & Kitchen","Standard","11 x 7 x 15 in","2.21 lb","https://www.amazon.com/dp/B0BZXTF3TC"
"Average No. of Ratings: 742","","B0C9ZYSWYG","OEHID Wicker Storage Baskets with Lid, Hand-Woven Rectangular Wicker Basket with Lid for Bedroom & Living Room, Nesting Rattan Basket with Lid for Shelves (Water Hyacinth, 3-Pack)","OEHID","$46.99","180","6","$8,458","07/02/2023","","4.9","19","","135,131","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9ZYSWYG"
"Average Sales Rank: 210,041","","B0C22WJ9ZX","SONGMICS Storage Basket with Lid, 27.7 Gallon (105L) Storage Bin, Woven Blanket Storage Basket with Handles, Foldable, Removable Liner, Metal Frame, for Bedroom, Laundry Room, Brown URST066K01","SONGMICS","$63.99","2,069","60","$132,395","12/02/2019","","4.6","2,336","","14,607","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C22WJ9ZX"
"Average Rating Number: 4.5","","B093HKQ7JT","Ruosuruosu Decorative Wicker Storage Bins with Lids,Woven Seagrass Storage Baskets for Kids Toys,Shelves, Bathroom, Bedroom,Set of 3 Stackable Storage Boxes Large, Medium, Small","Ruosuruosu","$35.99","210","7","$7,558","04/25/2021","$22.96","4.5","260","$13.03","133,095","6","FBA","1","Home & Kitchen","Standard","9.764 x 14.646 x 7.362 in","2.438 lb","https://www.amazon.com/dp/B093HKQ7JT"
"","","B09CYNHF65","Greenstell Storage Basket with Lid, Handwoven Large Shelf Basket with Cotton Liner and Metal Frame, Foldable & Easy to Install, Laundry Room 65L (Natural, 22.2x13.4x13.4 inch)","GREENSTELL","$45.99","547","17","$25,157","11/25/2021","$6.21","4.6","706","$39.78","54,444","7","FBA","1","Home & Kitchen","Oversize","13.39 x 22.24 x 13.39 in","3.35 kg","https://www.amazon.com/dp/B09CYNHF65"
"","","B0C9J3D6V4","StorageWorks Wicker Storage Basket with Lid, 65L Square Wicker Baskets with lids and Removable Liner, Wicker Storage Trunk, Wicker Basket with Lid for Bedroom, Closet, Bathroom - Natural Tan","StorageWorks","$39.99","365","15","$14,596","09/11/2023","$1.49","4.3","116","$38.50","61,869","6","FBA","3","Home & Kitchen","Oversize","13.5 x 13.5 x 21.75 in","2.86 kg","https://www.amazon.com/dp/B0C9J3D6V4"
"","","B0CFQYGM6K","RT&BS Wicker Storage Basket with Lid, Handwoven Storage Basket Box - Organizer for Toys Books Fruits Stationery (M, 12.6 * 8.66 * 7.09'')","RT&BS","$26.99","","","$0.00","08/14/2023","$17.80","4","1","$9.19","845,149","7","FBA","1","Home & Kitchen","Standard","8.66 x 7.09 x 12.6 in","730 g","https://www.amazon.com/dp/B0CFQYGM6K"
"","","B08PV4PFRB","Honygebia Bamboo Decorative Storage Boxes - Set of 3 Woven Lined Storage Basket with Lids, Beige Wicker Lidded Baskets for Home Kitchen Shelf Organizer Decor","Honygebia","$36.90","289","9","$10,664","12/06/2020","$24.34","4.5","696","$12.56","100,343","6","FBA","2","Home & Kitchen","Standard","10 x 6 x 13 in","3.5 lb","https://www.amazon.com/dp/B08PV4PFRB"
"","","B0CDSJHR2Y","Homepeaz Wicker Storage Baskets with Lids, Set of 3 Decorative Storage Boxes, Woven Baskets with Lock & Handle, Closet Storage and Organizer, Nesting Storage Bins for DVD Makeup Bathroom Decor, Beige","Homepeaz","$39.99","87","4","$3,479","08/04/2023","","4.7","13","","20,218","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0CDSJHR2Y"
