"Export time:  2/1/2024, 11:07:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CS9TK7G5","New Toys for Women, Quiet 10 Speed Adult Toys Waterproof, Best for Electric Remote Control Adult Toys, Rechargeable.Waterproof USB Fast Charge,Dual Motor,","Generic","$28.99","225","7","$6,523","01/12/2024","$20.87","","","$8.12","71,301","7","FBA","2","Health & Household","Standard","4.33 x 1.57 x 5.51 in","7.41 oz","https://www.amazon.com/dp/B0CS9TK7G5"
"womens vibrator","","B0CR96F2D4","Travel Pocket Quiet Bullet Tool - Powerful Remote Control Silicone Massage Rod for Women Pleasure Portable & Handheld Personal Bullet Tool for Quick Relaxation Z2","Generic","$26.99","425","9","$11,471","12/05/2023","$18.05","5","4","$8.94","60,034","6","FBM","2","Health & Household","Standard","3.11 x 1.46 x 5.12 in","1.76 oz","https://www.amazon.com/dp/B0CR96F2D4"
"Average Monthly Sales: 189","","B0CSSWZPBY","Handheld Personal Massage Rod for Women Portable Silicone Massage Ball for Body Relax, Fast Delivery 10 Modes Powerful Massage Rod Portable Silicone Massage /698","Generic","$36.99","60","2","$2,219","01/18/2024","","","","","186,870","6","FBM","1","Health & Household","","","","https://www.amazon.com/dp/B0CSSWZPBY"
"Average Revenue: $5,204","","B0CQJZCK8Y","New Toys for Women, Quiet 8 Speed Adult Toys Waterproof Most USB Rechargeable Waterproof Soft for Electric Adult Toys,Dual Motor, Waterproof","Generic","$29.28","30","1","$878.40","12/17/2023","$21.12","","","$8.16","237,059","7","FBA","1","Health & Household","Standard","4.33 x 1.57 x 5.51 in","7.41 oz","https://www.amazon.com/dp/B0CQJZCK8Y"
"Average Price: $30.06","","B0CP26B6XF","Wearable Vibrator with Strong Clip with App Remote Control Vibrator Panties G Spot Invisible Vibrators Massager Adult Sex Toys Gifts for Women Rechargeable","SAMULE","$33.99","","","","11/26/2023","$25.67","","","$8.32","86","6","FBA","1","Clitoral Vibrators","Standard","1 x 0.1 x 1 in","1.6 oz","https://www.amazon.com/dp/B0CP26B6XF"
"Average No. of Ratings: 18","","B0CSYJJPZJ","2024 New Christmas Sex Relaxing Toys Dual Motor Mini Rose Toy for Women Pleasure Gifts Waterproof Sexual, Washable and Rechargeable Toys for Woman, Licking 10 Mode Massage 10-571","Generic","$34.99","","","","01/21/2024","","","","","293","6","FBM","1","Realistic Vibrators","","","","https://www.amazon.com/dp/B0CSYJJPZJ"
"Average Sales Rank: 134,627","","B0CN9KDBNC","bosnae Massage 7 Powerful Gifts for Women Active Fun Machine - Female Adult Gift for Women Insert Tools, Soft and Realistic Thrusting Sensual Toys","bosnae","$36.99","180","6","$6,658","11/13/2023","$26.30","","","$10.69","80,271","6","FBA","1","Health & Household","Standard","4.33 x 2.64 x 8.66 in","1.14 lb","https://www.amazon.com/dp/B0CN9KDBNC"
"Average Rating Number: 4.2","","B0CST24QDJ","2024 New Roses Toy Shape Sucker for Women Toy Sex Tongues Quiet 10 Speed Adult Toys Waterproof L-34","Generic","$18.99","","","","01/19/2024","","","","","33","6","FBM","1","Sex Games","","","","https://www.amazon.com/dp/B0CST24QDJ"
"","","B0CP9DLDHZ","Fuirre 2023 New Cordless Double-Ended Available Relaxation Tool Handheld Portable Wireless Travel Home Office Work Sports Silicone Personal Use to Relieve Deep Tissue Muscle Pain and Fatigue,Red+Black","Fuirre","$29.95","450","15","$13,478","12/25/2023","","3.7","69","","42,477","","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CP9DLDHZ"
"","","B0CST3SNN6","2024 Newly Mini Stimulator for Women Waterproof Quiet Adult Toys 10 Speeds Suction Christmas Holiday Gift for Women Gift for Wedding Party D-36","Generic","$18.99","","","","01/19/2024","","","","","5,024","6","FBM","1","Sexual Wellness Products","","","","https://www.amazon.com/dp/B0CST3SNN6"
"","","B0CQ4XLSGW","2024 Christmas Gifts Toys for Women, Quiet 30 Speed Adult Toys Waterproof Automatic Electric Adult Toys Machine Pleasure Gifts Realistic Soft Silicone Base, Dual Motor USB Fast Charge Waterproof","Generic","$35.99","60","1","$2,159","12/12/2023","$26.82","","","$9.17","208,702","6","FBA","2","Health & Household","Standard","2.2 x 1.57 x 8.66 in","7.41 oz","https://www.amazon.com/dp/B0CQ4XLSGW"
"","","B0CP99H368","Massage Yoga Toys for Women Portable New Gifts Fun Women Toys Most Pleasure Machine Woman Cheap Men Toy Valentines Soft Sensory Accessories Machine Tool Machine","BFBHF","$26.99","264","5","$7,125","11/30/2023","$19.40","","","$7.59","90,672","6","FBA","2","Health & Household","Standard","2 x 1 x 9 in","1.06 oz","https://www.amazon.com/dp/B0CP99H368"
"","","B0CSWK4YPJ","New 2023 Upgrade Women Toy Sex Quiet 10 Speed Adult Toys Automatic Electric Adult Toys Machine Pleasure Fast Charge Waterproof C-99","Generic","$18.99","","","","01/19/2024","","","","","78","6","FBM","1","Sex Toys - Machines & Devices","","","","https://www.amazon.com/dp/B0CSWK4YPJ"
"","","B0CN58RYVG","Women G-Spot Large Tongue Vibrator Toy for Woman-Clitoral with APP & Remote Control Waterproof for Adult Sex Toys Gifts Hand held Personal Massager","KGLLIFE","$35.99","","","","12/28/2023","","","","","456","","FBA","2","Clitoral Vibrators","","","","https://www.amazon.com/dp/B0CN58RYVG"
"","","B0CL9P3M57","2024 Silent Toys for Women Relaxing 10 Speed Adult Toys Waterproof Automatic Electric Sensory Accessories Toys Machine Pleasure Gifts,Pain Relief002","Generic","$28.99","110","4","$3,189","10/17/2023","$20.87","","","$8.12","101,474","6","FBA","1","Health & Household","Standard","2.56 x 1.93 x 9.69 in","9.14 oz","https://www.amazon.com/dp/B0CL9P3M57"
"","","B0CQV8SDD8","New Thrusting Sexual Machine for Women Pleasure Quiet 10 Modes Suction Washable Adult Toy Christmas Gift for Women 9","Generic","$32.99","","","","12/22/2023","","","","","","6","FBM","1","","","","","https://www.amazon.com/dp/B0CQV8SDD8"
"","","B0CT8PGDL6","2024 Christmas Gift Pleasure Adult Toys Women Sexual - Rabbit Most Pleasure Machine Woman Funny Gifts Realistic Sensory for Thrusting Machine Tool Wellness Set B1414+7","Generic","$29.99","","","","01/24/2024","","","","","","6","FBM","1","","","","","https://www.amazon.com/dp/B0CT8PGDL6"
"","","B0CSWK68TC","Travel Finger Vibrators - Waterproof Small Massage Toy Mini VibratoQuite Soft Silicone Finger Massage A-96","Generic","$18.99","","","","01/19/2024","","","","","202","6","FBM","1","Finger Vibrators","","","","https://www.amazon.com/dp/B0CSWK68TC"
"","","B0CN8L5L1T","Waterproof Massage Yoga Toys for Women Portable New Gifts Fun Women Toys Most Pleasure Machine Woman Cheap Men Toy Valentines Soft Sensory Accessories Thrusting Machine Tool Machine","MEMIDARA","$35.99","30","2","$1,080","11/13/2023","$26.07","","","$9.92","184,657","6","FBA","1","Health & Household","Standard","3.9 x 3.1 x 8.6 in","15.2 oz","https://www.amazon.com/dp/B0CN8L5L1T"
"","","B0CRDR1YZZ","JKAS Back Massage Yoga Gifts Toys Massager for Women Portable New Fun Adult Toys Most Pleasure Toy Valentines Soft Sensory","Generic","$28.89","120","4","$3,467","01/02/2024","$21.37","","","$7.52","104,943","7","FBA","1","Health & Household","Standard","6.5 x 4.5 x 9.7 in","8.11 oz","https://www.amazon.com/dp/B0CRDR1YZZ"
