"Export time:  1/29/2024, 5:23:38 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B01767EKXC","SallyFashion 100pcs Kraft Paper Gift Tags with String, Blank Gift Bags Tags Price Tags(Brown)","SallyFashion","$4.99","6,089","200","$30,384","10/25/2015","$1.67","4.8","10,396","$3.32","4,579","6","FBA","2","Health & Household","Standard","5.06 x 0.61 x 6.48 in","3.52 oz","https://www.amazon.com/dp/B01767EKXC"
"wood name tags","","B0C6MBN4BT","Paper Tags with Wire Ties - 2 3/4' x 1 3/8' Shipping Tags, Blank 13pt Label Tags with Reinforced Eyelet, Manila Tags with Metal Wire Pack of 200","BS ONE","$21.99","88","2","$1,935","05/29/2023","$14.92","4.7","17","$7.07","95,998","6","FBA","1","Office Products","Standard","5.98 x 3.27 x 5.98 in","9.6 oz","https://www.amazon.com/dp/B0C6MBN4BT"
"Average Monthly Sales: 414","","B097N7VY55","Name Tag Blank Name Badges 1 x 3 Inch DIY Blank ID Name Badge with Pin Backing for Office Workers Students, Personalized Badges Making (50 Pieces)","TecUnite","$15.99","361","14","$5,772","06/20/2021","$9.82","4.4","301","$6.17","17,112","6","FBA","1","Office Products","Standard","8.03 x 0.83 x 8.07 in","7 oz","https://www.amazon.com/dp/B097N7VY55"
"Average Revenue: $4,643","","B016AW5LW8","Name Tag/Badge Blanks - 25 Pack - Brushed Gold 1' X 3', Round Corners, Magnetic Backing","All Quality","$29.99","728","17","$21,833","10/06/2015","$21.95","4.6","1,032","$8.04","14,458","3","FBA","1","Office Products","Standard","4.76 x 1.14 x 5.39 in","5 oz","https://www.amazon.com/dp/B016AW5LW8"
"Average Price: $16.03","","B0CCPC9HRY","Lyrow 48 Pcs Christmas Stocking Name Tags Xmas Wooden Name Tags Red Black Buffalo Plaid Wood Stocking Tags Rustic Christmas Decorative Hanging Ornaments with Beads Bows for DIY Christmas Tree Decor","Lyrow","$16.99","","","$0.00","09/28/2023","","4.7","5","","1,471,155","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCPC9HRY"
"Average No. of Ratings: 513","","B0B7J8869D","60 Pieces Christmas Wooden Tag Label Xmas Tree Ornament Christmas Rustic Wooden Tag Noel Faith Hope Love Tag Farmhouse Vintage Hanging Tag with Rope for Christmas Tree Stocking Decoration (Brown)","Bucherry","$8.99","","","","","","4.2","21","","1,023,844","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0B7J8869D"
"Average Sales Rank: 509,191","","B0BCG1M6MH","Junkin 48 Pieces Christmas Stocking Name Tags Bulk Wood DIY Stocking Signs Farmhouse Xmas Stocking Tag with Bows and Beads Christmas Ornaments for Christmas Stockings Decoration","Junkin","$12.99","","","$0.00","","","3.9","8","","1,524,640","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BCG1M6MH"
"Average Rating Number: 4.4","","B09LRVWT9M","TFoRibbon Blank Wooden Key Tag Key Chain Rectangle Wood Engraving Blanks 20 Pack","TFoRibbon","$12.89","136","8","$1,753","11/12/2021","$7.19","4.7","197","$5.70","18,268","","FBA","1","Arts, Crafts & Sewing","Standard","4.37 x 1.97 x 6.46 in","8.8 oz","https://www.amazon.com/dp/B09LRVWT9M"
"","","B0CB4V1C57","Handmade Vintage Deckle Edge Tags with String - 3.75 x 1.75 Only - Pack of 25 - Ideal for Gift Tags, Price Tags, Arts & Crafts, Place Cards, Name Cards - Thick 150 GSM","WANDERINGS","$17.99","129","4","$2,321","04/05/2023","","5","2","","54,159","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CB4V1C57"
"","","B09JS4GBH3","Christmas Wood Stocking Name Tags DIY Stocking Signs Farmhouse Christmas Stocking Tag with Buffalo Check Bows for Christmas Closet Christmas Stockings Decoration (Natural Color,6 Pieces)","Jetec","$11.95","90","3","$1,076","10/19/2021","$7.38","4.7","364","$4.57","292,848","6","FBA","1","Home & Kitchen","Standard","4.724 x 0.63 x 7.087 in","0.214 lb","https://www.amazon.com/dp/B09JS4GBH3"
"","","B09NNK5MFB","200 Pcs Kraft Paper Gift Tags with String 4.7 x 2.4 Inch Cardboard Price Tag Name Tag Vintage Wedding Hang Brown Tags with 131 ft Twine Blank Gift Tag for Art and Craft Thanksgiving Christmas","Gersoniel","$13.99","112","3","$1,567","12/14/2021","$7.37","4.8","37","$6.62","48,852","7","FBA","1","Arts, Crafts & Sewing","Standard","5.04 x 2.4 x 5.24 in","14.4 oz","https://www.amazon.com/dp/B09NNK5MFB"
