JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Tue Jan 23 2024 12:47:00 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CSNGWV9S","SKYMOON Hair Dryer  Lightweight Ionic Blow Dryer with 110 000 RPM High Speed Motor for Fast Drying  1400W Thermal-Control 4 Temps & 3 Speeds Hairdryer for Home ＆Travel  White","SKYMOON","Beauty & Personal Care","$70,714.56","544","$129.99","$24.02","$105.97","N.A.","48","7","30","12/04/2023","N.A.","5","4.45"" x 2.64"" x 10.14""","Large standard-size","13.44 lbs"
"B09XK4S6WK","SKYSPER Small Hiking Backpack  20L Lightweight Travel Backpacks Hiking Daypack for Women Men","SKYSPER","Sports & Outdoors","$13,600.42","358","$37.99","$12.13","$25.86","14,276","35","7","1","04/08/2022","Amazon","4.3","2.50"" x 10.30"" x 17.30""","Large standard-size","1.1 lbs"
"B0CG474Z5N","SKYWARD 304 Stainless Steel Garden Hose with Brass Garden Hose Nozzle  Anti-Leakage  Flexible & Lightweight Kink Free Water Hose  Easy to Use & Store (100ft)","Skyward","Patio, Lawn & Garden","$57,083.00","1,500","$37.99","$15.28","$22.71","N.A.","33","7","1","11/05/2023","N.A.","4.8","12.60"" x 11.22"" x 5.12""","Large standard-size","10.12 lbs"
"B0B5TC67V4","SKYWHEEL Toddler Casual Shoes Lightweight Breathable Walking Running Tennis Strap Slip On Canvas Sneakers","SKYWHEEL","Clothing, Shoes & Jewelry","$17,754.08","592","$29.99","$9.64","$20.35","64,093","39","6","1","07/04/2022","Skywheel Footwear","4.3","3.50"" x 6.46"" x 9.06""","Large standard-size","0.8796 lbs"
"B0CLD5YWYS","SLIDEWAY 200 Lbs Heavy Duty Drawer Slides 1 Pair 8 10 12 14 16 18 20 24 26 30 32 40Inch Full Extension Ball Bearing Sliding Rails Cabinet Runners Tracks Tool Box Glides (2"" Wide)","SLIDEWAY","Tools & Home Improvement","$12,535.82","418","$34.99","$10.93","$24.06","13,307","22","6","1","06/20/2023","Amazon","4.4","14.00"" x 2.00"" x 1.50""","Large standard-size","3.5 lbs"
"B0CC1VN8Z3","Sliding Mirror Closet Door Rollers Replacement Hardware Fits Contractors Part #W8020C or Hard 1775 Wardrobe Doors Wheels  1-1/2"" Durable POM Concaved Ball Bearing Wheel  4 Pack","TPard","Tools & Home Improvement","$8,093.47","253","$31.99","$9.94","$22.05","N.A.","27","6","2","06/02/2023","Amazon Warehouse","4.2","6.69"" x 5.51"" x 1.89""","Large standard-size","1.28 lbs"
"B0CGR91SX1","Slim Trash Can for Bathroom with Air Freshener Soft Close Lid  6 Liter/ 1.6 Gallon Stainless Steel Garbage Can with Removable Inner Bucket Step Pedal  Small Wastebasket for Bedroom  Kitchen (Green)","GloDeals","Industrial & Scientific","$14,065.31","469","$29.99","$10.63","$19.36","6,452","43.666666666666664","7","1","08/27/2023","N.A.","4.7","9.68"" x 6.40"" x 12.20""","Large standard-size","3.52 lbs"
"B0CPSSSCKF","Slime 50150 Flat Tire Puncture Repair  Pro-Series  Emergency Kit for Car Tires  Includes Sealant and Tire Inflator Pump  Suitable for Cars and Other Highway Vehicles  black","Slime","Automotive","$135,220.84","1,796","$75.29","$15.76","$59.53","1,322","33","7","4","07/14/2022","Amazon Warehouse","4.3","10.87"" x 8.31"" x 3.35""","Large standard-size","4.14 lbs"
"B0CMLGQCGT","Sling Bag Crossbody Backpack Purse - 2 in 1 Leather Cross Body Bag Fanny Pack with 2 Removable Strap Large Chest Shoulder Bag","MYHOZEE","Clothing, Shoes & Jewelry","$8,906.70","330","$26.99","$8.57","$18.42","46,261","33","8","1","11/03/2023","N.A.","4.7","9.80"" x 7.48"" x 2.60""","Large standard-size","15.87 lbs"
"B09RVFD9N6","Slipknot Scribble Star Logo Pullover Hoodie","Slipknot","Clothing, Shoes & Jewelry","$14,745.57","343","$42.99","$14.89","$28.10","78,259","34","4","1","02/04/2022","Amazon.com","4.6","12.00"" x 12.00"" x 5.00""","Large standard-size","1.3 lbs"
