JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Tue Jan 23 2024 12:30:38 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0B75FK7RP","Kalita Wave Series Wave Dripper 155 [For 1 to 2 People] #04151  brown (bronze)","Kalita","Home & Kitchen","$20,465.04","588","$34.68","$8.28","$26.40","N.A.","42.5","6","4","06/27/2022","Amazon.com","4.55","2.72"" x 4.21"" x 4.29""","Large standard-size","0.3109 lbs"
"B0CMJFZC1L","Kalyoosen Jump Starter with Air Compressor 8000A 32000mAh 12V Car Battery 160PSI Tire Inflator(All Gas/16L Diesel) Portable Jump Starter Battery Pack 25mm Cylinder 4000 Lumens Emergency LED Light","Kalyoosen","Automotive","$59,572.62","417","$142.86","$23.57","$119.29","5,859","31","7","30","11/02/2023","N.A.","4.6","1.00"" x 1.00"" x 1.00""","Large standard-size","3.52 lbs"
"B0CP2NXWMK","KAMEDIS Anti-Dandruff Therapy Shampoo & Nourishing Hair Conditioner - Clinically Proven Relief for Dry  itchy  and sensitive Scalp. Contains Zinc Pyrithione  Shea Butter  and Argan Oil. Paraben Free","KAMEDIS","Beauty & Personal Care","$50,739.21","1,693","$29.97","$9.64","$20.33","10,428","4","6","1","11/25/2023","N.A.","4.7","10.00"" x 9.00"" x 3.00""","Large standard-size","1.61 lbs"
"B0B5RPHCFK","Kamik Girl's Snowgypsy 4 (Toddler/Little Kid/Big Kid)","Kamik","Clothing, Shoes & Jewelry","$21,560.00","308","$57.77","$17.83","$39.94","67,846","49","5","6","06/18/2022","Backcountry","4.6","13.00"" x 12.00"" x 6.00""","Large standard-size","1.5 lbs"
"B0CP8L56NK","Kamik Unisex-Child Snowbug 5 Snow Shoe","Kamik","Clothing, Shoes & Jewelry","$23,995.20","480","$49.99","$13.93","$36.06","32,723","1","5","3","07/31/2022","Al's Sporting Goods","5","12.00"" x 10.00"" x 4.00""","Large standard-size","1.35 lbs"
"B0CCNZHXS7","Kamo Fitness Featherlite Enhance 27"" Hidden Scrunch No Front Seam Workout Leggings for Women  Butt Lifting -Tummy Control","Kamo Fitness","Clothing, Shoes & Jewelry","$25,681.85","865","$29.69","$9.45","$20.24","13,371","39","7","1","07/23/2023","N.A.","3.7","8.00"" x 4.00"" x 1.00""","Large standard-size","6.38 lbs"
"B0CBYK7J59","KAMOTA Packing Tape  36 Rolls Heavy Duty Clear Packaging Tape for Shipping Packaging Moving Sealing  1.88 inches Wide  65 Yards Per Roll  Total 2340 Yards with 4 Dispensers","KAMOTA","Office Products","$11,888.47","253","$46.99","$17.68","$29.31","N.A.","46","6","1","03/20/2023","Amazon","4.6","17.75"" x 13.50"" x 6.75""","Large standard-size","17.1 lbs"
"B0CBKGSQT7","Kanayu Recessed Floor Outlet with 4.8A USB Chargers 20 Amp Floor Receptacles Round Floor Outlet Kit Electrical Waterproof Outlet Cover for Floor  ETL Listed(Black  1 Pack)","Kanayu","Tools & Home Improvement","$13,025.97","303","$43.99","$12.24","$31.75","23,898","30","6","4","06/18/2023","Amazon Warehouse","3.7","0.39"" x 0.39"" x 0.39""","Large standard-size","2.65 lbs"
"B0CNXPW1LB","Kanayu Water Pipe Heat Cable with Built in Thermostat Blue Low Wattage Water Pipe Heat Tape for Pipe Freeze Protection Self Regulating 120 Volt Heating Tape for Metal Plastic Home Pipes (12 ft)","Kanayu","Tools & Home Improvement","$16,060.46","554","$28.99","$9.49","$19.50","32,981","3","7","1","08/27/2023","N.A.","4.6","7.24"" x 7.09"" x 1.93""","Large standard-size","1.08 lbs"
"B0CQWDCXM4","Kannove Valentines Day Sports Gifts Exchange Cards for Kids School Bulk  30 Pack Mini Foam Sport Ball Toys for Toddlers  Valentines Goodie Bag Stuffers Party Favors Class Prizes Treats for Boys Girls","Kannove","Toys & Games","$24,123.15","835","$28.89","$10.76","$18.13","N.A.","3","6","1","12/09/2022","N.A.","4.6","12.59"" x 5.11"" x 7.79""","Large standard-size","1.76 lbs"
