JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Sun Feb 11 2024 13:24:36 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CLNWBLZF","Kssvzz 3 Pack Small Bathroom Trash Can with Lid - 10L/2.6 Gallon Slim Garbage Bin  Dog Proof Trashcan  Plastic Wastebasket for Kitchen/Bedroom/Office/Dorm  Fits Under Sink/Desk/Cabinet (Grey)","Kssvzz","Home & Kitchen","$32,265.87","1,113","$28.99","$11.38","$17.61","38,405","207","7","1","12/09/2023","Kssvzz US","4.2","8.74"" x 6.22"" x 13.11""","Large standard-size","3.02 lbs"
"B0CQ23QF4F","KTMAMA 1 Gallon Glass Jar with Lid  128oz Glass Canister with Airtight Lid Set of 2  Extra Large Wide Mouth Mason Jars  Large Glass Containers for Canning  Flour  Sugar  Rice  Pickled Eggs","KTMAMA","Kitchen & Dining","$34,561.79","1,221","$25.99","$13.18","$12.81","N.A.","7","7","1","01/15/2024","KTMAMA-US","4.6","15.16"" x 11.61"" x 7.68""","Large standard-size","6.87 lbs"
"B0CKQH5VD2","KuaiLu Mens Clog Slippers with Comfy Arch Support  Orthotic Plantar Fasciitis Memory Foam Slippers Warm Faux Fur Slip on Houes Shoes Indoor Outdoor Rubber Sole","KuaiLu","Clothing, Shoes & Jewelry","$39,764.70","1,530","$27.99","$9.04","$18.95","51,805","675.1111111111111","6","1","09/18/2023","XYL-Store","4.044444444444444","2.30"" x 7.10"" x 10.00""","Large standard-size","0.8995 lbs"
"B0CKMLFK2R","KuaiLu Women's Fluffy Slippers Plantar Fasciitis Arch Support Platform Slippers Ladies Fashion Open Toe Faux Fur Sliders Womens House Slipper Size 6-12","KuaiLu","Clothing, Shoes & Jewelry","$38,477.17","1,283","$29.99","$8.27","$21.72","23,739","135.75","7","1","10/06/2023","KuaiLu-YSA","4.383333333333334","2.24"" x 10.87"" x 13.54""","Large standard-size","0.679 lbs"
"B0CP5CPK5F","KuaiLu Womens Recovery Sandals With Comfortable Plantar Fasciitis Support Ladies Orthotic Open Toe Sport Slides Thick Cushion Reduces Stress on Feet Joints & Back Post-Exercise","KuaiLu","Clothing, Shoes & Jewelry","$148,721.51","4,649","$31.99","$9.32","$22.67","3,894","948.25","7","2","11/28/2023","Amazon Warehouse","4.1","12.91"" x 5.75"" x 5.00""","Large standard-size","15.2 lbs"
"B0CPSVWCPN","KUAUGST Plug in Pendant Light  Hanging Light with Plug in Cord with Dimmable Switch  Hanging Lamp with 15ft Hemp Rope  Beige Linen Shade  Hanging Light Fixture for Bedroom  Living Room 2 Pack","KUAUGST","Tools & Home Improvement","$14,596.35","365","$39.99","$13.33","$26.66","N.A.","304","6","2","10/26/2023","Bizziya","4.6","11.00"" x 11.00"" x 8.00""","Large standard-size","2.89 lbs"
"B0CT7DBJ4H","KUBUA Kids Running Shoes for Boys Sneakers Girls Gym Tennis Shoes Toddler Sport Athletic","KUBUA","Clothing, Shoes & Jewelry","$15,516.12","388","$39.99","$9.77","$30.22","48,053","152.8","6","1","01/24/2024","Amazon","4.6","8.07"" x 5.94"" x 3.07""","Large standard-size","9.59 lbs"
"B0CFY618KY","KuKitty Toddler Baby Girl Clothes Solid Color Long Sleeve Ruffle Tops Floral Bell-Bottoms Pants and Headband Outfits Set","KuKitty","Clothing, Shoes & Jewelry","$23,416.99","901","$25.99","$8.82","$17.17","N.A.","87","6","1","08/16/2023","KuKittyDirect","4.8","10.75"" x 10.39"" x 1.34""","Large standard-size","8.47 lbs"
"B0CSXYBDRS","KunHe 8 Pack Rechargeable Book Lights Bulk  Small Book Light for Reading at Night in Bed  Reading Light Clip on to a Book  Lightweight Booklight for Kids Book Lovers","KunHe","Tools & Home Improvement","$7,978.93","307","$25.99","$6.82","$19.17","N.A.","65","7","1","09/14/2023","KunHe Trade Co.Ltd.","4.4","0.39"" x 0.94"" x 7.87""","Small standard-size","4.8 lbs"
"B0CPVZKZ9Y","Kunifoy Womens Stretchy Faux Leather Leggings Sexy High Waisted Tights Black","Kunifoy","Clothing, Shoes & Jewelry","$15,433.03","487","$31.69","$9.79","$21.90","N.A.","139","6","1","12/08/2023","Kunifoy","4.6","8.11"" x 7.60"" x 1.50""","Large standard-size","8.15 lbs"
"B0C8H4MQJR","Kuntine.B 6 Pack Black Single Pocket File Holder Hanging Wall Organizer  Wall Mount Mails Magazines Organizer for Office and Home","Kuntine.B","Office Products","$54,085.19","2,081","$25.99","$11.23","$14.76","4,000","71.5","7","1","10/10/2023","Kun.B","4.7","15.00"" x 10.63"" x 5.87""","Large standard-size","3.61 lbs"
"B0CB84GW8P","KUYOTQ Kids Youth Adult Size 5/6/7 (27.5/28.5/29.5"") Basketball Premium Rubber or Composite Leather Basketball Indoor Outdoor Basketball Outdoor for Boys Girls Womens Mens Basketball Gifts (Deflated)","KUYOTQ","Sports & Outdoors","$56,893.74","1,626","$34.99","$12.28","$22.71","2,183","434","6","1","09/02/2023","KUYOTQ","4.6","9.06"" x 8.94"" x 4.53""","Large standard-size","0.61 kg"
"B0CTGY4S9L","KXK Dog Scratch Pad for Nails  Dog Nail Scratch Board for Small Medium Dogs Puppies  Sandpaper Dog Nail File Board with Treat Box for Puppy Nail Trimmer  Stress-Free Dog Scratch Pad for Sensitive Dogs","KXK","Pet Supplies","$16,833.70","563","$29.90","$10.27","$19.63","N.A.","49","6","1","09/11/2023","Bala Cultrue","3.9","13.90"" x 10.00"" x 2.20""","Large standard-size","2.88 lbs"
"B0CFTZXRHH","KYEESE 2Pack Dog Shirt Comfort Dog T Shirt Dog Sweatshirt Pullover Dog Coat Lightweight Dog Fleece Sweater Dog Clothes for Medium Dogs  Pink  XXL","KYEESE","Pet Supplies","$11,844.90","410","$28.89","$7.25","$21.64","N.A.","65","6","1","11/14/2023","Kyeese Wear Pet","4.5","4.00"" x 2.00"" x 0.40""","Small standard-size","1.6 lbs"
"B0CL4HL7NC","KylinLucky Outdoor Furniture Set Covers Waterproof for Table and Chairs  Patio Table Covers Rectangular Fits up to 90L x 64W x 27.5H inches","KylinLucky","Patio, Lawn & Garden","$16,114.02","438","$36.79","$12.55","$24.24","N.A.","110","7","1","10/15/2023","KylinLucky","4.8","13.39"" x 12.20"" x 5.08""","Large standard-size","5.49 lbs"
"B0BCVD4NP6","kytffu 42oz/56oz/64oz Glass Water Bottles with Straw  Motivational Glass Bottle with Silicone Sleeve and Time Marker  Leakproof Large Glass Water Jug for Gym Home Office","kytffu","Home & Kitchen","$115,096.18","4,182","$27.49","$10.78","$16.71","N.A.","3.5","7","1","10/06/2023","kytffu-us","2.9","10.71"" x 5.39"" x 4.72""","Large standard-size","0.77 kg"
"B0C7M13QTH","L'OR Barista Coffee Pods  Peet's Coffee Berkeley Dark Roast - 30 Single-Serve Capsules  Exclusively Compatible with L'OR BARISTA System  Brews 5 oz  8 oz  12 oz  10 count (Pack of 3)","L'OR","Grocery & Gourmet Food","$90,449.84","3,016","$29.99","$8.27","$21.72","2,522","148","6","2","08/13/2023","Amazon","4.6","6.26"" x 5.87"" x 5.59""","Large standard-size","12 lbs"
"B0C7CYPFPL","L'OR Espresso and Coffee Pods Including Peet's - 30 Count (2 Sizes)  Single Cup Aluminum Coffee Capsules Compatible with the L'OR Barista Coffee and Espresso Machine","L'OR","Grocery & Gourmet Food","$17,103.79","671","$25.49","$9.61","$15.88","16,640","166","6","1","09/06/2023","Amazon","4.6","8.98"" x 6.57"" x 5.87""","Large standard-size","1.01 lbs"
"B0CNR4KKXT","L.B. Jamison's Beef Flavored Soup Base  2-Pack 14 oz. Jars","L.B. Jamison's","Grocery & Gourmet Food","$11,605.70","430","$29.14","$8.57","$20.57","19,854","19.166666666666668","4","3","11/21/2023","Food E Concepts","3.7000000000000006","10.00"" x 4.00"" x 4.00""","Large standard-size","14 lbs"
"B0CKJ1MXDW","L.O.L. Surprise! Kids Toddler Baby Girl Skirt Set Long Sleeve Print Pullover Tee and Mesh Tutu Skirt Set","L.O.L. Surprise!","Clothing, Shoes & Jewelry","$10,813.27","373","$28.99","$9.33","$19.66","77,252","105.5","6","1","10/04/2023","Amazon","4.5","13.43"" x 10.39"" x 2.44""","Large standard-size","7.37 lbs"
"B0CKKN6QFV","L.O.L. Surprise! Toddler Girl Glitter Hem Character Pattern Top with Crossbody Bag Skirt Suit","L.O.L. Surprise!","Clothing, Shoes & Jewelry","$9,824.49","351","$27.99","$9.16","$18.83","77,252","1","6","1","10/05/2023","PATPAT STORE","5","8.94"" x 8.78"" x 2.05""","Large standard-size","8.15 lbs"
"B0CSP24Y8Z","La Blanca Women's Banded Hipster Bikini Swimsuit Bottom","La Blanca","Clothing, Shoes & Jewelry","$10,479.15","319","$34.97","$9.80","$25.16","76,592","321","5","2","01/17/2024","VRMI","4.5","1.30"" x 6.50"" x 8.60""","Large standard-size","0.2006 lbs"
"B0CQXRD647","La Blanca Women's Island Goddess Banded Hipster Swimsuit Bottom","La Blanca","Clothing, Shoes & Jewelry","$16,150.86","594","$31.32","$8.84","$22.48","70,492","396","5","5","12/24/2023","Amazon.com","4.5","1.81"" x 5.08"" x 6.85""","Large standard-size","0.1984 lbs"
"B0CM36Q6PB","LA JOLIE MUSE Christmas Candles  Cedarwood & Cypress Candle  Large 2-Wick Soy Candle for Home Scented  Holiday Candle Gift  Long Burning Time  Luxury Gift for Women & Men  12 Oz","LA JOLIE MUSE","Home & Kitchen","$30,381.52","1,048","$28.99","$10.14","$18.85","18,206","168.33333333333334","6","1","09/25/2023","COZY HOMEWARE STORE","4.5","4.72"" x 4.72"" x 5.98""","Large standard-size","2.62 lbs"
"B0CK28V9CT","Labolliy Women Sweatpants Elastic High Waisted Slant Pocket Workout Active Bottom Joggers","Labolliy","Clothing, Shoes & Jewelry","$10,040.76","324","$30.99","$10.34","$20.65","79,341","33","5","1","09/27/2023","Amazon","3.2999999999999994","13.11"" x 10.20"" x 1.69""","Large standard-size","15.52 lbs"
"B0CN17MK4F","LACCEN Semi Flush Mount Ceiling Light Brushed Gold - Clear Glass Pendant Lamp Shade  Modern Farmhouse Light Fixture for Hallway Corridor Kitchen Entryway Bedroom  Bulb Not Included","LACCEN","Tools & Home Improvement","$15,150.67","433","$35.99","$11.68","$24.31","25,294","12","6","2","09/05/2023","Amazon Warehouse","5","8.66"" x 8.66"" x 7.08""","Large standard-size","2.54 lbs"
"B0CR1NLQ6H","Lachesan 6 Pack Par30 Long Neck 75W 120V Halogen Flood Light Bulbs  2700K Warm White Dimmable High Brightness  E26 Base  Great for Accent Lighting  Tracking Light  Recessed Light Bulb","Lachesan","Industrial & Scientific","$34,109.49","1,051","$32.49","$11.68","$20.81","N.A.","12","6","1","11/29/2023","cozycubs","4.3","3.75"" x 3.75"" x 4.72""","Large standard-size","3.22 lbs"
