JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu Feb 08 2024 16:33:17 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CP5G5PXJ","PRETTYGARDEN Women's Summer Jumpsuits Dressy Casual Sleeveless Button Up Belted Long Pants Rompers","PRETTYGARDEN","Clothing, Shoes & Jewelry","$63,596.12","1,988","$31.99","$9.66","$22.33","N.A.","15","7","1","11/28/2023","PRETTYGARDEN","4.3","8.00"" x 5.00"" x 2.00""","Large standard-size","4.8 lbs"
"B0CPPN5QVP","Bocianelli Ultrasonic Pest Repeller  6 Pack Mouse Repellent Plug in Ultrasonic Rodent Repellent Electronic Pest Control for Roach Mosquito Indoor Mouse Repellent for Home Attic Garage Hotel  White","Bocianelli","Health & Household","$28,695.03","897","$31.99","$8.57","$23.42","21,987","16","6","1","12/06/2023","YIHUANGGH INC","4.1","6.46"" x 4.88"" x 2.80""","Large standard-size","8.8 lbs"
"B0CL6C8VH1","Endurance 2Nite  Male Supplement  Booster for Energy  Vigor and Endurance (10 Count)","Endurance 2Nite","Health & Household","$31,377.06","897","$34.98","$8.17","$26.81","32,190","39","6","1","10/15/2023","Mihon","4.2","4.00"" x 3.00"" x 0.50""","Small standard-size","0.32 lbs"
"B0CNR9B79W","BORUIT V15 LED Small Powerful EDC Flashlight with Warm White Red Light Bright 1200LM USB C Rechargeable 10 Modes Mini Pocket Keychain Flash Light with Clip IP67 Waterproof 80°Head Swivels Tail Magnet","BORUIT","Tools & Home Improvement","$62,285.12","1,888","$32.99","$7.87","$25.12","N.A.","131","7","1","11/02/2023","FrideMok","4.6","0.71"" x 1.50"" x 2.95""","Small standard-size","2.86 lbs"
"B0CLD16SCW","Caracilia Womens Long Sleeve Jumpsuit One Piece Rompers Loose Fit Overalls Lounge Pajamas Onesie Jumper Winter Fall Outfits","Caracilia","Clothing, Shoes & Jewelry","$24,237.02","898","$26.99","$7.86","$19.13","55,232","83","6","1","11/20/2023","Caracilia","4.3","0.01"" x 0.01"" x 0.01""","Small standard-size","0.01 lbs"
"B0CGRY27VN","The Original MicroStitch® Tagging Gun Kit – Includes Micro Stitch Tagging Tool  1 Needle  600 White Fasteners & 480 Black Fasteners (Starter Kit)","MicroStitch","Office Products","$28,287.00","898","$31.50","$8.27","$23.24","12,965","37","6","3","08/27/2023","Radostinaa","4.1","5.00"" x 5.00"" x 1.00""","Large standard-size","3.52 lbs"
"B0C58NSKY7","Uoidru Combat Boots For Women Ankle Booties Black Winter Snow Boots White Lace Up Boots Comfort Fuzzy Boot Side Zipper Short Boots (Warm Non slip)","Uoidru","Clothing, Shoes & Jewelry","$33,217.02","898","$36.99","$11.34","$25.65","125,024","77","7","1","10/14/2023","EnShiShiXiangYingShangMaoYouXianGongSi","4.1","11.61"" x 7.64"" x 4.33""","Large standard-size","1.74 lbs"
"B0BSH3R59G","xTool Selected Yellow Opaque Glossy Acrylic Sheets  12"" x 12"" Plexiglass Sheets 1/12 inch Thick  5-Piece Plastic Sheets Acrylic Blank Boards Panel for Laser Cutting & Engraving Decor  Crafts  Signs","xTool Selected","Industrial & Scientific","$25,135.02","898","$27.99","$9.79","$18.20","6,280","131","7","1","08/15/2023","xTool Selected","4.5","12.71"" x 12.60"" x 1.26""","Large standard-size","3.51 lbs"
"B0C9T9THVX","LIFETOWE Candle Warmer Lamp with Timer  Electric Candle Lamp Warmer  Height Adjustable Scented Candles  Candle Warmer with 2 * 50W Bulbs for Home Decor","LIFETOWE","Home & Kitchen","$29,658.01","899","$32.99","$10.74","$22.25","35,747","85","6","4","08/16/2023","Amazon Warehouse","4.7","5.40"" x 5.40"" x 11.22""","Large standard-size","1.94 lbs"
"B0CV1BKXQG","0.5 Seconds Instant Read Digital Meat Thermometer  ±0.5°F Accuracy  180°Rotating Display  IP67 Waterproof Non-Slip Handle  Lift to Wake and Auto Off  Food Thermometer for Precise Cooking","Lavfa","Kitchen & Dining","$26,982.00","900","$29.98","$8.27","$21.71","N.A.","112","7","30","10/25/2023","Likorisi","4.8","7.80"" x 3.35"" x 1.14""","Large standard-size","7.05 lbs"
"B0CM2VXZ2Z","NICETY 58 Colors Acrylic Paint Pens Paint Markers  3mm Medium Tip Point Acrylic Paint Pens for Rock Painting  Canvas  Wood  Ceramic  Glass  Stone  Fabric  DIY Crafts & Art Supplies","NICETY","Arts, Crafts & Sewing","$23,391.00","900","$25.99","$9.04","$16.95","7,935","88","7","2","10/16/2023","Amazon Warehouse","4.7","10.12"" x 5.75"" x 1.93""","Large standard-size","1.6 lbs"
"B0CSFFM92T","GloryStar Women's German Dirndl Dress Traditional Bavarian One Piece Beer Garden Oktoberfest Costumes","GloryStar","Clothing, Shoes & Jewelry","$47,691.00","900","$52.99","$13.23","$39.76","N.A.","6","6","2","01/15/2024","Amazon Warehouse","3.4","3.00"" x 2.00"" x 1.00""","Large standard-size","1.6 lbs"
"B0CG127YXC","Pure Protein Bars  Nutrient Rich Snacks with High Protein for Energy Support  Minimal Sugar  Gluten-Free  Variety Pack (In NEYUM Packaging) (23 Pack)","NEYUM","Health & Household","$31,851.00","900","$35.39","$11.10","$24.29","31,527","8","6","31","08/24/2023","Infinity Tower","4.3","10.67"" x 7.52"" x 4.21""","Large standard-size","2.79 lbs"
"B0CG3DRXVZ","Mens Walking Shoes Lightweight Breathe Mesh Running Shoes Slip On Fashion Tennis Sneakers Comfort Gym Workout Zapatos de Hombre","Hetohec","Clothing, Shoes & Jewelry","$25,191.00","900","$27.99","$7.97","$20.02","25,734","194","7","1","08/18/2023","N.A.","4.5","3.54"" x 9.69"" x 11.06""","Large standard-size","0.7297 lbs"
"B0CTDHJ9VC","GloryStar Women's German Dirndl Dress Traditional Bavarian Beer Garden 3 Pieces Oktoberfest Costumes S Classic Black Blue","GloryStar","Clothing, Shoes & Jewelry","$35,091.00","900","$38.99","$10.85","$28.14","N.A.","9","6","1","01/15/2024","Amazon","4.6","3.00"" x 2.00"" x 1.00""","Large standard-size","1.6 lbs"
"B0CLYRTKQ1","GEOMETAL Sterile H₂O Solution 3ML Model 200-31 ~ HUD20031 100/BX Unit Dose Solutions - 3ml 100 ea Box with Pocket Pill Holder (3ML)","GEOMETAL","Health & Household","$38,733.99","901","$42.99","$11.59","$31.40","N.A.","2","7","1","10/26/2023","USA Health Solutions","5","6.70"" x 7.00"" x 3.40""","Large standard-size","1.28 lbs"
"B0CKQHY2JS","HODOSPORTS Men's 9"" Quick Dry Swim Trunks with Compression Liner (Regular&Extended Sizes)","HODOSPORTS","Clothing, Shoes & Jewelry","$26,119.99","901","$28.99","$9.33","$19.66","47,226","33","5","1","10/08/2023","HODOSPORTS","4.7","9.41"" x 6.50"" x 2.13""","Large standard-size","8.78 lbs"
"B0C6QNVL27","20 Pack Vacuum Bags Compatible with iRobot Roomba i7  i7+  i7Plus  i8  i8+  i3  i3+  i4  i4+  i6  i6+  j7  j7+  s9  s9+  s9Plus  i and s Series Clean Base Automatic Dirt Disposal Bags","CONNICS","Home & Kitchen","$33,327.99","901","$36.99","$10.69","$26.30","38,628","128","7","1","09/19/2023","CONNICS","4.4","7.87"" x 5.91"" x 3.94""","Large standard-size","1.61 lbs"
"B0BTS39JN1","KREFINISH Painters Tape for Car Paint Green No Residue Automotive Masking Tape for Automotive Paint - Heat Resistant for Paint Booth  1.41 Inches x 60 Yards  6 Rolls","KREFINISH","Tools & Home Improvement","$65,645.76","1,824","$35.99","$11.83","$24.16","N.A.","100","6","1","08/15/2023","Amazon","4.4","10.24"" x 5.32"" x 5.32""","Large standard-size","3.57 lbs"
"B0CP99MPGN","LAFENLIN Gun Case Locks TSA Approved Firearm Travel Case Locks for Gun Case Cut-Proof Case Padlocks for Pistols and Rifles Tactical Gun Box Locks","LAFENLIN","Sports & Outdoors","$66,401.55","1,845","$35.99","$9.17","$26.82","N.A.","109","7","1","11/08/2023","LAFENLIN","4.4","4.00"" x 2.30"" x 0.95""","Large standard-size","0.4 lbs"
"B0CV5TZQPZ","Bubbacare Anti Barking Device with Remote  Auto Anti-bark & 600FT Range Remote Training 2 in 1 Bark Control Device  Waterproof Outdoor Indoor Recording  Alarm  Ultrasonic Dog Barking Deterrent Device","Bubbacare","Pet Supplies","$79,382.04","2,396","$34.49","$9.77","$24.72","N.A.","3","7","2","12/24/2023","xiangxiangdianzi","3.5","6.02"" x 5.24"" x 1.85""","Large standard-size","10.23 lbs"
"B0CNC29TVT","PRETTYGARDEN Women's Summer Casual Midi Dress Puff Sleeve Swiss Dot Long Flowy A Line Dresses","PRETTYGARDEN","Clothing, Shoes & Jewelry","$227,749.91","6,509","$34.99","$10.17","$24.82","N.A.","22","7","1","12/16/2023","PRETTYGARDEN","4.3","8.00"" x 5.00"" x 2.00""","Large standard-size","4.8 lbs"
"B0CRDR7KVR","SEALIGHT H10/9145 LED Fog Light Bulbs or DRL 10000LM 6500K Cool White  600% Brightness  9040/9140/9045 Fog Light Bulbs ParkingLight  Ultra-High Heat Dissipation Performance  Non-polarity  Pack of 2","SEALIGHT","Automotive","$27,080.97","903","$29.99","$7.14","$22.85","10,155","95","7","1","11/01/2023","Sealight_LED","4.4","1.67"" x 1.10"" x 2.86""","Large standard-size","4.6 lbs"
"B0CTKB1Q7S","RAMHORN 9005 9006 LED Bulbs  HB3 HB4 Light Bulbs 24000 LM 6500K Xenon White Instant Plug-in Fanless Halogen Replacement  Pack of 4","RAMHORN","Automotive","$201,593.03","5,897","$27.49","$9.77","$17.72","N.A.","84.66666666666667","6","30","10/20/2023","Ramhorn-Store","4.3","9.61"" x 5.08"" x 2.36""","Large standard-size","10.5 lbs"
"B0CTT84R8K","Kitty Spout Cat Water Fountain 108oz/3.2L Stainless Steel Cat Fountain and Removable Water Bowl Pet Fountain with Water Level Window Quiet Pump Multi-Filter  Water Tap  Provides Flowing for Dog Cats","Kittyspout","Pet Supplies","$36,150.96","904","$39.99","$11.79","$28.20","N.A.","165","7","1","10/07/2023","Kittyspout","4.6","9.02"" x 9.02"" x 4.70""","Large standard-size","1.95 lbs"
"B0CR9LLJ6H","NEW YOUNG 3 Pack Fleece Lined Sweatpants for Women-Womens Joggers Pants with Pockets Workout Yoga Pants","NEW YOUNG","Clothing, Shoes & Jewelry","$28,014.96","904","$31.49","$14.95","$16.54","70,714","82","7","1","11/22/2023","Qking-co","4.6","13.39"" x 11.61"" x 5.04""","Large standard-size","0.81 kg"
"B0CP41SBZK","Christmas Chocolate Mix Assorted Individually Wrapped Sweets for Winter Holiday Season - Candy Bulk Assorted Variety Pack Hershey’s Bars and Nuggets  Kisses Chocolate  5lb","Kandy Korner","Grocery & Gourmet Food","$24,362.80","904","$26.95","$10.77","$16.18","10,591","137","7","1","11/22/2023","Orksel Inc","4.3","12.80"" x 9.72"" x 5.12""","Large standard-size","4.83 lbs"
"B0CKR7268M","Primachen Hot Stones Massage Warmer Kit  21 Pcs Hot Stones Massage Set  Hot Rocks Basalt Massage Stones for Home Spa Warming Therapy Relaxing","Primachen","Health & Household","$46,094.96","904","$50.99","$14.38","$36.61","N.A.","83","7","1","08/29/2023","Primachen","4.5","5.00"" x 5.00"" x 2.00""","Large standard-size","4.41 lbs"
"B0CV8TJTBL","J.M. Haggar Men's Premium Stretch Classic Fit Suit Separates-Pants & Jackets","J.M. Haggar","Clothing, Shoes & Jewelry","$33,954.24","904","$37.56","$13.37","$24.19","N.A.","5","6","4","02/07/2024","Headen Enterprises","3.6","15.98"" x 11.34"" x 2.48""","Large standard-size","1 lbs"
"B0CP4MXGGD","BOMBAS Women's 3 pack Solid Ankle Socks  Size Medium","BOMBAS","Clothing, Shoes & Jewelry","$27,140.95","905","$29.99","$9.50","$20.49","31,844","6","3","4","11/28/2023","Best Junction Price","3.6","8.00"" x 4.00"" x 2.00""","Large standard-size","6.4 lbs"
"B0CDDBBM72","Derzio 25 pcs A4 11.7"" x 8.3"" Frosting Sheets  Icing Sheets  Edible Paper for Cakes Printable  Sugar Sheets  Cake Edible Sheets  Edible image Paper for Cake Toppers  Cakes  Cookies & Decor","Derzio","Grocery & Gourmet Food","$27,140.95","905","$29.99","$10.29","$19.70","7,046","50","5","1","10/08/2023","Derzio","4.3","12.36"" x 10.98"" x 0.87""","Large standard-size","2.51 lbs"
"B0CQ5RQWD4","Hershey Chocolate Candy Variety Pack- 5 Lb - Dark Chocolate & Milk Chocolate - Hershey Kisses  Reese  Kitkat + More! - Halloween Candy Bulk - Chocolate Bar  Chocolate Bulk Candy Individually Wrapped","QUEEN JAX","Grocery & Gourmet Food","$28,914.75","905","$31.95","$11.82","$20.13","6,847","105","6","2","08/10/2023","Since 1901","3.6","13.78"" x 8.35"" x 4.02""","Large standard-size","5.19 lbs"
"B0CQJGYG84","SAILING LU Women Round Toe Flats Comfortable Ballet Walking Shoes Dressy Slip-ons Loafers","SAILING LU","Clothing, Shoes & Jewelry","$23,520.95","905","$25.99","$7.67","$18.32","19,067","196","6","2","12/17/2023","SAILING LU Official","4.3","9.45"" x 3.66"" x 3.15""","Large standard-size","8.47 lbs"
"B0CLNDBH71","Aleumdr Women's Ribbed One Piece Tummy Control Swimsuit Cheeky Tie Side High Cut Bathing Suit Swimwear","Aleumdr","Clothing, Shoes & Jewelry","$80,046.84","3,093","$25.88","$8.62","$17.26","N.A.","45","6","2","10/23/2023","Aleumdr","4.4","8.46"" x 3.90"" x 3.58""","Large standard-size","3.53 lbs"
"B0CL1N41TX","NABOWAN Magnetic Thermal Insulated Door Curtain for Winter - Fits Door Size 38"" x 82""  Keeps The Heat Inside The Area  Thicken Oxford Fabric & Multi-Layer Cotton  Screen Door Insulation Blanket Cover","NABOWAN","Tools & Home Improvement","$36,140.34","906","$39.89","$13.01","$26.88","66,864","141.2","7","1","08/29/2023","NABOWAN","4.64","5.00"" x 10.00"" x 15.00""","Large standard-size","4.1 lbs"
"B0CN6ZP81D","SONGMICS Bathroom Trash Can  1.3 Gallon Small Trash Bin with Lid  Slim for Small Spaces  Stainless Steel Garbage Can  Soft Close  Silver ULTB560E05","SONGMICS","Home & Kitchen","$24,452.94","906","$26.99","$11.08","$15.91","17,354","74","6","2","09/04/2023","SONGMICS HOME US","4.6","11.80"" x 5.60"" x 11.40""","Large standard-size","2.2 lbs"
"B0C9CLB7S7","Shaver Replacement Blades for Skull Shaver Pitbull Gold PRO Shaver Replacement Blade Shaver Replacement Heads for Pitbull Platinum Pro Shaver (3Set(12blades))","Audoc","Beauty & Personal Care","$62,705.81","1,819","$34.49","$8.77","$25.72","N.A.","97","6","1","09/13/2023","Amazon","4.6","4.84"" x 3.82"" x 0.59""","Small standard-size","1.94 lbs"
"B0CLNF217Z","BNYEE Freeze Dried Chicken Cat & Dog Treats –15OZ Chicken Meat - High Protein  Bite-Sized  Training Treats Snacks","BNYEE","Pet Supplies","$27,152.82","906","$29.97","$9.02","$20.95","7,894","153","7","1","09/11/2023","BNYEE","4.4","7.87"" x 2.76"" x 11.81""","Large standard-size","15.84 lbs"
"B0C4S8PGL1","GGStudy 2 Handles 3 Holes Faucet Widespread Bathroom Sink Faucet Polished Gold Basin Tap Mixer Supply Hose Included Matching Metal Pop Up Drain","GGStudy","Tools & Home Improvement","$54,350.94","906","$59.99","$15.43","$44.56","12,769","2","6","2","08/30/2023","Amazon Warehouse","3","5.00"" x 2.00"" x 2.70""","Large standard-size","1.76 kg"
"B0C8K85FLQ","Tesla White Seat Cleaner for Stains  Blue Dye - Interior Tesla Cleaning Products for Vegan Leather - Seats  Dash  Console  Doors  Mats | Tesla Model 3 Y S X Car Accessories for 2023 & 2024","TesLiner","Automotive","$27,164.65","907","$29.95","$8.73","$21.22","4,384","67","6","1","08/20/2023","Amazon","4.4","4.00"" x 4.00"" x 10.00""","Large standard-size","1.21 lbs"
"B0C8132FTB","Hook On Chair Portable High Chair with Storage Bag - Hook On  Clip On  and Fast Table Chair with Removable Seat for Home and Travel","lulunemo","Baby","$29,014.93","907","$31.99","$11.53","$20.46","4,167","50","6","1","09/06/2023","Amazon","4.8","13.80"" x 11.80"" x 2.00""","Large standard-size","4.47 lbs"
"B0CHFNYP8V","Med Couture Peaches Women's 1 Pocket Top","Med Couture","Clothing, Shoes & Jewelry","$28,138.92","908","$30.99","$9.49","$21.50","33,350","61.25","5","2","09/05/2023","Amazon","4.6","13.94"" x 11.10"" x 1.34""","Large standard-size","4.97 lbs"
