"Export time:  1/27/2024, 2:27:22 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09QMQNZNP","bloom daily planners Inspirational & Motivational Quotes Planner Stickers (8 Sheets / 200+ Stickers) - Hand-Lettered Positive Cute Aesthetic Quotes for Decorating Organizers, Scrapbooks, Laptops, etc.","bloom daily planners","$9.95","720","24","$7,164","09/17/2019","$5.39","4.7","283","$4.56","10,471","6","FBA","1","Office Products","Standard","4.76 x 8.15 x 0.28 in","0.11 lb","https://www.amazon.com/dp/B09QMQNZNP"
"planner accessories for women","","B0C5BFBR1T","BLIEVE - Aesthetic Highlighters and Gel Pens With Soft Ink And Tip, No Bleed Dry Fast Easy to Hold, for Bible Journaling Planner Notes School Office Supplies 10 pack (Pastel)","BLIEVE","$9.99","10,728","285","$107,173","05/14/2023","$5.57","4.4","639","$4.42","515","7","FBA","1","Office Products","Standard","6.22 x 0.55 x 7.76 in","3.84 oz","https://www.amazon.com/dp/B0C5BFBR1T"
"Average Monthly Sales: 5,185","","B0BWY412JF","Aesthetic Planner Stickers for Fun Planning - 1220+ Monthly Boho Designs for Your Calendar or Scrapbook - The Perfect Sticker Accessories to Enhance Your Daily Bullet Journaling","ZICOTO","$12.99","1,619","30","$21,031","05/14/2023","$7.97","4.6","166","$5.02","8,212","7","FBA","1","Office Products","Standard","6 x 0.1 x 8 in","7.7 oz","https://www.amazon.com/dp/B0BWY412JF"
"Average Revenue: $53,150","","B0C665KF1P","Darolin [Zippered] Portfolio Padfolio Organizer Binder with Clipboard, Leather Business Interview Resume Document Holder Folder Planner Organizer for Office Conference Notepad Bag for Women - RoseGold","Darolin","$23.99","540","18","$12,955","05/23/2023","","4.6","64","","13,800","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C665KF1P"
"Average Price: $11.81","","B08H29XM25","[Expanded] Aesthetic Planner Stickers - Seasonal, Productivity & Decorative Stickers for Women - 23 Sheets / 1397 pcs - Ideal for Journals, Calendars, Planners","Vladi Creative","$14.87","1,161","26","$17,264","11/01/2020","$9.57","4.6","3,985","$5.30","9,496","7","FBA","1","Office Products","Standard","5.98 x 9.96 x 0.31 in","7.2 oz","https://www.amazon.com/dp/B08H29XM25"
"Average No. of Ratings: 4,662","","B07P8D51H9","Mirida Planner Stickers  1700 Productivity Mini Icons for Adults Calendar  Work, Daily To Do, Budget, Family, Holidays, Journaling  Variety Pack with Monthly Tabs","Mirida","$11.95","1,444","27","$17,256","02/28/2019","$7.24","4.6","3,777","$4.71","9,113","7","FBA","1","Office Products","Standard","5.51 x 0.12 x 9.65 in","3.2 oz","https://www.amazon.com/dp/B07P8D51H9"
"Average Sales Rank: 16,376","","1950045994","Badass Body Goals: Booty Shaping & Resistance Training Fitness Journal. 10-Week Circuit Training & Personal Resistance Training Program and Fitness Planner by Jennifer Cohen & Habit Nest.","Habit Nest","$39.90","1,882","55","$75,092","11/19/2018","$28.78","4.6","1,136","$11.13","3,229","6","FBA","2","Sports & Outdoors","Standard","7.2 x 1.18 x 9.65 in","0.63 kg","https://www.amazon.com/dp/1950045994"
"Average Rating Number: 4.6","","B08999KVP8","Daily Planner Notepad - A5 Calendar, Scheduler, Organizer with Priority, To Do List, Appointments, Notes, Meals and Water Intake Tracker, 50 Undated Tear-Off Sheets Planning Pad, 5.8'x8.25'","Nokingo","$7.18","922","17","$6,620","05/27/2020","$3.18","4.7","798","$4.00","14,159","6","FBA","1","Office Products","Standard","5.83 x 0.24 x 8.27 in","3.53 oz","https://www.amazon.com/dp/B08999KVP8"
"","","B0B9X2965Z","Law of Attraction Planner 2024 - Dated Deluxe Weekly, Monthly Planner, a 12 Month Journey to Increase Productivity & Happiness - Life Organizer, Gratitude Journal, Stickers and Gift Box","Freedom Mastery","$34.95","4,493","75","$157,030","08/16/2022","$23.92","4.6","9,156","$11.03","3,069","7","FBA","1","Office Products","Standard","7.91 x 1.26 x 10.39 in","2.25 lb","https://www.amazon.com/dp/B0B9X2965Z"
"","","B08K2LKMNG","Aesthetic Greenery Planner Stickers for Fun Planning - 1100+ Stunning Gold Foil Monthly Designs - The Perfect Scrapbook Sticker Accessories to Enhance Your Daily Calendar and Planner Journaling","ZICOTO","$13.99","2,659","45","$37,199","12/14/2020","$8.82","4.8","4,448","$5.17","5,399","7","FBA","1","Office Products","Standard","0.394 x 6.102 x 8.268 in","0.5 lb","https://www.amazon.com/dp/B08K2LKMNG"
"","","1441330763","Essentials Month By Month Planner Stickers (set of 475 stickers)","PETER PAUPER PRESS","$5.95","","","","03/06/2019","$0.34","4.6","5,051","$5.61","5,951","","AMZ","7","Books","Standard","0.25 x 6.25 x 4.25 in","2.47 oz","https://www.amazon.com/dp/1441330763"
"","","B0BTHPS8QH","Legend Value Sticker Pack  1,700+ Small Stickers for Planner, Journal & Calendar  Aesthetic, Inspirational, Seasonal, Dates, Months, Holidays, to-dos & Budget Stickers  Planner Accessories","Legend Planner","$9.99","581","13","$5,804","01/30/2023","","4.6","54","","19,002","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BTHPS8QH"
"","","B0772XSNXY","iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18-Pack","iBayam","$8.99","32,186","622","$289,352","10/30/2017","$4.72","4.7","96,289","$4.27","36","7","FBA","2","Arts, Crafts & Sewing","Standard","6.2 x 0.6 x 6.6 in","3.84 oz","https://www.amazon.com/dp/B0772XSNXY"
"","","B0BTYR7FL8","Mr. Pen- Transparent Sticky Notes, 200 Pcs, Vintage Colors, Round Translucent Sticky Notes, Pastel Sticky Notes, See Through Sticky Notes, Sticky Notes Transparent, Bible Sticky Notes","Mr. Pen","$5.84","1,934","69","$11,295","02/05/2023","$2.04","4.6","322","$3.80","3,394","6","FBA","1","Office Products","Standard","5.47 x 0.43 x 6.89 in","2.08 oz","https://www.amazon.com/dp/B0BTYR7FL8"
