"Export time:  1/27/2024, 2:27:51 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09KMCDNX5","Erin Condren Ultimate Planny Pack - Flora. Planner Accessory Pouch. Inside Pockets and Extended Metal Zipper. Elastic Band to Secure Around Planner or Notebook. Vegan Leather Organizer Case","Erin Condren","$22.99","390","13","$8,966","11/15/2021","$16.62","4.5","251","$6.37","18,321","6","FBA","1","Office Products","Standard","6.2 x 0.35 x 8.8 in","3.84 oz","https://www.amazon.com/dp/B09KMCDNX5"
"planner accessories","","B0996WQ1ZH","PAPERAGE Felt Tip Marker Pens, Fine Point Tip (0.4mm), 18 Pack, Colorful Markers For Bullet Style Journals, Notebooks, Planners, Calendars & Drawing - Use at School, Office, Home","PAPERAGE","$9.95","1,620","54","$16,119","07/11/2021","$5.54","4.2","1,843","$4.41","4,437","7","FBA","1","Office Products","Standard","6.4 x 0.4 x 6.25 in","4.2 oz","https://www.amazon.com/dp/B0996WQ1ZH"
"Average Monthly Sales: 3,087","","B09TD1XY4P","Adhesive Clear Corner Pockets 6 x 6 Inch Sticky Pocket Self Adhesive Planner Pockets, Adds Extra Storage Space to Notebooks, Folders, Planner Accessories, Home Office School (6)","Tinlade","$11.99","619","22","$7,422","02/24/2022","$7.27","4.6","228","$4.72","11,314","6","FBA","1","Office Products","Standard","7.01 x 0.28 x 8.07 in","0.09 kg","https://www.amazon.com/dp/B09TD1XY4P"
"Average Revenue: $31,938","","B09QMQNZNP","bloom daily planners Inspirational & Motivational Quotes Planner Stickers (8 Sheets / 200+ Stickers) - Hand-Lettered Positive Cute Aesthetic Quotes for Decorating Organizers, Scrapbooks, Laptops, etc.","bloom daily planners","$9.95","720","24","$7,164","09/17/2019","$5.39","4.7","283","$4.56","10,471","6","FBA","1","Office Products","Standard","4.76 x 8.15 x 0.28 in","0.11 lb","https://www.amazon.com/dp/B09QMQNZNP"
"Average Price: $12.13","","B0BND2QC26","In The Slightest - Clear Black Foil Planner Stickers - Productivity - Functional - Icons - Words - Over 600 Stickers - Folder Included - Minimal - Midnight","In The Slightest","$10.99","1,185","30","$13,023","11/25/2022","$6.42","4.6","102","$4.57","8,204","6","FBA","1","Office Products","Standard","5.16 x 0.28 x 6.14 in","1.76 oz","https://www.amazon.com/dp/B0BND2QC26"
"Average No. of Ratings: 3,608","","B0BWY412JF","Aesthetic Planner Stickers for Fun Planning - 1220+ Monthly Boho Designs for Your Calendar or Scrapbook - The Perfect Sticker Accessories to Enhance Your Daily Bullet Journaling","ZICOTO","$12.99","1,619","30","$21,031","05/14/2023","$7.97","4.6","166","$5.02","8,212","7","FBA","1","Office Products","Standard","6 x 0.1 x 8 in","7.7 oz","https://www.amazon.com/dp/B0BWY412JF"
"Average Sales Rank: 18,033","","B0BX1SQCKG","Mr. Pen- Transparent Sticky Notes, 560 Pcs, Pastel Colors, Round Translucent Sticky Notes, Sticky Note Tabs, Pastel Sticky Notes, See Through Sticky Notes Transparent, Bible Sticky Notes","Mr. Pen","$6.85","2,010","67","$13,769","02/26/2023","$3.03","4.5","208","$3.82","3,499","6","FBA","1","Office Products","Standard","3.58 x 0.47 x 6.5 in","2.08 oz","https://www.amazon.com/dp/B0BX1SQCKG"
"Average Rating Number: 4.5","","B08H29XM25","[Expanded] Aesthetic Planner Stickers - Seasonal, Productivity & Decorative Stickers for Women - 23 Sheets / 1397 pcs - Ideal for Journals, Calendars, Planners","Vladi Creative","$14.87","1,161","26","$17,264","11/01/2020","$9.57","4.6","3,985","$5.30","9,496","7","FBA","1","Office Products","Standard","5.98 x 9.96 x 0.31 in","7.2 oz","https://www.amazon.com/dp/B08H29XM25"
"","","B07P8D51H9","Mirida Planner Stickers  1700 Productivity Mini Icons for Adults Calendar  Work, Daily To Do, Budget, Family, Holidays, Journaling  Variety Pack with Monthly Tabs","Mirida","$11.95","1,444","27","$17,256","02/28/2019","$7.24","4.6","3,777","$4.71","9,113","7","FBA","1","Office Products","Standard","5.51 x 0.12 x 9.65 in","3.2 oz","https://www.amazon.com/dp/B07P8D51H9"
"","","B09W9PSQ8Y","DiverseBee Gold Foil Planner Monthly Tabs, 24 Peel and Stick Laminated Tabs for Notebooks (12 Month Tabs and 4 Blank Tabs), Calendar Monthly Tab Stickers for Planners, Monthly Dividers (Jade)","DIVERSEBEE","$9.97","2,250","75","$22,433","03/22/2022","","4.7","2,322","","3,066","6","FBA","1","Office Products","","6 x 8.25 x 0.01 in","","https://www.amazon.com/dp/B09W9PSQ8Y"
