JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Sat Jan 20 2024 19:20:23 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0B432DLK6","Tyrolia Attack 14 GW","Tyrolia","Sports & Outdoors","$64,963.50","345","$206.16","$36.18","$169.98","22,363","33","3","7","09/14/2021","Great Lakes Outpost","5","17.00"" x 9.10"" x 3.40""","Large standard-size","2.47 kg"
"B0CGHHWYWR","TYRON Adhesive Curtain Track Ceiling or Wall Mount(128""/ 10.7 FT)  Ceiling Track Room Divider  Self Adhesive Curtain Rod No Drill  Screws or Tools  Curtain Hangers No Damage","TYRON TYRON","Home & Kitchen","$10,952.68","332","$32.99","$10.09","$22.90","55,750","22","7","1","08/23/2023","N.A.","4.4","16.00"" x 0.80"" x 0.80""","Large standard-size","1.12 lbs"
"B0CHS59DWP","TYRONAL Ski Bag for Air Travel Single Ski Carry Bag With Fully Padded Protection Water-Resistant and Durable Fits Up From 175cm to 190cm Skis.","TYRONAL","Sports & Outdoors","$10,526.10","390","$26.99","$14.08","$12.91","17,731","5","7","1","09/10/2023","N.A.","4.6","14.65"" x 13.27"" x 4.88""","Large standard-size","1.07 kg"
"B09R4X3CRK","TYZU Hand Warmers Rechargeable 5000mAh  USB Portable Power Bank  Long-Lasting Electric Hand Warmers  Quick Heating Reusable Pocket Warmer for Outdoor Sports  Best Winter Gift","TYZU","Sports & Outdoors","$11,513.57","443","$25.99","$7.67","$18.32","190,115","7","6","1","04/29/2021","TYZU","4.3","1.73"" x 4.06"" x 12.60""","Large standard-size","0.399 lbs"
"B0CM6PQZW3","Tzgsonp 2024 New 3D Desk Calendar  3D Calendar Memo Pad  Colorful Treehouse Desk Note 3D Art Calendar Paper Carving Desktop Sculpture Desktop Decoration House Sculpture Gift  without Calendar","Tzgsonp","Office Products","$20,693.10","690","$29.99","$9.64","$20.35","12,703","1","6","1","10/30/2023","N.A.","1","3.90"" x 3.90"" x 3.10""","Large standard-size","1 lbs"
"B09KR8L1L8","U-COMSO Patio Chair Covers  Outdoor Patio Furniture Cover for Chairs  600D Heavy Duty Waterproof Outdoor Chair Covers  31''(W)*38''(D)*30''(H)  Medium  4 Pack","U-COMSO","Patio, Lawn & Garden","$26,066.70","330","$81.99","$20.98","$61.01","9,782","1","6","2","10/31/2021","Amazon Warehouse","5","4.92"" x 12.09"" x 13.82""","Large standard-size","12.1607 lbs"
"B09KXWKWX2","U-nice Home Anti Slip Sofa Cover Water Resistant Couch Covers with Elastic Straps for 3 Cushion Couch for Leather Sofa Pets Kids Children Dog Cat (Burgundy  Sofa)","U-NICE HOME","Home & Kitchen","$12,385.87","413","$29.99","$11.83","$18.16","80,597","16","7","1","04/05/2021","Unice Home","3.6","6.30"" x 10.98"" x 13.70""","Large standard-size","3.4106 lbs"
"B09BBFFPQQ","U.S. Art Supply 2"" x 3"" Mini Professional Primed Stretched Canvas (6-Packs of 12 Mini Canvases) 72 Total - Ideal for Painting & Crafts","U.S. Art Supply","Arts, Crafts & Sewing","$19,555.11","489","$39.99","$11.79","$28.20","12,454","26","6","2","07/21/2015","Amazon","4.7","4.00"" x 7.50"" x 11.00""","Large standard-size","2.5 lbs"
"B0CP4HLND7","UBOORY Dimmable Mushroom Table Lamp Glass Nightstand Light Translucent Vintage Style Desk Lamp Swirl Light for Home Decor Dining Bedroom Living Gift.(Stripe White)","uboory","Tools & Home Improvement","$14,274.90","510","$27.99","$10.63","$17.36","43,060","27","7","1","05/26/2023","N.A.","4.7","7.08"" x 7.08"" x 9.70""","Large standard-size","2.62 lbs"
"B0BPZPMJ6T","UCreate Watercolor Paper  Bulk  90 Lb.  White  12"" x 18""  250 Sheets","UCREATE","Arts, Crafts & Sewing","$101,412.12","2,166","$46.82","$17.05","$29.77","956","25","6","2","09/08/2016","Amazon Warehouse","4.3","18.00"" x 12.00"" x 0.02""","Large standard-size","15.615 lbs"
"B0CS6RM9QX","Uessegs Hydrogen Water Bottle  Hight Borosilicate Glass Health Mug with SPE PEM Technology  Portable USB Rechargeable Ionized Water Generator for Home  Travel and Office(Gold with Black Cup Bag)","uessegs","Home & Kitchen","$209,876.76","5,724","$35.99","$10.99","$25.00","N.A.","2","7","1","01/15/2024","N.A.","5","3.00"" x 3.00"" x 8.00""","Large standard-size","1.1 lbs"
"B0CP7CP5RQ","UF549 Ignition Coil Packs & 9029 Double Iridium Spark Plug Compatible with 2007-2019 Nissan Altima Versa Sentra Rogue Cube NV200 Pathfinder Infiniti FX50 M56 QX60 QX70 C1696 & DILKA6RA11","X4XZ","Automotive","$30,594.90","510","$51.49","$12.99","$38.50","12,614","45.5","7","1","07/06/2023","Amazon","4.35","12.01"" x 6.10"" x 2.20""","Large standard-size","2.2 lbs"
"B08S3972PY","UFOTEX Non-Slip Armchair Couch Slipcover - Waterproof Machine Washable Chair Sofa Cover Furniture Protector with Elastic Straps for Dogs  Kids  23 Inch  Brown","UFOTEX","Home & Kitchen","$7,797.00","300","$25.99","$3.90","$22.09","61,857","26","7","1","01/06/2021","YILONGE","4.533333333333333","4.72"" x 8.11"" x 14.53""","Standard (Large)","2.3722 lbs"
"B084MXLJXV","UG Apparel NCAA Womens Waffle Boat Neck Top","UG Apparel","Sports & Outdoors","$22,230.00","390","$54.50","$8.55","$45.95","111,417","15","2","1","11/06/2020","Amazon.com","4.3","15.00"" x 12.00"" x 2.00""","Standard (Large)","1 lbs"
"B084MXJYNZ","UG Apparel Women's The Denim Shirt","UG Apparel","Sports & Outdoors","$57,960.00","840","$52.58","$11.73","$40.85","101,872","32.5","4","1","02/09/2020","Amazon.com","4.8","1.14"" x 11.69"" x 13.43""","Standard (Large)","1 lbs"
"B0914LLMMZ","UG Apparel Women's V-Happy Jersey","UG Apparel","Sports & Outdoors","$29,363.40","660","$44.49","$11.78","$32.71","92,065","38","4","2","03/24/2021","Amazon.com","4.2","1.38"" x 10.87"" x 11.18""","Large standard-size","0.3527 lbs"
"B0CJNSK5H6","UGarden Upgraded Toilet Safety Rail  Stainless Steel Toilet Rail  350LBS Toilet Rails for Seniors  Adjustable & Detachable Safety Frame for Toilet  Toilet Frame for Elderly Adults - Fits Most Toilets","UGarden","Health & Household","$26,849.37","463","$57.99","$16.63","$41.36","60,437","33","7","1","09/22/2023","N.A.","4.3","16.54"" x 13.78"" x 3.43""","Large standard-size","8.56 lbs"
"B0BPFBL3FM","UGG - Lanai Throw Blanket - Plush Solid Accent Blanket - Faux Fur Throw - Soft  Cozy Comfort for Couch or Bed - Modern Home Décor - 50"" x 70"" - Snow","UGG","Home & Kitchen","$36,750.00","375","$98.00","$23.23","$74.77","108,724","19","6","1","08/10/2021","Britannica Home Fashions, Inc.","4.7","6.00"" x 13.90"" x 16.70""","Large standard-size","3.9507 lbs"
"B0CMTD7RRS","uiexitra Hydrogen Water Bottle  Hydrogen Rich Water Generator  Rechargeable Portable Glass Hydrogen Water Ionizer Machine with SPE and PEM Technology  for Daily Office Home Travel and Fitness Drinking","uiexitra","Home & Kitchen","$33,671.58","842","$39.99","$11.14","$28.85","29,619","29","7","1","11/06/2023","N.A.","3.8","2.70"" x 2.70"" x 8.30""","Large standard-size","1.48 lbs"
"B0CKYXMYWR","Uiifan 12 Pcs 24 Inches Snow Brush and ice scrapers for Car Windshield Windows Detachable No Scratch Scraper for ice and Snow Removal Winter with Foam Grip for Cars Trucks SUVs","Uiifan","Automotive","$20,785.05","495","$41.99","$13.27","$28.72","N.A.","5","7","1","07/30/2023","N.A.","3.3","16.26"" x 10.83"" x 7.28""","Large standard-size","7.56 lbs"
"B0CPPGP6C4","Uingarm Wireless Interconnected Combination Smoke and Carbon Monoxide Detector  10-Year Battery Powered Fire and CO Alarm  Smoke Detector  6-Pack","Uingarm","Tools & Home Improvement","$50,626.95","305","$101.49","$30.69","$70.80","20,151","36.5","6","30","09/20/2023","N.A.","4.8","12.13"" x 5.08"" x 4.65""","Large standard-size","2.77 lbs"
"B0B63698W3","Uinkit 105Sheets Premium Clear Vinyl Sticker Paper for Inkjet Printer - Include 100 Sheets Clear and 5Sheets Glossy Label Waterproof  Dries Quickly Vivid Colors  Holds Ink Well","Uinkit","Office Products","$17,334.90","510","$33.99","$11.53","$22.46","14,227","24","7","1","07/07/2022","Amazon Warehouse","4.1","11.00"" x 8.50"" x 0.90""","Large standard-size","3.03 lbs"
"B0CQQCVKSX","UKMPFGJ Solar Eclipse Glasses 2024 CE and ISO Certified with Durable Paper Frames for Direct Sun Viewing (60)","UKMPFGJ","Tools & Home Improvement","$19,839.00","510","$38.90","$9.61","$29.29","N.A.","2","6","1","12/20/2023","N.A.","5","6.22"" x 5.63"" x 2.05""","Large standard-size","10.8 lbs"
"B09FJK3T2T","UKON Christmas Tree Storage Bag 600D Oxford Waterproof Duffel Bag 500L Fits 9 ft Xmas Trees Extra Large Heavy Duty Moving Bag with Handles 65” x 15” x 30”(Red  Fits 9ft Tree)","UKON","Home & Kitchen","$11,216.60","340","$32.99","$11.68","$21.31","114,836","16","7","1","09/05/2021","N.A.","4.7","2.83"" x 12.83"" x 17.68""","Large standard-size","3.7897 lbs"
"B09ZXZF64F","UL/TRA/WF Compatible with Water Ｆilter Replacement for Pure Source Ultra-2packs","SENMOD","Tools & Home Improvement","$14,396.40","360","$39.99","$11.14","$28.85","N.A.","49","6","1","05/15/2022","N.A.","4.6","2.83"" x 6.38"" x 13.11""","Large standard-size","1.6777 lbs"
"B0CP7KY6KF","ULIBERMAGNET Magnetic Tool Holster Heavy Duty Clip-On Belt Magnet Holder Soild Aluminum Strong Tool Holster Belt Clip for Screw Driver Drill Bit  Wrench  Hammer  Screws  Pliers  Nails  Hardware Tools","ULIBERMAGNET","Tools & Home Improvement","$8,690.78","322","$26.99","$7.82","$19.17","54,156","49","7","2","10/11/2023","N.A.","4.6","6.49"" x 4.72"" x 0.98""","Large standard-size","9.28 lbs"
"B0CB14BSMM","ULLIKI 65"" Punching Bag for Adults and Kids with Gloves - Freestanding Heavy Boxing Bag  Inflatable Boxing Training Equipment Practice Daily Boxing Activities Gift for Kids  Men  Women  boy  Girl","ULLIKI","Sports & Outdoors","$23,242.06","394","$58.99","$16.78","$42.21","12,140","41","7","3","08/30/2023","Amazon Warehouse","4.2","12.05"" x 10.00"" x 4.57""","Large standard-size","1.41 kg"
"B08R619TY4","Ullnoy Athletic Jogger Pants for Women Cotton Sweatpants with Pockets Trapered Lounge Running Pants Drawstring 2 Pack","Ullnoy","Sports & Outdoors","$20,003.10","690","$28.99","$4.93","$24.06","629,719","26","5","1","10/16/2020","Ullnoy","4.275","1.00"" x 8.60"" x 14.50""","Standard (Large)","0.5997 lbs"
"B08XN9S589","Ullnoy Workout Tank Tops for Women Running Muscle Tanks Sleeveless Loose Fit Gym Yoga Sport Shirts-5 Pack","Ullnoy","Sports & Outdoors","$34,549.20","1,080","$31.99","$5.44","$26.55","33,986","3","6","1","02/26/2021","Ullnoy","4.6","1.42"" x 9.69"" x 14.76""","Standard (Large)","0.97 lbs"
"B07Z2JZ5SG","Ultimate Aprons Beautiful Kelly Green Apron Center Pocket Embroidered Logo Patch (Adult Apron + Cap)","Ultimate Aprons","Kitchen & Dining","$26,235.00","990","$26.50","$7.52","$18.99","9,441","6","6","2","09/23/2018","CHEFSKIN USA","4.7","9.60"" x 7.60"" x 1.00""","Large standard-size","3.21 lbs"
"B07YDY5ZHV","Ultimate Aprons Beautiful Kelly Green Apron Center Pocket Embroidered Logo Patch (TEEN + CAP)","Ultimate Aprons","Kitchen & Dining","$26,235.00","990","$26.50","$7.52","$18.99","9,441","7","6","2","09/23/2018","CHEFSKIN USA","3.7","9.60"" x 7.60"" x 1.00""","Large standard-size","3.21 lbs"
"B0C5LXP988","Ultimate Guard Arkhive 400+  Deck Case for 400 Double-Sleeved TCG Cards  Blue  Compatible with Boulders  Magnetic Closure & Microfiber Inner Lining","Ultimate Guard","Toys & Games","$14,176.40","332","$41.36","$12.84","$28.53","13,431","22","7","8","08/30/2021","Amazon","4.7","12.60"" x 3.86"" x 4.53""","Large standard-size","0.48 kg"
