JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Tue Jan 23 2024 12:22:03 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CRZ5LJTS","Dr. Martens Women's 1460 8 Eye Boot Fashion","Dr. Martens","Clothing, Shoes & Jewelry","$108,875.10","930","$114.91","$23.35","$91.56","454,427","34.375","5","4","12/03/2023","Amazon.com","4.5375","11.00"" x 4.00"" x 7.00""","Large standard-size","1.06 lbs"
"B0CS1W4K9F","Dr. Martens Women's 8065 Mary Jane","Dr. Martens","Clothing, Shoes & Jewelry","$41,382.75","345","$119.95","$24.42","$95.53","N.A.","15","6","1","01/10/2024","N.A.","4.8","13.54"" x 7.99"" x 5.12""","Large standard-size","3 lbs"
"B0C25DJRGJ","Dr. Scholl's Shoes Women's Chloe Booties Ankle Boot","Dr. Scholl's Shoes","Clothing, Shoes & Jewelry","$34,320.00","286","$78.99","$24.43","$54.56","96,139","31.714285714285715","5","1","04/10/2023","Amazon Warehouse","3.9","11.97"" x 9.92"" x 4.25""","Large standard-size","2.62 lbs"
"B0C35GXGTG","Dr. Scholl's Shoes Women's Laurel Ankle Bootie Boot","Dr. Scholl's Shoes","Clothing, Shoes & Jewelry","$16,115.00","250","$64.46","$17.00","$47.46","63,036","42","5","4","11/30/2022","Amazon Warehouse","4.2","14.90"" x 12.40"" x 5.00""","Large standard-size","2.5 lbs"
"B0CRF4XJK9","Dr. Squatch All Natural Bar Soap for Men  3 Bar Variety Pack  Rainforest Rapids  Fresh Falls  and Cedar Citrus - Natural Men's Bar Soap","Dr. Squatch","Beauty & Personal Care","$72,785.35","2,243","$32.45","$10.01","$22.44","N.A.","19","7","1","11/17/2023","N.A.","4.7","3.58"" x 3.35"" x 3.03""","Large standard-size","1.04 lbs"
"B0CNVB1RQG","Dr. Squatch Men’s Natural Bar Soap - Forest Full Routine - Natural Shampoo and Conditioner  Aluminum-free Deodorant  Soap Gripper  and Saver - Pine Tar Soap  Bay Rum  Bourbon - Great Gift for Men","Dr. Squatch","Beauty & Personal Care","$25,887.05","259","$99.95","$21.42","$78.53","68,725","23","7","2","04/16/2023","Dr. Squatch","4.9","7.80"" x 6.46"" x 6.26""","Large standard-size","3.47 lbs"
"B0CNY15FVQ","Dr. Squatch Soap Spidey Suds - Inspired by Spider-Man - Natural Soap for Men  3-Pack Natural Soap","Dr. Squatch","Beauty & Personal Care","$14,701.60","368","$39.95","$11.13","$28.82","37,322","1","6","2","12/10/2023","N.A.","5","3.54"" x 3.23"" x 3.19""","Large standard-size","1.1 lbs"
"B0BNZFTF3H","Dr. Squatch Star Wars Collection II Box","Dr. Squatch","Beauty & Personal Care","$13,953.45","291","$47.95","$12.98","$34.97","101,719","23","6","1","11/01/2023","N.A.","4.8","3.94"" x 3.94"" x 3.94""","Large standard-size","2.12 lbs"
"B09R93197N","Dr.HOWS Neo Nonstick Coating Saute Pan 8 inch Lavender Color - Round Frying Pan with Rubber-Coated Handle - Pot For Induction  Ceramic  Electric  Halogen and Gas Cooktops","Dr.HOWS","Home & Kitchen","$11,821.71","389","$30.39","$10.99","$19.40","20,262","27","7","1","01/27/2022","Amazon","4.4","16.00"" x 8.00"" x 4.00""","Large standard-size","2 lbs"
"B0CFFCZ8MR","Dr.Pen H3 Hydra Pen Microneedling Pen: Professional Automatic Serum Wireless Microneedling with 12 Cartridges - Skin Pen for Face & Body & Hair Growth","FOTIC","Beauty & Personal Care","$41,577.03","297","$139.99","$26.14","$113.85","56,134","6","7","30","10/15/2023","N.A.","3.7","7.48"" x 4.92"" x 2.87""","Large standard-size","1.08 lbs"
